habitat	x	y	rho
Bog	butanoate_fermentation-acetyl_coa_pathway	carbon_redox-dissimilatory_methanotrophy	0.40264538526645877
Bog	reductive_glycine-acetyl_pathway	sulfur_redox-dissimilatory_sulfate_reduction	0.4021226504015065
Bog	CAZy-Rhamnose_cleavage	xylose_degradation-xylonate_hydratase_pathway	0.40162306204588616
Bog	ethanol_fermentation-all	phosphorous_redox-assimilatory_phosphonate_oxidation	0.40129082765350754
Bog	CAZy-Beta_mannan	CAZy-Polyphenolics	0.40085424789932367
Bog	CAZy-Polyphenolics	sulfur_redox-assimilatory_sulfate_reduction	0.4007093598365167
Bog	CAZy-Polyphenolics	mannose_degradation-all	0.39866373726883964
Bog	CAZy-Mixed_Linkage_glucans	nitrogen_redox-nitrate_reduction	0.3954555506971039
Bog	CAZy-Xylans	acetogenesis-simple	0.3929326907819555
Bog	butanoate_fermentation-acetyl_coa_pathway	sulfur_redox-assimilatory_sulfate_reduction	0.39110047507092693
Bog	propionate_fermentation-acrylate_pathway	xylose_degradation-xylonate_hydratase_pathway	0.38641555687817764
Bog	galacturonic_acid_degradation-all	nitrogen_redox-nitrate_reduction	0.38612411431647053
Bog	CAZy-Amorphous_Cellulose	nitrogen_redox-nitrate_reduction	0.38602539775125444
Bog	CAZy-Rhamnose_cleavage	flagella_assembly-all	0.3847885042438868
Bog	hydrogenotrophic_methanogenesis-all	sulfur_redox-dissimilatory_sulfate_reduction	0.38149495160348945
Bog	Wood_Ljungdahl-acetogen	phosphorous_redox-anabolic_phosphate_reduction	0.3800018678039123
Bog	CAZy-Alpha_galactans	glycerol_degradation-glycerone	0.3792572738297403
Bog	CAZy-Arabinose_cleavage	CAZy-Rhamnose_cleavage	0.3773818977843971
Bog	CAZy-Xyloglucan	fructose_degradation-all	0.37674220093048916
Bog	butanoate_fermentation-acetyl_coa_pathway	xylose_degradation-xylonate_hydratase_pathway	0.3764622424159587
Bog	CAZy-Polyphenolics	ethanol_fermentation-all	0.3742124038254532
Bog	CAZy-Pectin	CAZy-Rhamnose_cleavage	0.37113714072049997
Bog	CAZy-Amorphous_Cellulose	HPHB_DCHB-DCHB	0.3685986213443677
Bog	galactose_degradation-all	reductive_glycine-acetyl_pathway	0.3666555680763698
Bog	CAZy-Alpha_galactans	sulfur_redox-dissimilatory_sulfate_reduction	0.36664074103543987
Bog	HPHB_DCHB-DCHB	reductive_glycine-acetyl_pathway	0.36621713401319445
Bog	hydrogenotrophic_methanogenesis-all	reductive_glycine-serine_pathway	0.36518213948571654
Bog	methylotrophic_methanogenesis-h2_indep	reductive_glycine-acetyl_pathway	0.364985358810882
Bog	HPHB_DCHB-DCHB	galacturonic_acid_degradation-all	0.3623016515523183
Bog	CAZy-Fucose_Cleavage	HPHB_DCHB-DCHB	0.3602948823070674
Bog	CAZy-Alpha_mannan	xylose_degradation-xylonate_hydratase_pathway	0.36028124661609184
Bog	CAZy-Amorphous_Cellulose	methylotrophic_methanogenesis-h2_indep	0.36008244580478943
Bog	CAZy-Arabinan	nitrogen_redox-nitrate_reduction	0.3598574659331524
Bog	CAZy-Arabinan	phosphorous_redox-anabolic_phosphate_reduction	0.3573166154603483
Bog	CAZy-Rhamnose_cleavage	acetogenesis-simple	0.3557559994472079
Bog	Wood_Ljungdahl-acetogen	propionate_fermentation-succinate_pathway	0.3551804793250064
Bog	CAZy-Mucin	carbon_redox-assimilatory_methanotrophy	0.35454758977594536
Bog	CAZy-Alpha_galactans	methylotrophic_methanogenesis-h2_indep	0.3531352709728748
Bog	CAZy-Amorphous_Cellulose	reductive_glycine-serine_pathway	0.3522760622898975
Bog	Wood_Ljungdahl-methanogen	reductive_glycine-serine_pathway	0.352083356836539
Bog	glycerol_degradation-glycerone	hydrogenotrophic_methanogenesis-all	0.34891313088396503
Bog	CAZy-Mixed_Linkage_glucans	CAZy-Rhamnose_cleavage	0.3485778826285185
Bog	propionate_fermentation-succinate_pathway	sulfur_redox-dissimilatory_sulfate_reduction	0.3454474490994002
Bog	nitrogen_redox-assimilatory_nitrate_reduction	sulfur_redox-assimilatory_sulfate_reduction	0.3452259267588955
Bog	CAZy-Sulf_Polysachharides	Wood_Ljungdahl-acetogen	0.3446336530764079
Bog	glycerol_degradation-glycerone	nitrogen_redox-nitrate_reduction	0.3443497844944067
Bog	carbon_redox-dissimilatory_methanotrophy	sulfur_redox-assimilatory_sulfate_reduction	0.3434530771323552
Bog	CAZy-Mucin	butanoate_fermentation-acetyl_coa_pathway	0.34314293850186206
Bog	galactose_degradation-all	nitrogen_redox-nitrate_reduction	0.3427810137636531
Bog	CAZy-Arabinan	HPHB_DCHB-DCHB	0.34037273323981887
Bog	CAZy-Amorphous_Cellulose	reductive_glycine-acetyl_pathway	0.3394971674236301
Bog	CAZy-Mucin	glycerol_degradation-glycerol	0.33748845712597053
Bog	Wood_Ljungdahl-methanogen	sulfur_redox-dissimilatory_sulfate_reduction	0.3365125432168081
Bog	CAZy-Xyloglucan	xylose_degradation-isomerase_pathway	0.33551501888656177
Bog	CAZy-Mucin	ethanol_fermentation-all	0.33399847900493207
Bog	HPHB_DCHB-DCHB	propionate_fermentation-succinate_pathway	0.3311821096728945
Bog	CAZy-Mixed_Linkage_glucans	phosphorous_redox-phosphite_oxidation	0.33074092199329097
Bog	CAZy-Polyphenolics	urea_degradation-all	0.32862882398160276
Bog	nitrogen_redox-denitrification	xylose_degradation-xylonate_hydratase_pathway	0.32817503914578616
Bog	galactose_degradation-all	propionate_fermentation-succinate_pathway	0.32692201953459366
Bog	fructose_degradation-all	methylotrophic_methanogenesis-h2_indep	0.3246339162960633
Bog	CAZy-Alpha_galactans	phosphorous_redox-anabolic_phosphate_reduction	0.32424299152040226
Bog	Calvin_Benson-all	lactate_fermentation-all	0.3226436596628368
Bog	CAZy-Rhamnose_cleavage	galacturonic_acid_degradation-all	0.3211444210238805
Bog	CAZy-Mucin	propionate_fermentation-acrylate_pathway	0.31980952113376515
Bog	fructose_degradation-all	glycerol_degradation-glycerone	0.31724595727545046
Bog	Calvin_Benson-all	phosphorous_redox-assimilatory_phosphonate_oxidation	0.31485079249308856
Bog	CAZy-Mucin	mannose_degradation-all	0.3142351998478954
Bog	phosphorous_redox-assimilatory_phosphonate_oxidation	propionate_fermentation-acrylate_pathway	0.31405059494812904
Bog	CAZy-Mixed_Linkage_glucans	CAZy-Sulf_Polysachharides	0.312551567101343
Bog	lactate_fermentation-all	mannose_degradation-all	0.3117072417409976
Bog	nitrogen_redox-nitric_oxide_oxidation	sulfur_redox-dissimilatory_sulfur_oxidation	0.31105943843012773
Bog	CAZy-Mucin	CAZy-Starch	0.3110463917321289
Bog	CAZy-Mixed_Linkage_glucans	glycerol_degradation-glycerone	0.3103979364593026
Bog	CAZy-Fucose_Cleavage	chemotaxis-all	0.309188800185233
Bog	Wood_Ljungdahl-methanogen	glycerol_degradation-glycerone	0.30879779574643706
Bog	Wood_Ljungdahl-acetogen	fructose_degradation-all	0.308761296364914
Bog	carbon_redox-assimilatory_methanotrophy	sulfur_redox-assimilatory_sulfate_reduction	0.3077592865358062
Bog	CAZy-Alpha_galactans	hydrogenotrophic_methanogenesis-all	0.3060342717865955
Bog	Wood_Ljungdahl-acetogen	galactose_degradation-all	0.3059060237063236
Bog	CAZy-Amorphous_Cellulose	hydrogenotrophic_methanogenesis-all	0.30571783143225606
Bog	CAZy-Amorphous_Cellulose	Wood_Ljungdahl-methanogen	0.3055103681311867
Bog	CAZy-Alpha_galactans	Wood_Ljungdahl-methanogen	0.305068428831647
Bog	glycerol_degradation-glycerol	sucrose_degradation-all	0.30423450242995453
Bog	CAZy-Beta_mannan	flagella_assembly-all	0.30291174705854174
Bog	nitrogen_redox-nitrate_reduction	phosphorous_redox-phosphite_oxidation	0.30287222079480103
Bog	CAZy-Polyphenolics	carbon_redox-dissimilatory_methanotrophy	0.3024811847924518
Bog	CAZy-Pectin	phosphorous_redox-assimilatory_phosphonate_oxidation	0.3009789590905547
Bog	HPHB_DCHB-DCHB	nitrogen_redox-nitrogen_fixation	0.3003774789145467
Bog	CAZy-Beta_galactan__pectic_galactan_	nitrogen_redox-nitrate_reduction	0.3001795357987296
Bog	galacturonic_acid_degradation-all	nitrogen_redox-nitrogen_fixation	0.30006375423671705
Bog	glycerol_degradation-glycerone	sulfur_redox-assimilatory_sulfate_reduction	-0.3006228205106325
Bog	CAZy-Alpha_galactans	lactose_degradation-all	-0.3008454898543047
Bog	fructose_degradation-all	urea_degradation-all	-0.3008667175406272
Bog	CAZy-Mixed_Linkage_glucans	sulfur_redox-dissimilatory_sulfur_oxidation	-0.3017135007836318
Bog	HPHB_DCHB-DCHB	nitrogen_redox-assimilatory_nitrate_reduction	-0.30172359151876016
Bog	propionate_fermentation-acrylate_pathway	sulfur_redox-dissimilatory_sulfate_reduction	-0.3022194663287432
Bog	CAZy-Xyloglucan	nitrogen_redox-nitric_oxide_oxidation	-0.3022923949933991
Bog	flagella_assembly-all	reductive_glycine-acetyl_pathway	-0.3032866956058584
Bog	mannose_degradation-all	methylotrophic_methanogenesis-h2_indep	-0.3035030310869611
Bog	methylotrophic_methanogenesis-h2_indep	urea_degradation-all	-0.3048661207706451
Bog	lactate_fermentation-all	nitrogen_redox-nitrogen_fixation	-0.3061438019581315
Bog	CAZy-Mucin	nitrogen_redox-nitrate_reduction	-0.3062171617291023
Bog	CAZy-Xylans	nitrogen_redox-nitric_oxide_oxidation	-0.30670705981286117
Bog	phosphorous_redox-anabolic_phosphate_reduction	propionate_fermentation-succinate_pathway	-0.30743409797870114
Bog	Calvin_Benson-all	acetogenesis-simple	-0.3074734947268585
Bog	CAZy-Rhamnose_cleavage	Wood_Ljungdahl-methanogen	-0.3098305980744933
Bog	carbon_redox-dissimilatory_methanotrophy	propionate_fermentation-succinate_pathway	-0.310148463579228
Bog	galactose_degradation-all	phosphorous_redox-assimilatory_phosphonate_oxidation	-0.3116027951678857
Bog	acetogenesis-simple	ethanol_fermentation-all	-0.312072637053439
Bog	CAZy-Rhamnose_cleavage	CAZy-Starch	-0.3124587791441733
Bog	CAZy-Mixed_Linkage_glucans	propionate_fermentation-acrylate_pathway	-0.31265074576625085
Bog	chemotaxis-all	nitrogen_redox-nitric_oxide_oxidation	-0.3132058385254215
Bog	Calvin_Benson-all	Wood_Ljungdahl-acetogen	-0.31416289490960314
Bog	CAZy-Beta_mannan	HPHB_DCHB-DCHB	-0.31479191077384594
Bog	CAZy-Rhamnose_cleavage	glycerol_degradation-glycerone	-0.31488347491375634
Bog	CAZy-Alpha_galactans	CAZy-Pectin	-0.3150775347617598
Bog	CAZy-Mixed_Linkage_glucans	CAZy-Polyphenolics	-0.3155044169008143
Bog	HPHB_DCHB-DCHB	chemotaxis-all	-0.31580585664429095
Bog	CAZy-Rhamnose_cleavage	hydrogenotrophic_methanogenesis-all	-0.315915279811255
Bog	CAZy-Rhamnose_cleavage	sulfur_redox-dissimilatory_sulfate_reduction	-0.3166491710957109
Bog	chemotaxis-all	methylotrophic_methanogenesis-h2_indep	-0.3166814930139974
Bog	CAZy-Amorphous_Cellulose	nitrogen_redox-assimilatory_nitrate_reduction	-0.3174557478759492
Bog	ethanol_fermentation-all	galactose_degradation-all	-0.3180215462793705
Bog	CAZy-Fucose_Cleavage	lactate_fermentation-all	-0.3186279760959181
Bog	HPHB_DCHB-DCHB	flagella_assembly-all	-0.3187060405088793
Bog	CAZy-Starch	nitrogen_redox-nitrogen_fixation	-0.3192045852364527
Bog	CAZy-Polyphenolics	nitrogen_redox-nitric_oxide_oxidation	-0.3195018379866237
Bog	CAZy-Alpha_galactans	CAZy-Polyphenolics	-0.31969954437134973
Bog	CAZy-Fucose_Cleavage	nitrogen_redox-assimilatory_nitrate_reduction	-0.32014736884490946
Bog	carbon_redox-dissimilatory_methanotrophy	sulfur_redox-dissimilatory_sulfate_reduction	-0.320354126093094
Bog	glycerol_degradation-glycerone	nitrogen_redox-assimilatory_nitrate_reduction	-0.3228265217580579
Bog	chemotaxis-all	sulfur_redox-dissimilatory_sulfate_reduction	-0.32283529350888407
Bog	lactate_fermentation-all	lactose_degradation-all	-0.32482133283939385
Bog	fructose_degradation-all	nitrogen_redox-assimilatory_nitrate_reduction	-0.3248576009829349
Bog	galactose_degradation-all	nitrogen_redox-assimilatory_nitrate_reduction	-0.3270492485068959
Bog	CAZy-Mucin	glycerol_degradation-glycerone	-0.327061265815199
Bog	CAZy-Beta_galactan__pectic_galactan_	sulfur_redox-dissimilatory_sulfur_oxidation	-0.3291521727892506
Bog	carbon_redox-dissimilatory_methanotrophy	phosphorous_redox-anabolic_phosphate_reduction	-0.33024371886427595
Bog	nitrogen_redox-nitrate_reduction	phosphorous_redox-assimilatory_phosphonate_oxidation	-0.33039683605364867
Bog	Wood_Ljungdahl-acetogen	sulfur_redox-assimilatory_sulfate_reduction	-0.3309751011787687
Bog	CAZy-Mixed_Linkage_glucans	phosphorous_redox-assimilatory_phosphonate_oxidation	-0.3319584587398394
Bog	CAZy-Sulf_Polysachharides	sulfur_redox-assimilatory_sulfate_reduction	-0.3326345566142501
Bog	CAZy-Xyloglucan	sulfur_redox-dissimilatory_sulfate_reduction	-0.3330275928158808
Bog	Wood_Ljungdahl-methanogen	urea_degradation-all	-0.33344053884467373
Bog	CAZy-Arabinose_cleavage	Calvin_Benson-all	-0.33480044037382983
Bog	nitrogen_redox-nitric_oxide_oxidation	phosphorous_redox-assimilatory_phosphonate_oxidation	-0.3356602145768859
Bog	CAZy-Polyphenolics	galactose_degradation-all	-0.3362044332412004
Bog	CAZy-Xyloglucan	propionate_fermentation-acrylate_pathway	-0.3364326684286638
Bog	CAZy-Polyphenolics	nitrogen_redox-nitrogen_fixation	-0.33682251794914464
Bog	lactose_degradation-all	sulfur_redox-dissimilatory_sulfate_reduction	-0.3386276033476745
Bog	butanoate_fermentation-acetyl_coa_pathway	reductive_glycine-serine_pathway	-0.3393359692775353
Bog	CAZy-Fucose_Cleavage	urea_degradation-all	-0.3402679480202515
Bog	CAZy-Fucose_Cleavage	CAZy-Mucin	-0.34109132026867917
Bog	CAZy-Beta_galactan__pectic_galactan_	CAZy-Mucin	-0.34204600952773756
Bog	CAZy-Beta_galactan__pectic_galactan_	propionate_fermentation-acrylate_pathway	-0.34293659677755883
Bog	CAZy-Mixed_Linkage_glucans	nitrogen_redox-assimilatory_nitrate_reduction	-0.34346978231999237
Bog	CAZy-Pectin	methylotrophic_methanogenesis-h2_indep	-0.3437827874717021
Bog	galacturonic_acid_degradation-all	urea_degradation-all	-0.34407031414150824
Bog	CAZy-Xylans	sulfur_redox-dissimilatory_sulfate_reduction	-0.3440881895735022
Bog	Calvin_Benson-all	nitrogen_redox-nitrate_reduction	-0.3442305204594376
Bog	glycerol_degradation-glycerone	urea_degradation-all	-0.344616547713811
Bog	carbon_redox-dissimilatory_methanotrophy	galactose_degradation-all	-0.34477375560523793
Bog	flagella_assembly-all	glycerol_degradation-glycerone	-0.34485384386540097
Bog	CAZy-Alpha_galactans	phosphorous_redox-assimilatory_phosphonate_oxidation	-0.3456415398532242
Bog	CAZy-Amorphous_Cellulose	sulfur_redox-dissimilatory_sulfur_oxidation	-0.3469351274682888
Bog	CAZy-Sulf_Polysachharides	butanoate_fermentation-acetyl_coa_pathway	-0.3475686175318411
Bog	Calvin_Benson-all	reductive_glycine-acetyl_pathway	-0.3499786006837906
Bog	carbon_redox-dissimilatory_methanotrophy	methylotrophic_methanogenesis-h2_indep	-0.35165237985040876
Bog	propionate_fermentation-acrylate_pathway	reductive_glycine-acetyl_pathway	-0.3521652367027086
Bog	CAZy-Mucin	galactose_degradation-all	-0.3542965454194842
Bog	CAZy-Pectin	nitrogen_redox-nitric_oxide_oxidation	-0.35578279094118614
Bog	HPHB_DCHB-DCHB	lactate_fermentation-all	-0.356146360054737
Bog	CAZy-Alpha_mannan	CAZy-Arabinan	-0.356318496592984
Bog	galactose_degradation-all	urea_degradation-all	-0.35871267187662026
Bog	fructose_degradation-all	lactate_fermentation-all	-0.36033663467777854
Bog	CAZy-Beta_mannan	propionate_fermentation-succinate_pathway	-0.36204454303858347
Bog	galacturonic_acid_degradation-all	reductive_glycine-serine_pathway	-0.3627201302867098
Bog	HPHB_DCHB-DCHB	urea_degradation-all	-0.36474727688497977
Bog	ethanol_fermentation-all	glycerol_degradation-glycerone	-0.3649965640376429
Bog	carbon_redox-dissimilatory_methanotrophy	nitrogen_redox-nitrate_reduction	-0.3669627388754857
Bog	CAZy-Rhamnose_cleavage	Wood_Ljungdahl-acetogen	-0.3674363134236227
Bog	CAZy-Alpha_mannan	CAZy-Chitin	-0.3693577645528805
Bog	CAZy-Arabinose_cleavage	sulfur_redox-assimilatory_sulfate_reduction	-0.36946099210055694
Bog	CAZy-Mixed_Linkage_glucans	ethanol_fermentation-all	-0.37076976235976367
Bog	Calvin_Benson-all	HPHB_DCHB-DCHB	-0.3716946876274603
Bog	CAZy-Arabinan	mannose_degradation-all	-0.3720374916957272
Bog	Wood_Ljungdahl-methanogen	mannose_degradation-all	-0.3728675633693652
Bog	mannose_degradation-all	nitrogen_redox-nitrate_reduction	-0.3728849148930542
