tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2
Acidovorax_avenae_subsp._avenae_AA99_2,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_AA99_2,Root,GH18,Bacteria,Acidovorax_avenae_subsp._avenae_AA99_2
Acidovorax_avenae_subsp._avenae_COLB1,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_COLB1,Root,GH18,Bacteria,Acidovorax_avenae_subsp._avenae_COLB1
Acidovorax_avenae_subsp._avenae_INDB2,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_INDB2,Root,GH18,Bacteria,Acidovorax_avenae_subsp._avenae_INDB2
Acidovorax_avenae_subsp._avenae_INV,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_INV,Root,GH18,Bacteria,Acidovorax_avenae_subsp._avenae_INV
Acidovorax_avenae_subsp._avenae_KL3,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_KL3,Root,GH18,Bacteria,Acidovorax_avenae_subsp._avenae_KL3
Acidovorax_avenae_subsp._avenae_MOR,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_MOR,Root,GH18,Bacteria,Acidovorax_avenae_subsp._avenae_MOR
Acidovorax_avenae_subsp._avenae_Sa2,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_Sa2,Root,GH18,Bacteria,Acidovorax_avenae_subsp._avenae_Sa2
Acidovorax_cattleyae_CAT98_1,Bacteria,rank_2,Acidovorax_cattleyae_CAT98_1,Root,GH18,Bacteria,Acidovorax_cattleyae_CAT98_1
Acidovorax_citrulli_AAC00-1,Bacteria,rank_2,Acidovorax_citrulli_AAC00-1,Root,GH18,Bacteria,Acidovorax_citrulli_AAC00-1
Acidovorax_citrulli_HPP21-3-3B,Bacteria,rank_2,Acidovorax_citrulli_HPP21-3-3B,Root,GH18,Bacteria,Acidovorax_citrulli_HPP21-3-3B
Acidovorax_sp._JMULE5,Bacteria,rank_2,Acidovorax_sp._JMULE5,Root,GH18,Bacteria,Acidovorax_sp._JMULE5
Actinacidiphila_bryophytorum_DS3,Bacteria,rank_2,Actinacidiphila_bryophytorum_DS3,Root,GH18,Bacteria,Actinacidiphila_bryophytorum_DS3
Actinoalloteichus_fjordicus_ADI127-7,Bacteria,rank_2,Actinoalloteichus_fjordicus_ADI127-7,Root,GH18,Bacteria,Actinoalloteichus_fjordicus_ADI127-7
Actinoalloteichus_hoggarensis_DSM_45943,Bacteria,rank_2,Actinoalloteichus_hoggarensis_DSM_45943,Root,GH18,Bacteria,Actinoalloteichus_hoggarensis_DSM_45943
Actinoalloteichus_hymeniacidonis_HPA177(T)_(=DSM_45092(T)),Bacteria,rank_2,Actinoalloteichus_hymeniacidonis_HPA177(T)_(=DSM_45092(T)),Root,GH18,Bacteria,Actinoalloteichus_hymeniacidonis_HPA177(T)_(=DSM_45092(T))
Actinobacteria_bacterium_IMCC25003,Bacteria,rank_2,Actinobacteria_bacterium_IMCC25003,Root,GH18,Bacteria,Actinobacteria_bacterium_IMCC25003
Actinobacteria_bacterium_IMCC26103,Bacteria,rank_2,Actinobacteria_bacterium_IMCC26103,Root,GH18,Bacteria,Actinobacteria_bacterium_IMCC26103
Actinobacteria_bacterium_YIM_96077,Bacteria,rank_2,Actinobacteria_bacterium_YIM_96077,Root,GH18,Bacteria,Actinobacteria_bacterium_YIM_96077
Actinocatenispora_sera_NBRC_101916,Bacteria,rank_2,Actinocatenispora_sera_NBRC_101916,Root,GH18,Bacteria,Actinocatenispora_sera_NBRC_101916
Actinocatenispora_thailandica_NBRC_105041,Bacteria,rank_2,Actinocatenispora_thailandica_NBRC_105041,Root,GH18,Bacteria,Actinocatenispora_thailandica_NBRC_105041
Actinokineospora_sp._UTMC_2448,Bacteria,rank_2,Actinokineospora_sp._UTMC_2448,Root,GH18,Bacteria,Actinokineospora_sp._UTMC_2448
Actinomadura_graeca_32-07,Bacteria,rank_2,Actinomadura_graeca_32-07,Root,GH18,Bacteria,Actinomadura_graeca_32-07
Actinomadura_madurae_MRC005,Bacteria,rank_2,Actinomadura_madurae_MRC005,Root,GH18,Bacteria,Actinomadura_madurae_MRC005
Actinomadura_sp._NAK00032,Bacteria,rank_2,Actinomadura_sp._NAK00032,Root,GH18,Bacteria,Actinomadura_sp._NAK00032
Actinomadura_sp._WMMB499,Bacteria,rank_2,Actinomadura_sp._WMMB499,Root,GH18,Bacteria,Actinomadura_sp._WMMB499
Actinomadura_verrucosospora_NRRL:B18236,Bacteria,rank_2,Actinomadura_verrucosospora_NRRL:B18236,Root,GH18,Bacteria,Actinomadura_verrucosospora_NRRL:B18236
Actinoplanes_derwentensis_DSM_43941,Bacteria,rank_2,Actinoplanes_derwentensis_DSM_43941,Root,GH18,Bacteria,Actinoplanes_derwentensis_DSM_43941
Actinoplanes_friuliensis_DSM_7358,Bacteria,rank_2,Actinoplanes_friuliensis_DSM_7358,Root,GH18,Bacteria,Actinoplanes_friuliensis_DSM_7358
Actinoplanes_ianthinogenes_NBRC_13996,Bacteria,rank_2,Actinoplanes_ianthinogenes_NBRC_13996,Root,GH18,Bacteria,Actinoplanes_ianthinogenes_NBRC_13996
Actinoplanes_missouriensis_431,Bacteria,rank_2,Actinoplanes_missouriensis_431,Root,GH18,Bacteria,Actinoplanes_missouriensis_431
Actinoplanes_sp._L3-i22,Bacteria,rank_2,Actinoplanes_sp._L3-i22,Root,GH18,Bacteria,Actinoplanes_sp._L3-i22
Actinoplanes_sp._N902-109,Bacteria,rank_2,Actinoplanes_sp._N902-109,Root,GH18,Bacteria,Actinoplanes_sp._N902-109
Actinoplanes_sp._NBRC_14428,Bacteria,rank_2,Actinoplanes_sp._NBRC_14428,Root,GH18,Bacteria,Actinoplanes_sp._NBRC_14428
Actinoplanes_sp._OR16,Bacteria,rank_2,Actinoplanes_sp._OR16,Root,GH18,Bacteria,Actinoplanes_sp._OR16
Actinoplanes_sp._SE50,Bacteria,rank_2,Actinoplanes_sp._SE50,Root,GH18,Bacteria,Actinoplanes_sp._SE50
Actinopolyspora_erythraea_YIM_90600,Bacteria,rank_2,Actinopolyspora_erythraea_YIM_90600,Root,GH18,Bacteria,Actinopolyspora_erythraea_YIM_90600
Actinosynnema_mirum_ATCC_31280,Bacteria,rank_2,Actinosynnema_mirum_ATCC_31280,Root,GH18,Bacteria,Actinosynnema_mirum_ATCC_31280
Actinosynnema_pretiosum_X47,Bacteria,rank_2,Actinosynnema_pretiosum_X47,Root,GH18,Bacteria,Actinosynnema_pretiosum_X47
Acutalibacter_muris_KB18,Bacteria,rank_2,Acutalibacter_muris_KB18,Root,GH18,Bacteria,Acutalibacter_muris_KB18
Adhaeribacter_radiodurans_KUDC8001,Bacteria,rank_2,Adhaeribacter_radiodurans_KUDC8001,Root,GH18,Bacteria,Adhaeribacter_radiodurans_KUDC8001
Adhaeribacter_swui_KCTC_52873,Bacteria,rank_2,Adhaeribacter_swui_KCTC_52873,Root,GH18,Bacteria,Adhaeribacter_swui_KCTC_52873
Adineta_vaga,Eukaryota,rank_2,Adineta_vaga,Root,GH18,Eukaryota,Adineta_vaga
Aedes_aegypti,Eukaryota,rank_2,Aedes_aegypti,Root,GH18,Eukaryota,Aedes_aegypti
Aeribacillus_pallidus_KCTC3564,Bacteria,rank_2,Aeribacillus_pallidus_KCTC3564,Root,GH18,Bacteria,Aeribacillus_pallidus_KCTC3564
Aeribacillus_pallidus_PI8,Bacteria,rank_2,Aeribacillus_pallidus_PI8,Root,GH18,Bacteria,Aeribacillus_pallidus_PI8
Aeromonas_allosaccharophila_FDAARGOS_933,Bacteria,rank_2,Aeromonas_allosaccharophila_FDAARGOS_933,Root,GH18,Bacteria,Aeromonas_allosaccharophila_FDAARGOS_933
Aeromonas_aquatica_MX16A,Bacteria,rank_2,Aeromonas_aquatica_MX16A,Root,GH18,Bacteria,Aeromonas_aquatica_MX16A
Aeromonas_caviae_1507-17068,Bacteria,rank_2,Aeromonas_caviae_1507-17068,Root,GH18,Bacteria,Aeromonas_caviae_1507-17068
Aeromonas_caviae_1605-27183,Bacteria,rank_2,Aeromonas_caviae_1605-27183,Root,GH18,Bacteria,Aeromonas_caviae_1605-27183
Aeromonas_caviae_1607-10029,Bacteria,rank_2,Aeromonas_caviae_1607-10029,Root,GH18,Bacteria,Aeromonas_caviae_1607-10029
Aeromonas_caviae_21006,Bacteria,rank_2,Aeromonas_caviae_21006,Root,GH18,Bacteria,Aeromonas_caviae_21006
Aeromonas_caviae_71485,Bacteria,rank_2,Aeromonas_caviae_71485,Root,GH18,Bacteria,Aeromonas_caviae_71485
Aeromonas_caviae_8LM,Bacteria,rank_2,Aeromonas_caviae_8LM,Root,GH18,Bacteria,Aeromonas_caviae_8LM
Aeromonas_caviae_Aero21,Bacteria,rank_2,Aeromonas_caviae_Aero21,Root,GH18,Bacteria,Aeromonas_caviae_Aero21
Aeromonas_caviae_Aero52,Bacteria,rank_2,Aeromonas_caviae_Aero52,Root,GH18,Bacteria,Aeromonas_caviae_Aero52
Aeromonas_caviae_FDAARGOS_72,Bacteria,rank_2,Aeromonas_caviae_FDAARGOS_72,Root,GH18,Bacteria,Aeromonas_caviae_FDAARGOS_72
Aeromonas_caviae_FDAARGOS_75,Bacteria,rank_2,Aeromonas_caviae_FDAARGOS_75,Root,GH18,Bacteria,Aeromonas_caviae_FDAARGOS_75
Aeromonas_caviae_GSH8M-1,Bacteria,rank_2,Aeromonas_caviae_GSH8M-1,Root,GH18,Bacteria,Aeromonas_caviae_GSH8M-1
Aeromonas_caviae_K1_/_D1,Bacteria,rank_2,Aeromonas_caviae_K1_/_D1,Root,GH18,Bacteria,Aeromonas_caviae_K1_/_D1
Aeromonas_caviae_KAM329,Bacteria,rank_2,Aeromonas_caviae_KAM329,Root,GH18,Bacteria,Aeromonas_caviae_KAM329
Aeromonas_caviae_KAM345,Bacteria,rank_2,Aeromonas_caviae_KAM345,Root,GH18,Bacteria,Aeromonas_caviae_KAM345
Aeromonas_caviae_KAM376,Bacteria,rank_2,Aeromonas_caviae_KAM376,Root,GH18,Bacteria,Aeromonas_caviae_KAM376
Aeromonas_caviae_KAM471,Bacteria,rank_2,Aeromonas_caviae_KAM471,Root,GH18,Bacteria,Aeromonas_caviae_KAM471
Aeromonas_caviae_KAM479,Bacteria,rank_2,Aeromonas_caviae_KAM479,Root,GH18,Bacteria,Aeromonas_caviae_KAM479
Aeromonas_caviae_KAM497,Bacteria,rank_2,Aeromonas_caviae_KAM497,Root,GH18,Bacteria,Aeromonas_caviae_KAM497
Aeromonas_caviae_NCTC12244,Bacteria,rank_2,Aeromonas_caviae_NCTC12244,Root,GH18,Bacteria,Aeromonas_caviae_NCTC12244
Aeromonas_caviae_R25-2,Bacteria,rank_2,Aeromonas_caviae_R25-2,Root,GH18,Bacteria,Aeromonas_caviae_R25-2
Aeromonas_caviae_SCLZS52,Bacteria,rank_2,Aeromonas_caviae_SCLZS52,Root,GH18,Bacteria,Aeromonas_caviae_SCLZS52
Aeromonas_caviae_SS332,Bacteria,rank_2,Aeromonas_caviae_SS332,Root,GH18,Bacteria,Aeromonas_caviae_SS332
Aeromonas_caviae_WCW1-2,Bacteria,rank_2,Aeromonas_caviae_WCW1-2,Root,GH18,Bacteria,Aeromonas_caviae_WCW1-2
Aeromonas_caviae_WP8-S18-ESBL-04,Bacteria,rank_2,Aeromonas_caviae_WP8-S18-ESBL-04,Root,GH18,Bacteria,Aeromonas_caviae_WP8-S18-ESBL-04
Aeromonas_caviae_WS7B,Bacteria,rank_2,Aeromonas_caviae_WS7B,Root,GH18,Bacteria,Aeromonas_caviae_WS7B
Aeromonas_dhakensis_1706-28330,Bacteria,rank_2,Aeromonas_dhakensis_1706-28330,Root,GH18,Bacteria,Aeromonas_dhakensis_1706-28330
Aeromonas_dhakensis_71431,Bacteria,rank_2,Aeromonas_dhakensis_71431,Root,GH18,Bacteria,Aeromonas_dhakensis_71431
Aeromonas_dhakensis_71453,Bacteria,rank_2,Aeromonas_dhakensis_71453,Root,GH18,Bacteria,Aeromonas_dhakensis_71453
Aeromonas_dhakensis_Aer_OnIF1,Bacteria,rank_2,Aeromonas_dhakensis_Aer_OnIF1,Root,GH18,Bacteria,Aeromonas_dhakensis_Aer_OnIF1
Aeromonas_dhakensis_Aer_Pi12.1HTAS,Bacteria,rank_2,Aeromonas_dhakensis_Aer_Pi12.1HTAS,Root,GH18,Bacteria,Aeromonas_dhakensis_Aer_Pi12.1HTAS
Aeromonas_encheleia_H4-C21,Bacteria,rank_2,Aeromonas_encheleia_H4-C21,Root,GH18,Bacteria,Aeromonas_encheleia_H4-C21
Aeromonas_encheleia_NCTC12917,Bacteria,rank_2,Aeromonas_encheleia_NCTC12917,Root,GH18,Bacteria,Aeromonas_encheleia_NCTC12917
Aeromonas_hydrophila_11,Bacteria,rank_2,Aeromonas_hydrophila_11,Root,GH18,Bacteria,Aeromonas_hydrophila_11
Aeromonas_hydrophila_23-C-23,Bacteria,rank_2,Aeromonas_hydrophila_23-C-23,Root,GH18,Bacteria,Aeromonas_hydrophila_23-C-23
Aeromonas_hydrophila_3019,Bacteria,rank_2,Aeromonas_hydrophila_3019,Root,GH18,Bacteria,Aeromonas_hydrophila_3019
Aeromonas_hydrophila_3924,Bacteria,rank_2,Aeromonas_hydrophila_3924,Root,GH18,Bacteria,Aeromonas_hydrophila_3924
Aeromonas_hydrophila_4960,Bacteria,rank_2,Aeromonas_hydrophila_4960,Root,GH18,Bacteria,Aeromonas_hydrophila_4960
Aeromonas_hydrophila_4AK4,Bacteria,rank_2,Aeromonas_hydrophila_4AK4,Root,GH18,Bacteria,Aeromonas_hydrophila_4AK4
Aeromonas_hydrophila_71317,Bacteria,rank_2,Aeromonas_hydrophila_71317,Root,GH18,Bacteria,Aeromonas_hydrophila_71317
Aeromonas_hydrophila_71339,Bacteria,rank_2,Aeromonas_hydrophila_71339,Root,GH18,Bacteria,Aeromonas_hydrophila_71339
Aeromonas_hydrophila_AC185,Bacteria,rank_2,Aeromonas_hydrophila_AC185,Root,GH18,Bacteria,Aeromonas_hydrophila_AC185
Aeromonas_hydrophila_Aer_Pi25.1HTAS,Bacteria,rank_2,Aeromonas_hydrophila_Aer_Pi25.1HTAS,Root,GH18,Bacteria,Aeromonas_hydrophila_Aer_Pi25.1HTAS
Aeromonas_hydrophila_AH-1N,Bacteria,rank_2,Aeromonas_hydrophila_AH-1N,Root,GH18,Bacteria,Aeromonas_hydrophila_AH-1N
Aeromonas_hydrophila_AHNIH1,Bacteria,rank_2,Aeromonas_hydrophila_AHNIH1,Root,GH18,Bacteria,Aeromonas_hydrophila_AHNIH1
Aeromonas_hydrophila_B11,Bacteria,rank_2,Aeromonas_hydrophila_B11,Root,GH18,Bacteria,Aeromonas_hydrophila_B11
Aeromonas_hydrophila_CSUSB2,Bacteria,rank_2,Aeromonas_hydrophila_CSUSB2,Root,GH18,Bacteria,Aeromonas_hydrophila_CSUSB2
Aeromonas_hydrophila_JMP636,Bacteria,rank_2,Aeromonas_hydrophila_JMP636,Root,GH18,Bacteria,Aeromonas_hydrophila_JMP636
Aeromonas_hydrophila_JP101,Bacteria,rank_2,Aeromonas_hydrophila_JP101,Root,GH18,Bacteria,Aeromonas_hydrophila_JP101
Aeromonas_hydrophila_LHW39,Bacteria,rank_2,Aeromonas_hydrophila_LHW39,Root,GH18,Bacteria,Aeromonas_hydrophila_LHW39
Aeromonas_hydrophila_ML10-51K,Bacteria,rank_2,Aeromonas_hydrophila_ML10-51K,Root,GH18,Bacteria,Aeromonas_hydrophila_ML10-51K
Aeromonas_hydrophila_NUITM-VA1,Bacteria,rank_2,Aeromonas_hydrophila_NUITM-VA1,Root,GH18,Bacteria,Aeromonas_hydrophila_NUITM-VA1
Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966,Bacteria,rank_2,Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966,Root,GH18,Bacteria,Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966
Aeromonas_hydrophila_subsp._hydrophila_WCHAH045096,Bacteria,rank_2,Aeromonas_hydrophila_subsp._hydrophila_WCHAH045096,Root,GH18,Bacteria,Aeromonas_hydrophila_subsp._hydrophila_WCHAH045096
Aeromonas_hydrophila_SUWA-9,Bacteria,rank_2,Aeromonas_hydrophila_SUWA-9,Root,GH18,Bacteria,Aeromonas_hydrophila_SUWA-9
Aeromonas_hydrophila_WCX23,Bacteria,rank_2,Aeromonas_hydrophila_WCX23,Root,GH18,Bacteria,Aeromonas_hydrophila_WCX23
Aeromonas_jandaei_3036,Bacteria,rank_2,Aeromonas_jandaei_3036,Root,GH18,Bacteria,Aeromonas_jandaei_3036
Aeromonas_jandaei_3299,Bacteria,rank_2,Aeromonas_jandaei_3299,Root,GH18,Bacteria,Aeromonas_jandaei_3299
Aeromonas_jandaei_4608,Bacteria,rank_2,Aeromonas_jandaei_4608,Root,GH18,Bacteria,Aeromonas_jandaei_4608
Aeromonas_jandaei_4956,Bacteria,rank_2,Aeromonas_jandaei_4956,Root,GH18,Bacteria,Aeromonas_jandaei_4956
Aeromonas_jandaei_Aer_Pi19.1HPAS,Bacteria,rank_2,Aeromonas_jandaei_Aer_Pi19.1HPAS,Root,GH18,Bacteria,Aeromonas_jandaei_Aer_Pi19.1HPAS
Aeromonas_jandaei_FDAARGOS_986,Bacteria,rank_2,Aeromonas_jandaei_FDAARGOS_986,Root,GH18,Bacteria,Aeromonas_jandaei_FDAARGOS_986
Aeromonas_media_Colony414,Bacteria,rank_2,Aeromonas_media_Colony414,Root,GH18,Bacteria,Aeromonas_media_Colony414
Aeromonas_media_E31,Bacteria,rank_2,Aeromonas_media_E31,Root,GH18,Bacteria,Aeromonas_media_E31
Aeromonas_media_R1-18,Bacteria,rank_2,Aeromonas_media_R1-18,Root,GH18,Bacteria,Aeromonas_media_R1-18
Aeromonas_media_R25-3,Bacteria,rank_2,Aeromonas_media_R25-3,Root,GH18,Bacteria,Aeromonas_media_R25-3
Aeromonas_media_T0.1-19,Bacteria,rank_2,Aeromonas_media_T0.1-19,Root,GH18,Bacteria,Aeromonas_media_T0.1-19
Aeromonas_media_WP7-W18-ESBL-02,Bacteria,rank_2,Aeromonas_media_WP7-W18-ESBL-02,Root,GH18,Bacteria,Aeromonas_media_WP7-W18-ESBL-02
Aeromonas_media_WS,Bacteria,rank_2,Aeromonas_media_WS,Root,GH18,Bacteria,Aeromonas_media_WS
Aeromonas_rivipollensis_KN-Mc-11N1,Bacteria,rank_2,Aeromonas_rivipollensis_KN-Mc-11N1,Root,GH18,Bacteria,Aeromonas_rivipollensis_KN-Mc-11N1
Aeromonas_rivuli_20-VB00005,Bacteria,rank_2,Aeromonas_rivuli_20-VB00005,Root,GH18,Bacteria,Aeromonas_rivuli_20-VB00005
Aeromonas_salmonicida_A527,Bacteria,rank_2,Aeromonas_salmonicida_A527,Root,GH18,Bacteria,Aeromonas_salmonicida_A527
Aeromonas_salmonicida_FN1,Bacteria,rank_2,Aeromonas_salmonicida_FN1,Root,GH18,Bacteria,Aeromonas_salmonicida_FN1
Aeromonas_salmonicida_S121,Bacteria,rank_2,Aeromonas_salmonicida_S121,Root,GH18,Bacteria,Aeromonas_salmonicida_S121
Aeromonas_salmonicida_subsp._masoucida_RZ6S-1,Bacteria,rank_2,Aeromonas_salmonicida_subsp._masoucida_RZ6S-1,Root,GH18,Bacteria,Aeromonas_salmonicida_subsp._masoucida_RZ6S-1
Aeromonas_salmonicida_subsp._pectinolytica_34mel,Bacteria,rank_2,Aeromonas_salmonicida_subsp._pectinolytica_34mel,Root,GH18,Bacteria,Aeromonas_salmonicida_subsp._pectinolytica_34mel
Aeromonas_salmonicida_subsp._salmonicida_A449,Bacteria,rank_2,Aeromonas_salmonicida_subsp._salmonicida_A449,Root,GH18,Bacteria,Aeromonas_salmonicida_subsp._salmonicida_A449
Aeromonas_salmonicida_SWSY-1.411,Bacteria,rank_2,Aeromonas_salmonicida_SWSY-1.411,Root,GH18,Bacteria,Aeromonas_salmonicida_SWSY-1.411
Aeromonas_sanarellii_NS1,Bacteria,rank_2,Aeromonas_sanarellii_NS1,Root,GH18,Bacteria,Aeromonas_sanarellii_NS1
Aeromonas_schubertii_LF1708,Bacteria,rank_2,Aeromonas_schubertii_LF1708,Root,GH18,Bacteria,Aeromonas_schubertii_LF1708
Aeromonas_schubertii_WL1483,Bacteria,rank_2,Aeromonas_schubertii_WL1483,Root,GH18,Bacteria,Aeromonas_schubertii_WL1483
Aeromonas_simiae_A6,Bacteria,rank_2,Aeromonas_simiae_A6,Root,GH18,Bacteria,Aeromonas_simiae_A6
Aeromonas_sp._ASNIH3,Bacteria,rank_2,Aeromonas_sp._ASNIH3,Root,GH18,Bacteria,Aeromonas_sp._ASNIH3
Aeromonas_sp._ASNIH5,Bacteria,rank_2,Aeromonas_sp._ASNIH5,Root,GH18,Bacteria,Aeromonas_sp._ASNIH5
Aeromonas_sp._ASNIH7,Bacteria,rank_2,Aeromonas_sp._ASNIH7,Root,GH18,Bacteria,Aeromonas_sp._ASNIH7
Aeromonas_sp._CA23,Bacteria,rank_2,Aeromonas_sp._CA23,Root,GH18,Bacteria,Aeromonas_sp._CA23
Aeromonas_sp._CD3_/_Aeromonas_veronii_CD3,Bacteria,rank_2,Aeromonas_sp._CD3_/_Aeromonas_veronii_CD3,Root,GH18,Bacteria,Aeromonas_sp._CD3_/_Aeromonas_veronii_CD3
Aeromonas_sp._CU5,Bacteria,rank_2,Aeromonas_sp._CU5,Root,GH18,Bacteria,Aeromonas_sp._CU5
Aeromonas_sp._O23A,Bacteria,rank_2,Aeromonas_sp._O23A,Root,GH18,Bacteria,Aeromonas_sp._O23A
Aeromonas_sp._SK10,Bacteria,rank_2,Aeromonas_sp._SK10,Root,GH18,Bacteria,Aeromonas_sp._SK10
Aeromonas_sp._SK15,Bacteria,rank_2,Aeromonas_sp._SK15,Root,GH18,Bacteria,Aeromonas_sp._SK15
