representative	genome
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.15_76.90_1.72	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.15_76.90_1.72
Fen.Unlabelled.R1.T3.F1.trimmomatic.metaspades_bin.26_71.72_1.72	Fen.Unlabelled.R1.T3.F1.trimmomatic.metaspades_bin.26_71.72_1.72
20111000_P1D_7	20111000_P1D_7
20120800_E3X_29	20120800_E3X_29
20120700_P3D_44	20120700_P3D_44
20120800_E3D_7	20120800_E3D_7
Bog.None.R1.T0.trimmomatic.megahit_bin.25_70.90_0.94	Bog.None.R1.T0.trimmomatic.megahit_bin.25_70.90_0.94
20120700_P3D_54	20120700_P3D_54
20120700_P1D_9	20120700_P1D_9
PLYL01	PLYL01
20110800_P3M_3	20110800_P3M_3
20120700_P3D_122	20120700_P3D_122
PLYO01	PLYO01
20110800_P1M_20	20110800_P1M_20
20111000_P3M_16	20111000_P3M_16
20120700_S1D_51	20120700_S1D_51
20130700_S1Z_5	20130700_S1Z_5
20120600_E3D_14	20120600_E3D_14
Bog.None.R3.T0.JGI.BFC.metaspades_bin.199_96.50_2.76	Bog.None.R3.T0.JGI.BFC.metaspades_bin.199_96.50_2.76
20120500_P31_8	20120500_P31_8
3300037141_6	3300037141_6
20130700_C2M_16	20130700_C2M_16
20120800_E2D_4	20120800_E2D_4
20120700_S1D_5	20120700_S1D_5
20110800_S3S_26	20110800_S3S_26
3300037129_8	3300037129_8
20140700_S21_6	20140700_S21_6
20120700_P3D_39	20120700_P3D_39
20110800_S3S_21	20110800_S3S_21
20110800_P1M_16	20110800_P1M_16
20170700_S33_23	20170700_S33_23
20120700_P3D_50	20120700_P3D_50
20120700_S1S_1	20120700_S1S_1
20120600_P3M_5	20120600_P3M_5
20120700_P3D_32	20120700_P3D_32
20110800_E2D_6	20110800_E2D_6
20160700_S34_5	20160700_S34_5
20120700_S1D_6	20120700_S1D_6
Fen.Unlabelled.R3.T1.F3.trimmomatic.megahit_bin.1_88.35_4.39	Fen.Unlabelled.R3.T1.F3.trimmomatic.megahit_bin.1_88.35_4.39
20120700_E3M_2	20120700_E3M_2
20120800_E2X_3	20120800_E2X_3
20120600_P3M_10	20120600_P3M_10
20120700_S1D_21	20120700_S1D_21
PLYA01	PLYA01
20110700_P3S_3	20110700_P3S_3
20170700_P34_1	20170700_P34_1
20120600_E3D_49	20120600_E3D_49
20130700_C2M_8	20130700_C2M_8
20120800_E1X_3	20120800_E1X_3
3300037054_6	3300037054_6
20170700_S25_7	20170700_S25_7
20120600_E1D_38	20120600_E1D_38
20170700_P24_4	20170700_P24_4
20120700_S1D_26	20120700_S1D_26
3300037549_14	3300037549_14
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.302_75.29_1.72	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.302_75.29_1.72
PLXF01	PLXF01
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.61_83.67_6.26	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.61_83.67_6.26
PLTT01	PLTT01
20170700_S35_18	20170700_S35_18
20110800_E2D_9	20110800_E2D_9
Bog.None.R1.T0.trimmomatic.megahit_bin.19_85.66_3.93	Bog.None.R1.T0.trimmomatic.megahit_bin.19_85.66_3.93
PMBW01	PMBW01
20111000_P1D_6	20111000_P1D_6
20120700_P3D_36	20120700_P3D_36
20111000_S2S_7	20111000_S2S_7
20160700_S23_14	20160700_S23_14
20120800_E2D_20	20120800_E2D_20
20150700_E15_4	20150700_E15_4
20110600_P1M_1	20110600_P1M_1
20110600_P1M_18	20110600_P1M_18
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.137_79.13_4.55	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.137_79.13_4.55
20120800_E3X_26	20120800_E3X_26
20150700_E23_7	20150700_E23_7
20120700_P3D_17	20120700_P3D_17
20120600_P3D_1	20120600_P3D_1
20160700_E23_26	20160700_E23_26
20120700_P3D_132	20120700_P3D_132
PMBV01	PMBV01
20160700_E25_13	20160700_E25_13
3300037262_8	3300037262_8
20160700_P15_24	20160700_P15_24
3300037228_7	3300037228_7
3300037224_12	3300037224_12
20160700_E23_11	20160700_E23_11
20120700_P3D_35	20120700_P3D_35
20110800_E2D_18	20110800_E2D_18
20110700_P2D_21	20110700_P2D_21
3300037109_9	3300037109_9
Bog.None.R2.T0.JGI.BFC.metaspades_bin.328_92.09_2.03	Bog.None.R2.T0.JGI.BFC.metaspades_bin.328_92.09_2.03
20110600_P1M_9	20110600_P1M_9
20120700_S1D_104	20120700_S1D_104
PMCP01	PMCP01
20130700_C1D_1	20130700_C1D_1
20170700_S33_5	20170700_S33_5
3300037361_6	3300037361_6
3300038457_7	3300038457_7
20111000_P3M_27	20111000_P3M_27
Bog.None.R2.T0.JGI.BFC.metaspades_bin.302_84.77_4.31	Bog.None.R2.T0.JGI.BFC.metaspades_bin.302_84.77_4.31
Bog.None.R2.T0.trimmomatic.megahit_bin.319_70.21_1.04	Bog.None.R2.T0.trimmomatic.megahit_bin.319_70.21_1.04
20110800_S1S_9	20110800_S1S_9
3300037196_13	3300037196_13
20110800_E3D_19	20110800_E3D_19
20120800_E2D_3	20120800_E2D_3
20110600_P2S_1	20110600_P2S_1
PMLV01	PMLV01
20111000_P1S_1	20111000_P1S_1
PMBX01	PMBX01
3300037076_33	3300037076_33
20160700_S23_13	20160700_S23_13
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.145_89.00_3.30	Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.145_89.00_3.30
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.146_89.53_8.55	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.146_89.53_8.55
20150700_P14_8	20150700_P14_8
20120700_P3D_8	20120700_P3D_8
PMDG01	PMDG01
Fen.Labelled.R2.T3.F3.trimmomatic.megahit_bin.61_79.72_3.54	Fen.Labelled.R2.T3.F3.trimmomatic.megahit_bin.61_79.72_3.54
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.238_96.77_6.03	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.238_96.77_6.03
PLYN01	PLYN01
20140700_E15_1	20140700_E15_1
PLSJ01	PLSJ01
20120600_E1D_20	20120600_E1D_20
20120700_P3D_74	20120700_P3D_74
20120500_P23_4	20120500_P23_4
3300037132_13	3300037132_13
20111000_P3M_28	20111000_P3M_28
Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.142_77.88_5.57	Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.142_77.88_5.57
20140700_S31_9	20140700_S31_9
PLXZ01	PLXZ01
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.65_88.41_5.13	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.65_88.41_5.13
20111000_P3M_17	20111000_P3M_17
3300037085_4	3300037085_4
Bog.None.R2.T0.trimmomatic.megahit_bin.251_70.02_6.28	Bog.None.R2.T0.trimmomatic.megahit_bin.251_70.02_6.28
3300026366_1	3300026366_1
20120600_E2D_27	20120600_E2D_27
20111000_P2D_18	20111000_P2D_18
20110600_P1M_5	20110600_P1M_5
20170700_P33_1	20170700_P33_1
20120700_S1D_103	20120700_S1D_103
20120700_P3S_3	20120700_P3S_3
20111000_P3M_37	20111000_P3M_37
PMAZ01	PMAZ01
20120800_E1X_6	20120800_E1X_6
Fen.Labelled.R3.T2.F4.JGI.BFC.metaspades_bin.21_76.66_1.58	Fen.Labelled.R3.T2.F4.JGI.BFC.metaspades_bin.21_76.66_1.58
20130700_S3M_3	20130700_S3M_3
20110600_P1D_7	20110600_P1D_7
20120700_P3D_142	20120700_P3D_142
Palsa.Unlabelled.R1.T3.F1.trimmomatic.megahit_bin.151_86.89_7.28	Palsa.Unlabelled.R1.T3.F1.trimmomatic.megahit_bin.151_86.89_7.28
20110600_P1M_23	20110600_P1M_23
Fen.Unlabelled.R3.T2.F3.trimmomatic.megahit_bin.16_89.30_6.01	Fen.Unlabelled.R3.T2.F3.trimmomatic.megahit_bin.16_89.30_6.01
3300037233_9	3300037233_9
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.158_96.58_0.85	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.158_96.58_0.85
20170700_E14_6	20170700_E14_6
20111000_S3S_4	20111000_S3S_4
PMCE01	PMCE01
3300037076_8	3300037076_8
Bog.None.R1.T0.trimmomatic.megahit_bin.314_85.82_2.79	Bog.None.R1.T0.trimmomatic.megahit_bin.314_85.82_2.79
3300038458_11	3300038458_11
Fen.Labelled.R3.T1.F2.JGI.BFC.metaspades_bin.26_80.66_5.49	Fen.Labelled.R3.T1.F2.JGI.BFC.metaspades_bin.26_80.66_5.49
20110800_E1S_2	20110800_E1S_2
20110800_S3S_13	20110800_S3S_13
20160700_S23_8	20160700_S23_8
Fen.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.21_87.87_4.97	Fen.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.21_87.87_4.97
20110800_E3D_30	20110800_E3D_30
20110600_P3S_14	20110600_P3S_14
20120600_E1D_48	20120600_E1D_48
3300037156_8	3300037156_8
20110800_P1M_5	20110800_P1M_5
20120700_P3D_33	20120700_P3D_33
20120700_S1D_108	20120700_S1D_108
20111000_P2D_16	20111000_P2D_16
20120700_S1D_113	20120700_S1D_113
20120500_P28_3	20120500_P28_3
3300037361_7	3300037361_7
3300036884_17	3300036884_17
20120700_E3M_5	20120700_E3M_5
Bog.None.R1.T0.trimmomatic.megahit_bin.289_96.76_2.78	Bog.None.R1.T0.trimmomatic.megahit_bin.289_96.76_2.78
3300037225_16	3300037225_16
20120600_P1M_1	20120600_P1M_1
Bog.Unlabelled.R3.T1.F1.trimmomatic.metaspades_bin.28_77.90_3.26	Bog.Unlabelled.R3.T1.F1.trimmomatic.metaspades_bin.28_77.90_3.26
3300037054_4	3300037054_4
3300037549_11	3300037549_11
3300037222_12	3300037222_12
20170700_S34_11	20170700_S34_11
20130700_C2M_20	20130700_C2M_20
20120600_E1D_32	20120600_E1D_32
20110700_P1S_2	20110700_P1S_2
20130700_E2M_4	20130700_E2M_4
Fen.Labelled.R3.T2.F4.trimmomatic.metaspades_bin.60_70.06_0.86	Fen.Labelled.R3.T2.F4.trimmomatic.metaspades_bin.60_70.06_0.86
PMCR01	PMCR01
20110800_P1D_21	20110800_P1D_21
20120700_P3D_3	20120700_P3D_3
20120500_P17_6	20120500_P17_6
20120700_P3D_21	20120700_P3D_21
20120700_P3D_75	20120700_P3D_75
Bog.Labelled.R2.T1.F3.trimmomatic.megahit_bin.3_74.36_1.22	Bog.Labelled.R2.T1.F3.trimmomatic.megahit_bin.3_74.36_1.22
Bog.None.R2.T0.JGI.BFC.metaspades_bin.27_84.99_8.62	Bog.None.R2.T0.JGI.BFC.metaspades_bin.27_84.99_8.62
Fen.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.46_84.21_3.03	Fen.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.46_84.21_3.03
PLXG01	PLXG01
Fen.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.10_74.46_4.17	Fen.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.10_74.46_4.17
20120700_E2X_1	20120700_E2X_1
20110800_P1M_14	20110800_P1M_14
20120800_E3S_10	20120800_E3S_10
Fen.Labelled.R1.T3.F1.JGI.BFC.metaspades_bin.88_90.34_8.06	Fen.Labelled.R1.T3.F1.JGI.BFC.metaspades_bin.88_90.34_8.06
20110600_P1M_6	20110600_P1M_6
PLXK01	PLXK01
20160700_E25_5	20160700_E25_5
3300037316_8	3300037316_8
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.97_73.23_1.91	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.97_73.23_1.91
3300023232_1	3300023232_1
20150700_P13_2	20150700_P13_2
PLXB01	PLXB01
20130700_E3Z_11	20130700_E3Z_11
20120700_S1D_28	20120700_S1D_28
Palsa.Unlabelled.R1.T3.F1.trimmomatic.megahit_bin.10_70.35_4.99	Palsa.Unlabelled.R1.T3.F1.trimmomatic.megahit_bin.10_70.35_4.99
20111000_E3D_2	20111000_E3D_2
20130700_C2Y_2	20130700_C2Y_2
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.148_86.97_6.42	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.148_86.97_6.42
20120700_P3D_105	20120700_P3D_105
3300031726_9	3300031726_9
20160700_E23_20	20160700_E23_20
Fen.Unlabelled.R1.T1.F1.JGI.BFC.metaspades_bin.15_79.61_4.68	Fen.Unlabelled.R1.T1.F1.JGI.BFC.metaspades_bin.15_79.61_4.68
3300037076_25	3300037076_25
20120700_P3D_11	20120700_P3D_11
20160700_P15_16	20160700_P15_16
20110800_P2D_1	20110800_P2D_1
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.140_93.10_9.25	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.140_93.10_9.25
20110600_P1M_20	20110600_P1M_20
20110700_P1S_10	20110700_P1S_10
PMNO01	PMNO01
20120700_P3D_112	20120700_P3D_112
20120600_E2D_47	20120600_E2D_47
20110800_E3D_41	20110800_E3D_41
Bog.None.R3.T0.trimmomatic.megahit_bin.83_78.97_4.55	Bog.None.R3.T0.trimmomatic.megahit_bin.83_78.97_4.55
20160700_E25_16	20160700_E25_16
3300037156_10	3300037156_10
PMBB01	PMBB01
PLXD01	PLXD01
20170700_S33_24	20170700_S33_24
Fen.Unlabelled.R1.T1.F1.trimmomatic.metaspades_bin.46_98.77_0.00	Fen.Unlabelled.R1.T1.F1.trimmomatic.metaspades_bin.46_98.77_0.00
20110800_P1D_37	20110800_P1D_37
20130700_C1D_9	20130700_C1D_9
20111000_P3M_39	20111000_P3M_39
20110700_P1M_3	20110700_P1M_3
Bog.None.R1.T0.trimmomatic.megahit_bin.240_81.43_2.70	Bog.None.R1.T0.trimmomatic.megahit_bin.240_81.43_2.70
PLXJ01	PLXJ01
20150700_P15_1	20150700_P15_1
PMBZ01	PMBZ01
Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.103_71.98_4.06	Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.103_71.98_4.06
PKWS01	PKWS01
20170700_S34_13	20170700_S34_13
20170700_S35_19	20170700_S35_19
20120700_S1D_33	20120700_S1D_33
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.109_80.72_7.50	Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.109_80.72_7.50
Fen.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.16_71.22_0.00	Fen.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.16_71.22_0.00
20120500_P32_5	20120500_P32_5
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.319_82.00_3.81	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.319_82.00_3.81
Bog.None.R1.T0.trimmomatic.megahit_bin.150_72.98_1.61	Bog.None.R1.T0.trimmomatic.megahit_bin.150_72.98_1.61
20120700_P3D_91	20120700_P3D_91
20160700_S23_5	20160700_S23_5
PMOM01	PMOM01
20120600_E1D_55	20120600_E1D_55
20130700_C2X_6	20130700_C2X_6
Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.134_78.37_6.24	Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.134_78.37_6.24
3300037076_30	3300037076_30
20110700_P3S_8	20110700_P3S_8
20120700_P3D_38	20120700_P3D_38
PMCI01	PMCI01
PMOF01	PMOF01
3300037076_10	3300037076_10
20160700_P15_17	20160700_P15_17
20110600_P1M_13	20110600_P1M_13
20110800_P1M_8	20110800_P1M_8
Palsa.Labelled.R1.T1.F3.JGI.BFC.metaspades_bin.27_84.23_6.23	Palsa.Labelled.R1.T1.F3.JGI.BFC.metaspades_bin.27_84.23_6.23
20120800_E3X_18	20120800_E3X_18
Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.40_72.49_7.33	Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.40_72.49_7.33
20120700_P3D_72	20120700_P3D_72
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.263_87.12_8.86	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.263_87.12_8.86
Bog.None.R2.T0.JGI.BFC.metaspades_bin.94_71.04_6.96	Bog.None.R2.T0.JGI.BFC.metaspades_bin.94_71.04_6.96
Bog.None.R3.T0.JGI.BFC.metaspades_bin.143_78.72_9.48	Bog.None.R3.T0.JGI.BFC.metaspades_bin.143_78.72_9.48
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.247_71.06_5.63	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.247_71.06_5.63
20110600_S1M_11	20110600_S1M_11
Bog.None.R2.T0.JGI.BFC.metaspades_bin.145_77.41_6.25	Bog.None.R2.T0.JGI.BFC.metaspades_bin.145_77.41_6.25
20130700_E2D_3	20130700_E2D_3
20140700_E22_1	20140700_E22_1
20110700_P1D_2	20110700_P1D_2
Palsa.Labelled.R3.T3.F1.trimmomatic.metaspades_bin.66_72.58_1.19	Palsa.Labelled.R3.T3.F1.trimmomatic.metaspades_bin.66_72.58_1.19
20120700_P3D_79	20120700_P3D_79
20110700_P3M_3	20110700_P3M_3
20120700_P3D_71	20120700_P3D_71
Fen.Labelled.R2.T3.F3.trimmomatic.megahit_bin.52_84.89_1.03	Fen.Labelled.R2.T3.F3.trimmomatic.megahit_bin.52_84.89_1.03
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.267_77.18_5.22	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.267_77.18_5.22
20120600_E3D_3	20120600_E3D_3
20120700_S1D_9	20120700_S1D_9
20120700_S1D_31	20120700_S1D_31
Bog.None.R1.T0.trimmomatic.megahit_bin.343_79.15_3.48	Bog.None.R1.T0.trimmomatic.megahit_bin.343_79.15_3.48
20120600_E3D_36	20120600_E3D_36
Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.52_71.83_0.86	Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.52_71.83_0.86
20130700_C1Y_5	20130700_C1Y_5
PLXR01	PLXR01
20170700_S33_37	20170700_S33_37
20120800_E3X_22	20120800_E3X_22
20170700_S34_32	20170700_S34_32
PMDT01	PMDT01
Palsa.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.99_77.59_0.98	Palsa.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.99_77.59_0.98
Fen.Labelled.R2.T1.F2.JGI.BFC.metaspades_bin.6_87.76_3.48	Fen.Labelled.R2.T1.F2.JGI.BFC.metaspades_bin.6_87.76_3.48
20120800_E2X_11	20120800_E2X_11
20120700_S1D_29	20120700_S1D_29
20170700_S34_23	20170700_S34_23
20110800_S1S_12	20110800_S1S_12
20120600_S2M_11	20120600_S2M_11
20170700_E11_1	20170700_E11_1
Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.23_78.59_2.20	Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.23_78.59_2.20
20110800_E2D_34	20110800_E2D_34
20110800_S1S_18	20110800_S1S_18
20120700_S1D_30	20120700_S1D_30
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.239_74.60_5.56	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.239_74.60_5.56
Bog.None.R3.T0.trimmomatic.megahit_bin.67_73.32_6.98	Bog.None.R3.T0.trimmomatic.megahit_bin.67_73.32_6.98
20110800_E2S_11	20110800_E2S_11
Palsa.Labelled.R3.T3.F3.trimmomatic.megahit_bin.132_78.35_6.03	Palsa.Labelled.R3.T3.F3.trimmomatic.megahit_bin.132_78.35_6.03
20130700_C2M_9	20130700_C2M_9
20100900_E1D_9	20100900_E1D_9
20120700_E3M_1	20120700_E3M_1
Fen.Unlabelled.R2.T1.F3.trimmomatic.megahit_bin.38_73.55_6.79	Fen.Unlabelled.R2.T1.F3.trimmomatic.megahit_bin.38_73.55_6.79
3300038461_5	3300038461_5
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.147_84.14_8.29	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.147_84.14_8.29
Fen.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.57_85.17_9.86	Fen.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.57_85.17_9.86
20120700_S1D_115	20120700_S1D_115
3300037549_16	3300037549_16
20120800_E1X_7	20120800_E1X_7
20110600_P2S_3	20110600_P2S_3
Bog.None.R1.T0.trimmomatic.megahit_bin.358_74.42_8.60	Bog.None.R1.T0.trimmomatic.megahit_bin.358_74.42_8.60
Palsa.Unlabelled.R1.T3.F1.JGI.BFC.metaspades_bin.12_70.80_5.32	Palsa.Unlabelled.R1.T3.F1.JGI.BFC.metaspades_bin.12_70.80_5.32
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.210_73.18_6.21	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.210_73.18_6.21
20120700_S1D_39	20120700_S1D_39
Fen.Unlabelled.R1.T2.F1.JGI.BFC.metaspades_bin.83_76.02_7.93	Fen.Unlabelled.R1.T2.F1.JGI.BFC.metaspades_bin.83_76.02_7.93
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.60_72.97_9.43	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.60_72.97_9.43
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.211_84.38_6.90	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.211_84.38_6.90
20160700_P15_10	20160700_P15_10
3300026368_2	3300026368_2
3300037360_7	3300037360_7
Bog.None.R3.T0.JGI.BFC.metaspades_bin.267_72.59_8.57	Bog.None.R3.T0.JGI.BFC.metaspades_bin.267_72.59_8.57
Palsa.Labelled.R3.T1.F2.trimmomatic.megahit_bin.31_72.28_6.84	Palsa.Labelled.R3.T1.F2.trimmomatic.megahit_bin.31_72.28_6.84
Fen.Labelled.R2.T3.F3.JGI.BFC.metaspades_bin.38_80.01_9.95	Fen.Labelled.R2.T3.F3.JGI.BFC.metaspades_bin.38_80.01_9.95
