MAG	Data Origin	VIP Score	Module Color	Environmental Variable	Pathways
20150700_P24_5	All	1.25199037443	blue	d15N_peat	CAZy-Chitin,CAZy-Starch,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,propionate_fermentation-succinate_pathway,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway
20110800_P3M_11	All	1.23355192195	blue	d15N_peat	CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Polyphenolics,CAZy-Starch,fructose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,reductive_glycine-serine_pathway
3300037353_11	All	1.12745078482	blue	d15N_peat	butanoate_fermentation-acetyl_coa_pathway,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,glycerol_degradation-glycerol,sucrose_degradation-all,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway
20150700_P23_7	All	1.12720859068	blue	d15N_peat	acetogenesis-simple,CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Polyphenolics,CAZy-Xylans,chemotaxis-all,flagella_assembly-all,glycerol_degradation-glycerol,lactate_fermentation-all,mannose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all
20110800_P3M_3	All	1.09684534483	blue	d15N_peat	butanoate_fermentation-acetyl_coa_pathway,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xyloglucan,galactose_degradation-all,galacturonic_acid_degradation-all,lactose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all
20120500_P15_4	All	1.08018419378	blue	d15N_peat	Calvin_Benson-all,CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Xylans,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway
20160700_P15_19	All	1.03915098025	blue	d15N_peat	CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway,xylose_degradation-xylonate_hydratase_pathway
20120500_P23_6	All	2.25745276877	blue	d15N_peat	Calvin_Benson-all,CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway
20170700_P14_3	All	2.15941898863	blue	d15N_peat	acetogenesis-simple,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-xylonate_hydratase_pathway
3300037180_6	All	1.81993105305	blue	d15N_peat	CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction
20160700_P15_13	All	1.80035454901	blue	d15N_peat	CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,urea_degradation-all,xylose_degradation-isomerase_pathway
20120700_P2M_1	All	1.71727428937	blue	d15N_peat	Calvin_Benson-all,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,chemotaxis-all,lactate_fermentation-all,urea_degradation-all
20160700_P15_3	All	1.41688618784	blue	d15N_peat	CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Pectin,CAZy-Xyloglucan,chemotaxis-all,glycerol_degradation-glycerol
20150700_P24_12	All	1.40336254217	blue	d15N_peat	acetogenesis-simple,CAZy-Alpha_galactans,CAZy-Alpha_mannan,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,propionate_fermentation-succinate_pathway,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-xylonate_hydratase_pathway
20120600_P3D_3	All	1.33695464307	blue	d15N_peat	CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,glycerol_degradation-glycerol,reductive_glycine-serine_pathway,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction
20120700_P1M_6	All	1.31788699553	blue	d15N_peat	CAZy-Alpha_mannan,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,xylose_degradation-isomerase_pathway,xylose_degradation-xylonate_hydratase_pathway
20110700_P3M_11	All	1.28822866857	blue	d15N_peat	Calvin_Benson-all,CAZy-Alpha_mannan,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction
20150700_P24_5	All	1.25199037443	blue	d15N_peat	CAZy-Chitin,CAZy-Starch,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,propionate_fermentation-succinate_pathway,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway
20110800_P3M_11	All	1.23355192195	blue	d15N_peat	CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Polyphenolics,CAZy-Starch,fructose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,reductive_glycine-serine_pathway
3300037353_11	All	1.12745078482	blue	d15N_peat	butanoate_fermentation-acetyl_coa_pathway,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,glycerol_degradation-glycerol,sucrose_degradation-all,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway
20150700_P23_7	All	1.12720859068	blue	d15N_peat	acetogenesis-simple,CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Polyphenolics,CAZy-Xylans,chemotaxis-all,flagella_assembly-all,glycerol_degradation-glycerol,lactate_fermentation-all,mannose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all
20110800_P3M_3	All	1.09684534483	blue	d15N_peat	butanoate_fermentation-acetyl_coa_pathway,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xyloglucan,galactose_degradation-all,galacturonic_acid_degradation-all,lactose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all
20120500_P15_4	All	1.08018419378	blue	d15N_peat	Calvin_Benson-all,CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Xylans,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway
20160700_P15_19	All	1.03915098025	blue	d15N_peat	CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway,xylose_degradation-xylonate_hydratase_pathway
PLGY01	Bog	3.25671813247	blue	N.percent	CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,hydrogenotrophic_methanogenesis-all,Wood_Ljungdahl-methanogen
20120700_S1X_2	Bog	3.24720676391	blue	N.percent	CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,propionate_fermentation-succinate_pathway,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway
20140700_E22_12	Bog	2.93402182243	blue	N.percent	Calvin_Benson-all,CAZy-Amorphous_Cellulose,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Xylans,chemotaxis-all,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sulfur_redox-dissimilatory_sulfur_oxidation,xylose_degradation-isomerase_pathway
20170700_S25_26	Bog	2.67614061655	blue	N.percent	CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sucrose_degradation-all,urea_degradation-all
20110800_S1M_17	Bog	2.67409829844	blue	N.percent	butanoate_fermentation-acetyl_coa_pathway,Calvin_Benson-all,CAZy-Arabinan,CAZy-Chitin,CAZy-Starch,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation
20140700_S15_2	Bog	2.57847281968	blue	N.percent	butanoate_fermentation-acetyl_coa_pathway,CAZy-Starch,fructose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation
20110800_E3D_9	Bog	2.21692307559	blue	N.percent	CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway
Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00	Bog	2.10015515459	blue	N.percent	acetogenesis-simple,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,nitrogen_redox-nitrogen_fixation,phosphorous_redox-assimilatory_phosphonate_oxidation,propionate_fermentation-succinate_pathway,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway
20110800_S1D_14	Bog	1.96844857563	blue	N.percent	butanoate_fermentation-acetyl_coa_pathway,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,ethanol_fermentation-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,propionate_fermentation-succinate_pathway,sucrose_degradation-all
20110800_S2M_3	Bog	1.802266106	blue	N.percent	acetogenesis-simple,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,xylose_degradation-xylonate_hydratase_pathway
20170700_S24_10	Bog	1.74225184405	blue	N.percent	acetogenesis-simple,CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction
20170700_S25_9	Bog	1.69802887505	blue	N.percent	acetogenesis-simple,CAZy-Chitin,CAZy-Starch,chemotaxis-all,flagella_assembly-all
20110700_S3M_11	Bog	1.4851333942	blue	N.percent	acetogenesis-simple,CAZy-Alpha_mannan,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,sucrose_degradation-all
20160700_S15_2	Bog	1.48449346286	blue	N.percent	Calvin_Benson-all,CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,ethanol_fermentation-all,fructose_degradation-all,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway
PLPO01	Bog	1.39378403363	blue	N.percent	CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all
PLGF01	Bog	1.36882566495	blue	N.percent	acetogenesis-simple,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,flagella_assembly-all,galactose_degradation-all,lactose_degradation-all,reductive_glycine-acetyl_pathway,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway
20120700_S2X_13	Bog	1.26054594593	blue	N.percent	CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway
20120700_S3X_18	Bog	1.23409475629	blue	N.percent	CAZy-Amorphous_Cellulose,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Xylans,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,xylose_degradation-isomerase_pathway
20120800_S3X_7	Bog	1.22370367868	blue	N.percent	acetogenesis-simple,CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,fructose_degradation-all,nitrogen_redox-nitrogen_fixation,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sucrose_degradation-all
20110800_S3D_19	Bog	1.17065180684	blue	N.percent	Calvin_Benson-all,CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,ethanol_fermentation-all,flagella_assembly-all,lactate_fermentation-all,sucrose_degradation-all,sulfur_redox-dissimilatory_sulfate_reduction
PLNV01	Bog	1.16317519639	blue	N.percent	CAZy-Chitin,chemotaxis-all,glycerol_degradation-glycerol,nitrogen_redox-nitrogen_fixation,phosphorous_redox-anabolic_phosphate_reduction
3300037175_6	Bog	1.1570077984	blue	N.percent	acetogenesis-simple,CAZy-Amorphous_Cellulose,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Polyphenolics,CAZy-Rhamnose_cleavage,CAZy-Starch,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,mannose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,Wood_Ljungdahl-acetogen
