genome	taxonomy	completeness	contamination
20110700_S2D_2	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003139995	95.01	0.85
20110700_S2D_3	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Sulfotelmatobacter;s__	76.07	0.48
20130700_C2D_3	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	88.24	0.86
20160700_S23_5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-159;s__	84.16	3.12
20170700_S25_25	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__Bog-877;g__Bog-877;s__Bog-877 sp003164475	92.73	0.93
20110700_S2D_8	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__Bog-756 sp003138855	97.44	2.14
20110700_S2D_9	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__	78.33	1.28
20120800_S2X_4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp003139795	88.96	1.72
20111000_P3D_14	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Sulfotelmatobacter;s__Sulfotelmatobacter sp003134655	94.09	0.85
20110700_S1D_3	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp003155915	97.44	1.28
20140700_S13_2	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__UBA11358;s__UBA11358 sp003134375	97.30	6.08
20170700_S25_29	d__Bacteria;p__Goldbacteria;c__PGYV01;o__PGYV01;f__Palsa-1178;g__Bog-1181;s__Bog-1181 sp003159495	98.88	2.81
20160700_E21_4	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp003163875	91.57	0.43
20120700_E1D_7	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Fen-330;s__Fen-330 sp003154855	93.42	0.88
20111000_S1D_8	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__Fen-671;s__Fen-671 sp003166025	87.23	2.42
20120800_S2X_5	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Fen-455;s__Fen-455 sp003139355	84.66	2.99
20130700_E3X_1	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Fen-549;s__Fen-549 sp003170155	87.89	0.95
20120800_S3X_8	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Fen-455;s__Fen-455 sp003140595	89.46	2.99
20160700_E21_7	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__	76.27	1.28
20160700_E25_4	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__PALSA-1440;s__	94.37	8.45
20160700_E25_5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA9339;f__UBA9339;g__UBA9339;s__	78.07	0.39
20160700_E25_6	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp003156235	89.13	1.34
20160700_E25_7	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__	90.59	0.80
20160700_E25_1	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Fen-455;s__Fen-455 sp003140595	89.46	2.14
20160700_E25_2	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__UBA11358;s__	75.29	5.29
20160700_E25_3	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA6821;g__UBA6821;s__	99.32	1.35
20160700_E25_8	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Thermacetogeniales;f__Palsa-1188;g__Palsa-1188;s__	75.36	1.50
20160700_E25_9	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	92.61	1.75
20120800_S2X_6	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003139995	92.72	1.71
20160700_E23_6	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__UBA11358;s__	96.90	2.70
20120700_S1D_19	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	80.49	0.88
20160700_E23_4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	93.49	1.72
20160700_E23_5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	92.77	1.72
20160700_E23_2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__Bog-1198 sp003137095	92.61	2.87
20160700_E23_3	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	74.31	1.72
20160700_E23_1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__UBA11358;s__	75.80	1.04
20120700_S1D_10	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__Bog-877;g__Bog-877;s__Bog-877 sp003164475	96.30	1.85
20120700_S1D_11	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__UBA11358;s__	80.70	2.70
20110800_S1D_16	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Thermacetogeniales;f__Palsa-1188;g__Palsa-1188;s__Palsa-1188 sp003160265	83.77	0.00
20120700_S1D_13	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7540;f__UBA7540;g__Bog-366;s__Bog-366 sp003165615	85.98	6.96
20110800_S1D_10	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp003138365	78.72	1.94
20110800_S1D_11	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp003161045	85.96	2.76
20120700_S1D_16	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Bog-532;s__Bog-532 sp003164955	95.40	2.67
20120700_S1D_17	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-375;s__Bog-375 sp003142185	86.84	0.00
20111000_S2D_12	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-515;s__Bog-515 sp003155135	93.76	2.14
20120700_S1D_113	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__Pedosphaera;s__	93.78	3.18
20120800_S3X_7	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_A;s__Granulicella_A sp003138795	94.68	0.05
20120800_S2X_7	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-159;s__Bog-159 sp003166475	92.98	3.56
20120700_S1D_110	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__Bog-756 sp003164095	74.14	0.00
20110700_P2D_12	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__UBA8260;g__Palsa-851;s__Palsa-851 sp003153505	91.89	1.85
20111000_S1M_4	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp003138895	90.31	3.51
20111000_S1M_5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__Bog-1198 sp003137095	78.90	2.76
20111000_S2D_11	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__UBA8260;g__UBA8260;s__UBA8260 sp003134115	72.04	0.00
20111000_S1M_1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__	74.82	1.51
20111000_S1M_2	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003162935	78.22	1.71
20111000_S1M_3	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp003160115	83.96	1.57
20120800_S3X_4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-375;s__Bog-375 sp003142185	100.00	0.00
20120700_P3D_59	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__PALSA-600;s__PALSA-600 sp003136795	78.52	0.86
20120800_S1D_10	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__UBA11358;s__UBA11358 sp003134375	97.30	4.05
20120700_P3D_58	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__UBA6038;s__	90.87	0.04
20130700_C2X_10	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__;s__	90.97	1.29
20120700_S1D_114	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp003165075	87.72	1.72
20170700_E34_1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__Palsa-295;s__Palsa-295 sp003156635	75.97	2.56
20120600_S2M_24	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__Bog-1198 sp003134045	97.36	7.09
20120600_S2M_25	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp003155915	96.58	2.99
20120600_S2M_22	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp003160115	81.85	1.28
20120600_S2M_23	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp003134075	97.61	1.52
20120600_S2M_20	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__BOG-931 sp003164375	88.05	2.64
20120600_S2M_21	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__Bog-1527;s__Bog-1527 sp003155175	94.17	0.10
20130700_E1Z_18	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalophaeraceae;g__Fen-1362;s__Fen-1362 sp003170415	72.44	0.67
20130700_E1Z_13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003142255	97.13	1.67
20130700_E1Z_12	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	72.09	0.82
20130700_E1Z_11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003157015	83.72	3.78
20130700_E1Z_10	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Fen-1087;g__Fen-1087;s__Fen-1087 sp003161855	87.67	0.86
20130700_E1Z_17	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Fen-1039;s__	75.72	3.70
20130700_E1Z_16	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__UBA5619 sp003141195	92.11	1.29
20130700_E1Z_15	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Fen-1166;s__Fen-1166 sp003142535	76.75	1.18
20130700_E1Z_14	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1298;s__Fen-1298 sp003142575	98.34	4.39
20110800_E3D_33	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2185;g__Fen-1135;s__Fen-1135 sp003142635	96.13	2.17
20120700_P3D_69	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp003168075	79.08	1.28
20110800_E3D_8	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1298;s__Fen-1298 sp003142575	90.15	3.55
20110800_E3D_9	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Fen-455;s__Fen-455 sp003170375	90.93	2.14
20110800_E3D_6	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp003170825	95.11	2.59
20110800_E3D_7	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__Fen-181;s__Fen-181 sp003170135	98.20	6.27
20110800_E3D_4	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__UBA11359;g__C7867-002;s__C7867-002 sp003170325	74.43	0.86
20110800_E3D_5	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Fen-549;s__Fen-549 sp003170155	95.11	0.86
20111000_P3D_15	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__Palsa-872;s__Palsa-872 sp003139695	80.48	0.00
20110800_E3D_3	d__Bacteria;p__Armatimonadota;c__UBA5377;o__UBA5377;f__FEN-943;g__FEN-943;s__FEN-943 sp003170595	86.57	0.00
20110800_E3D_1	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__SSS58A;f__SSS58A;g__;s__	86.81	1.75
20120600_E2D_45	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Fen-1039;s__Fen-1039 sp003158675	90.37	1.83
20120600_E2D_44	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__QYOJ01;s__	77.14	0.54
20120600_E2D_47	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__	75.68	3.07
20120600_E2D_46	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__Fen-1308;s__Fen-1308 sp003170655	98.18	1.82
20120600_E2D_41	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Fen-1039;s__Fen-1039 sp003157875	80.64	0.00
20120600_E2D_40	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003154335	79.58	1.31
20120600_E2D_43	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__Bog-752;s__Bog-752 sp003164655	76.93	1.44
20120600_E2D_42	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Fen-7;s__Fen-7 sp003162615	89.54	1.96
20120700_P3D_80	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003132325	93.11	3.42
20120600_E2D_49	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fen-999;s__Fen-999 sp003158255	82.76	0.00
20120600_E2D_48	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-515;s__Bog-515 sp003155135	98.29	2.14
20120800_E2D_8	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1268;s__Fen-1268 sp003170475	80.33	1.98
20110700_S2D_1	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Fen-455;s__Fen-455 sp003170375	70.87	2.14
20130700_E2M_5	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__Fen-1308;s__Fen-1308 sp003170655	97.27	1.82
20160700_S34_12	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Palsa-1400;g__Palsa-1400;s__Palsa-1400 sp003138485	89.12	8.11
20160700_S34_13	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-513;s__Palsa-513 sp003138355	74.39	1.00
20120700_S1D_3	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-515;s__Bog-515 sp003155135	98.29	2.14
20160700_S34_11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella sp003162995	93.98	1.67
20160700_S34_16	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-375;s__Bog-375 sp003142185	92.54	0.88
20160700_S34_14	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003139975	94.12	1.71
20160700_S34_15	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	88.70	0.82
20120700_P3D_81	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Koribacter;s__	85.25	0.00
20120700_S2D_7	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__Bog-756 sp003138855	72.95	1.28
20120700_S2D_6	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp003155915	98.29	1.28
20110800_P1M_23	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Palsa-1033;s__Palsa-1033 sp003169655	89.04	1.85
20120800_S2X_3	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp003138365	93.41	0.86
20160700_E21_8	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	72.50	0.92
20110800_P1M_22	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Gp1-AA117;g__Gp1-AA17;s__Gp1-AA17 sp003140235	98.93	1.99
20111000_E2D_8	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__Fen-1273;s__Fen-1273 sp003161955	83.46	4.10
20120800_S3X_11	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp003138365	94.40	0.86
20120800_S3X_10	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Palsa-288;s__Palsa-288 sp003162875	87.46	0.43
20130700_S3M_5	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Palsa-504;s__	87.47	2.05
20120600_E2D_58	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp003166335	87.27	0.80
20130700_S3D_10	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-515;s__Bog-515 sp003155135	98.29	2.14
20150700_P31_5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__	94.87	0.90
20120700_S2D_9	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__Fen-671;s__Fen-671 sp003166025	71.18	1.28
20110800_P1M_26	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__UBA5184;s__UBA5184 sp003134695	92.59	0.00
20130700_E2Y_15	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Fen-1039;s__	78.68	2.97
20120700_S2D_8	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Bog-532;s__Bog-532 sp003164955	88.90	2.14
20120800_S2X_2	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-375;s__Bog-375 sp003142185	96.49	0.00
