genome	taxonomy	completeness	contamination
Bog.Unlabelled.R2.T2.F2.trimmomatic.megahit_bin.81_97.24_2.31	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235	97.24	2.31
Palsa.Labelled.R1.T1.F1.trimmomatic.metaspades_bin.61_85.81_6.54	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Bog-532;s__	85.81	6.54
Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.82_91.33_2.78	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__Bog-1524;s__	91.33	2.78
Bog.Unlabelled.R3.T1.F3.trimmomatic.megahit_bin.20_91.12_5.20	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp001519065	91.12	5.20
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.141_87.45_6.23	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__Fen-671;s__Fen-671 sp003166025	87.45	6.23
Palsa.Labelled.R3.T1.F1.trimmomatic.megahit_bin.54_95.30_3.48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UBA8621;s__	95.30	3.48
Fen.Labelled.R3.T2.F1.JGI.BFC.metaspades_bin.10_87.95_0.40	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__	87.95	0.40
Palsa.Labelled.R3.T1.F3.trimmomatic.metaspades_bin.49_76.16_2.37	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__;s__	76.16	2.37
Palsa.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.71_91.38_8.10	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__	91.38	8.10
Palsa.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.58_74.48_3.97	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herminiimonas;s__	74.48	3.97
Palsa.Labelled.R1.T2.F1.trimmomatic.metaspades_bin.58_81.19_0.00	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__	81.19	0.00
Fen.Unlabelled.R2.T1.F3.trimmomatic.metaspades_bin.26_84.40_2.78	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__FEN-335;s__FEN-335 sp003154055	84.40	2.78
Palsa.Unlabelled.R1.T2.F3.trimmomatic.megahit_bin.27_73.88_1.92	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825	73.88	1.92
Palsa.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.12_86.62_6.52	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Bog-532;s__	86.62	6.52
Palsa.Labelled.R3.T1.F3.trimmomatic.megahit_bin.46_91.36_4.59	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	91.36	4.59
Bog.Unlabelled.R2.T1.F3.trimmomatic.metaspades_bin.29_71.55_0.00	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidocella;s__	71.55	0.00
Fen.Labelled.R3.T2.F3.JGI.BFC.metaspades_bin.21_80.36_0.59	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA1794;s__	80.36	0.59
Bog.Labelled.R1.T2.F1.trimmomatic.metaspades_bin.50_82.85_0.58	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6186;f__UBA6186;g__UBA6186;s__	82.85	0.58
Palsa.Labelled.R1.T1.F3.JGI.BFC.metaspades_bin.22_91.03_0.17	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-513;s__	91.03	0.17
Palsa.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.49_90.68_2.22	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__Palsa-1478;s__	90.68	2.22
Bog.Labelled.R2.T2.F3.trimmomatic.megahit_bin.11_88.54_2.70	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Rhodoblastus;s__	88.54	2.70
Fen.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.3_94.18_1.39	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	94.18	1.39
Bog.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.38_79.12_3.45	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	79.12	3.45
Palsa.Unlabelled.R1.T3.F3.JGI.BFC.metaspades_bin.99_74.64_0.73	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__	74.64	0.73
Palsa.Labelled.R2.T2.F1.trimmomatic.megahit_bin.13_86.20_4.13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__	86.20	4.13
Palsa.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.30_80.91_3.58	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__FEN-1191;s__	80.91	3.58
Bog.Labelled.R1.T1.F3.trimmomatic.megahit_bin.4_83.27_2.06	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	83.27	2.06
Fen.Unlabelled.R2.T3.F4.trimmomatic.metaspades_bin.16_79.82_3.30	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__UBA5070;f__UBA5070;g__;s__	79.82	3.30
Fen.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.48_97.40_0.37	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	97.40	0.37
Palsa.Unlabelled.R2.T2.F3.trimmomatic.metaspades_bin.12_81.06_2.67	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Bog-532;s__	81.06	2.67
Bog.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.88_95.24_0.89	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cytophagaceae;g__Cytophaga;s__	95.24	0.89
Bog.Labelled.R2.T1.F3.trimmomatic.metaspades_bin.39_83.63_4.27	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp001519055	83.63	4.27
Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.91_73.44_2.45	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	73.44	2.45
Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.1_82.46_3.07	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	82.46	3.07
Palsa.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.59_86.22_3.17	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__	86.22	3.17
Fen.Unlabelled.R3.T2.F4.trimmomatic.metaspades_bin.14_84.69_3.14	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Frankiaceae;g__;s__	84.69	3.14
Bog.None.R1.T0.trimmomatic.megahit_bin.65_98.03_0.99	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__LD1;g__UBA1941;s__UBA1941 sp003165135	98.03	0.99
Palsa.Unlabelled.R1.T3.F3.JGI.BFC.metaspades_bin.167_95.37_0.93	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__;s__	95.37	0.93
Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.49_77.60_6.51	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	77.60	6.51
Bog.Unlabelled.R1.T2.F1.trimmomatic.metaspades_bin.42_74.18_1.85	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__	74.18	1.85
