Date,Date__,DOY,ALD_palsa_135,WTD_palsa_135,ALD_bog_246,WTD_bog_246,ALD_fen_78,WTD_fen_78,ALD_tussok_9,WTD_tussok_9,ALD_bog_E,WTD_bog_E,ALD_bog_F,WTD_bog_F,staffgauge.m,ALD_palsa_center,WTD_palsa_center
6/24/2004,2004-06-24,176,-27,0,-28,-21,-28,-4,-32,-10,-31,-5,-31,-14,,,
6/28/2004,2004-06-28,180,-25,0,-30,-21,-30,-4,-90,-8,-32,-7,-33,-15,,,
6/30/2004,2004-06-30,182,-26,0,-32,-14,-32,-1,>90,-2,-34,-1,-34,-8,,,
7/2/2004,2004-07-02,184,-32,0,-35,-9,-34,0,>90,-7,-37,0,-36,-8,,,
7/5/2004,2004-07-05,187,-32,0,-36,-9,-37,0,>90,-5,-46,0,-40,-8,,,
7/7/2004,2004-07-07,189,-32,0,-38,-8,-38,-1,>90,-3,-46,5,-40,-5,,,
7/14/2004,2004-07-14,196,-33,0,-40,-1,-90,-7,>90,-5,-55,13,-42,3,,,
7/17/2004,2004-07-17,199,-38,0,-44,-5,>90,-2,>90,-4,-60,5,-45,-4,,,
7/18/2004,2004-07-18,200,-37,0,-46,-8,>90,-1,>90,-7,-58,3,-45,-8,,,
7/21/2004,2004-07-21,203,-37,0,-50,-2,>90,-10,>90,-2,-60,7,-47,-7,,,
7/23/2004,2004-07-23,205,-39,0,-46,-5,>90,-4,>90,-5,-60,3,-49,-5,,,
7/26/2004,2004-07-26,208,-42,0,-49,-8,>90,-2,>90,-8,-90,1,-51,-8,,,
7/28/2004,2004-07-28,210,-42,0,-56,-5,>90,-2,>90,-4,>90,2,-50,-5,,,
7/30/2004,2004-07-30,212,-42,0,-54,-8,>90,0,>90,-8,>90,0,-54,-6,,,
8/4/2004,2004-08-04,217,-48,0,-54,-10,>90,0,>90,-9,>90,0,-80,-8,,,
8/11/2004,2004-08-11,224,-52,0,-54,-8.5,>90,0,>90,-8,>90,0,-90,-8,,,
8/14/2004,2004-08-14,227,-54,0,-57,-8,>90,0,>90,-7,>90,-1,>90,-8,,,
8/27/2004,2004-08-27,240,-57,0,-90,-9.5,>90,0,>90,-11,>90,0,>90,-9.5,,,
8/29/2004,2004-08-29,242,-58,0,>90,-9.5,>90,0,>90,-11,>90,0,>90,-9.5,,,
5/28/2005,2005-05-28,148,-12,0,-10,-8,-2,5,-8,-4,,,,,,,
6/14/2005,2005-06-14,165,-18,0,-16,-8,-18,5,-17,-5,-22,0,-19,-6,,,
6/15/2005,2005-06-15,166,-25,0,-27,-7,-60,7,-25,-7,-39,0,-29,-7,,,
6/16/2005,2005-06-16,167,-25,0,-28,-7.5,-90,,-27,,-40,0,-29,-9,,,
6/17/2005,2005-06-17,168,-27,0,-28,-8.5,>90,5,-27,-8,-39,-1,-30,-8,,,
6/18/2005,2005-06-18,169,-28,0,-28,-9,>90,5,-28,-7.5,-39,-1.5,-30,-8.5,,,
6/19/2005,2005-06-19,170,-28,0,-29,-9,>90,3,-29,-9,-39,-2.5,-31,-9,,,
6/21/2005,2005-06-21,172,-28,0,-29,-9.5,>90,5,-30,-9,-40,-3,-31,-10,,,
6/23/2005,2005-06-23,174,-29,0,-30,-11.5,>90,5,-31,-10.5,-40,-5,-32,-11,,,
6/25/2005,2005-06-25,176,-30,0,-31,-11.5,>90,3.5,-33,-10,-41,-4,-34,-11,,,
6/29/2005,2005-06-29,180,-31,0,-33,-6,>90,4,-75,,-44,0.5,-36,-6,,,
7/1/2005,2005-07-01,182,-32,0,-34,-7,>90,4,-75,-8.5,-47,-1,-40,-7,,,
7/6/2005,2005-07-06,187,-33,0,-35,-8.5,>90,4.5,-90,-10.5,-48,-3,-45,-8.5,,,
7/8/2005,2005-07-08,189,-33,0,-39,-17,>90,2,>90,-10.5,-90,-8,-48,-18,,,
7/13/2005,2005-07-13,194,-33,0,-40,-17,>90,0,>90,-19,>90,-12,-50,-17,,,
7/14/2005,2005-07-14,195,-37,0,-43,-20,>90,-1,>90,-8,>90,-10,-90,-20,,,
7/16/2005,2005-07-16,197,-37,0,-42,-19.5,>90,-1,>90,-8,>90,-10,>90,-20,,,
7/19/2005,2005-07-19,200,-38,0,-45,-20,>90,-2,>90,-19.5,>90,-10,>90,-20,,,
7/21/2005,2005-07-21,202,-38,0,-45,-19,>90,-2,>90,-19.5,>90,-11,>90,-20,,,
7/24/2005,2005-07-24,205,-39,0,-46,-20.5,>90,-1,>90,-20,>90,-14,>90,-20.5,,,
7/25/2005,2005-07-25,206,-39,0,-49,-20,>90,3,>90,-25,>90,-17,>90,-23,,,
7/26/2005,2005-07-26,207,-39,0,-70,-16,>90,5,>90,-17,>90,-13,>90,-17,,,
7/28/2005,2005-07-28,209,-41,0,-80,-11,>90,-1,>90,-12.5,>90,-8,>90,-13,,,
7/30/2005,2005-07-30,211,-42,0,-90,-12.5,>90,-1,>90,-14,>90,-7.5,>90,-14,,,
8/2/2005,2005-08-02,214,-43,0,>90,-5.5,>90,-2,>90,-9,>90,-1,>90,-7.5,,,
8/3/2005,2005-08-03,215,-43,0,>90,-8,>90,0,>90,-9,>90,0,>90,-8,,,
8/4/2005,2005-08-04,216,-44,0,>90,-7.5,>90,-2,>90,-10,>90,-1,>90,-9,,,
8/5/2005,2005-08-05,217,-45,0,>90,-8,>90,-3,>90,-12,>90,-2,>90,-10.5,,,
8/6/2005,2005-08-06,218,-45,0,>90,-8,>90,-2.5,>90,-11.5,>90,-1.5,>90,-10.5,,,
8/9/2005,2005-08-09,221,-46,0,>90,-4.5,>90,-1,>90,-7.5,>90,-1,>90,-5.5,,,
8/11/2005,2005-08-11,223,-47,0,>90,-5.5,>90,-2,>90,-10,>90,-1,>90,-8,,,
8/16/2005,2005-08-16,228,-47,0,>90,-6.5,>90,-3,>90,-10,>90,-1,>90,-10,,,
8/17/2005,2005-08-17,229,-50,0,>90,-5,>90,-1,>90,-8.5,>90,-1,>90,-7.5,,,
8/22/2005,2005-08-22,234,-52,0,>90,-8,>90,0,>90,-12,>90,-3,>90,-10,,,
8/23/2005,2005-08-23,235,-52,0,>90,-8,>90,0,>90,-10,>90,-4,>90,-10,,,
8/24/2005,2005-08-24,236,-53,0,>90,-5,>90,0,>90,-8,>90,-2,>90,-8,,,
8/28/2005,2005-08-28,240,-54.5,0,>90,-2,>90,0,>90,-4,>90,2,>90,-5,,,
9/6/2005,2005-09-06,249,-59,0,>90,-7,>90,0,>90,-10,>90,-10,>90,-3,,,
9/7/2005,2005-09-07,250,-59,0,>90,-7,>90,0,>90,-9,>90,-9,>90,-3,,,
9/9/2005,2005-09-09,252,-59,0,-90,-3,>90,1,>90,-5,>90,-5,>90,0,,,
5/3/2006,2006-05-03,123,-9,,-11,-7,-5,0,-11,0,,,,,,,
5/5/2006,2006-05-05,125,-9,0,-11,-7,-5,0,-11,0,,,,,,,
5/24/2006,2006-05-24,144,-17,,-27,-9.5,-20,-3,,-1.8,,-2.7,,-9,,,
5/25/2006,2006-05-25,145,-16.2,,-24.7,-10.4,-19.6,-3.3,-19.6,-2,-29,-1.5,-26.9,-7.9,,,
5/26/2006,2006-05-26,146,-18.5,,-25,-9.5,-18,-3,-22,-2.8,-30.5,-1.5,-27,-7,,,
5/26/2006,2006-05-26,146,-17,0,-27,-9.5,-20,-3,,-1.8,,-2.7,,-9,,,
5/27/2006,2006-05-27,147,-16.2,0,-24.7,-10.4,-19.6,-3.3,-19.6,-2,-29,-1.5,-26.9,-7.9,,,
5/28/2006,2006-05-28,148,-18.5,0,-25,-9.5,-18,-3,-22,-2.8,-30.5,-1.5,-27,-7,,,
6/12/2006,2006-06-12,163,,,,,,,,,,,,,,,
6/13/2006,2006-06-13,164,-23.4,,-29.2,-11.1,-28.6,-0.8,-30.3,-6.8,-36.5,-4.5,-30.4,-11.3,,,
6/14/2006,2006-06-14,165,-23.5,,-29.2,-13.2,-27,-1.4,-31.5,-7.2,-36.3,-5.3,-30.4,-10.4,,,
6/15/2006,2006-06-15,166,-25.1,,-29.4,-14.6,-27.3,-0.9,-30.4,-7,-35.3,-5.8,-30.2,-10.1,,,
6/15/2006,2006-06-15,166,-23.4,0,-29.2,-11.1,-28.6,-0.8,-30.3,-6.8,-36.5,-4.5,-30.4,-11.3,,,
6/16/2006,2006-06-16,167,-24.7,,-30.2,-14.9,-28.4,-0.2,-31.4,-7.2,-34.7,-6,-30.7,-10.6,,,
6/16/2006,2006-06-16,167,-23.5,0,-29.2,-13.2,-27,-1.4,-31.5,-7.2,-36.3,-5.3,-30.4,-10.4,,,
6/17/2006,2006-06-17,168,-25.1,0,-29.4,-14.6,-27.3,-0.9,-30.4,-7,-35.3,-5.8,-30.2,-10.1,,,
6/17/2006,2006-06-17,168,-25,,-30.7,-15.6,-29.3,-0.2,-31.2,-7.3,-35.3,-6.3,-31.3,-10.4,,,
6/18/2006,2006-06-18,169,-24.7,0,-30.2,-14.9,-28.4,-0.2,-31.4,-7.2,-34.7,-6,-30.7,-10.6,,,
6/18/2006,2006-06-18,169,,,,,,,,,,,,,,,
6/19/2006,2006-06-19,170,-25,,-31.2,-14,-31.2,0,-32.2,-6.4,-36.2,-5.5,-32.2,-8,,,
6/19/2006,2006-06-19,170,-25,0,-30.7,-15.6,-29.3,-0.2,-31.2,-7.3,-35.3,-6.3,-31.3,-10.4,,,
6/20/2006,2006-06-20,171,-25.3,,-32,-14.2,-32.5,0,-33,-6.7,-37.5,-5.7,-33.2,-9.6,,,
6/21/2006,2006-06-21,172,-25.6,,-34.6,-10.2,-34.3,0.3,-33,-4.3,-40.5,-4.2,-34,-6.7,,,
6/21/2006,2006-06-21,172,-25,0,-31.2,-14,-31.2,0,-32.2,-6.4,-36.2,-5.5,-32.2,-8,,,
6/22/2006,2006-06-22,173,-26.3,,-33.7,-9,-34,0.3,-34.5,-2.9,-41.5,-0.3,-34.3,-4.5,,,
6/22/2006,2006-06-22,173,-25.3,0,-32,-14.2,-32.5,0,-33,-6.7,-37.5,-5.7,-33.2,-9.6,,,
6/23/2006,2006-06-23,174,-26.8,,-34.4,-7.6,34.7,0.5,-35,-2.7,-41.5,0,-35.3,-3.6,,,
6/23/2006,2006-06-23,174,-25.6,0,-34.6,-10.2,-34.3,0.3,-33,-4.3,-40.5,-4.2,-34,-6.7,,,
6/24/2006,2006-06-24,175,-26.3,0,-33.7,-9,-34,0.3,-34.5,-2.9,-41.5,-0.3,-34.3,-4.5,,,
6/24/2006,2006-06-24,175,,,,,,,,,,,,,,,
6/25/2006,2006-06-25,176,-26.8,0,-34.4,-7.6,34.7,0.5,-35,-2.7,-41.5,0,-35.3,-3.6,,,
6/25/2006,2006-06-25,176,,,,,,,,,,,,,,,
6/26/2006,2006-06-26,177,-28.4,,-35.9,-6.5,-37.7,0.8,-38.1,-2.4,-46,0.6,-35.8,-3.2,,,
6/27/2006,2006-06-27,178,-28.8,,-36.7,-7,-38.7,0.3,-38.1,-1.8,-44.5,0.2,-36.5,-3.7,,,
6/28/2006,2006-06-28,179,-28.9,,-37.6,-7.8,-40,0.2,-39,-2.9,-45.9,-0.2,-37,-4.4,,,
6/28/2006,2006-06-28,179,-28.4,0,-35.9,-6.5,-37.7,0.8,-38.1,-2.4,-46,0.6,-35.8,-3.2,,,
6/29/2006,2006-06-29,180,-28.8,,-38.2,-8.7,-36.5,0.2,-39.6,-3.4,-45.5,-1,-38,-5,,,
6/29/2006,2006-06-29,180,-28.8,0,-36.7,-7,-38.7,0.3,-38.1,-1.8,-44.5,0.2,-36.5,-3.7,,,
6/30/2006,2006-06-30,181,-29,,-38.2,-9.8,-37.2,0.1,-41,-4.2,-46.2,-1.3,-38.3,-5.6,,,
6/30/2006,2006-06-30,181,-28.9,0,-37.6,-7.8,-40,0.2,-39,-2.9,-45.9,-0.2,-37,-4.4,,,
7/1/2006,2006-07-01,182,-28.8,0,-38.2,-8.7,-36.5,0.2,-39.6,-3.4,-45.5,-1,-38,-5,,,
7/1/2006,2006-07-01,182,,,,,,,,,,,,,,,
7/2/2006,2006-07-02,183,-29,0,-38.2,-9.8,-37.2,0.1,-41,-4.2,-46.2,-1.3,-38.3,-5.6,,,
7/2/2006,2006-07-02,183,,,,,,,,,,,,,,,
7/3/2006,2006-07-03,184,,,,,,,,,,,,,,,
7/4/2006,2006-07-04,185,-31.7,,-40.1,-9.8,>90,0.1,-45.2,-4.8,-48.2,-2.3,-41,-4.7,,,
7/5/2006,2006-07-05,186,-31.7,,-41,-10.5,>90,-0.3,>90,-5.7,-46.5,-2.3,-41,-6,,,
7/6/2006,2006-07-06,187,-32.2,,-41.5,-11,>90,-0.2,>90,-5.4,-47,-3.1,-41.7,-6.7,,,
7/6/2006,2006-07-06,187,-31.7,0,-40.1,-9.8,>90,0.1,-45.2,-4.8,-48.2,-2.3,-41,-4.7,,,
7/7/2006,2006-07-07,188,-31.7,0,-41,-10.5,>90,-0.3,>90,-5.7,-46.5,-2.3,-41,-6,,,
7/7/2006,2006-07-07,188,,,,,,,,,,,,,,,
7/8/2006,2006-07-08,189,-32.2,0,-41.5,-11,>90,-0.2,>90,-5.4,-47,-3.1,-41.7,-6.7,,,
7/8/2006,2006-07-08,189,,,,,,,,,,,,,,,
7/9/2006,2006-07-09,190,,,,,,,,,,,,,,,
7/10/2006,2006-07-10,191,,,,,,,,,,,,,,,
7/11/2006,2006-07-11,192,-33.3,,-45.5,-5.8,>90,0.5,>90,-1.7,-53.2,0.7,-44.3,-2.8,,,
7/12/2006,2006-07-12,193,-34.8,,-45.5,-5.9,,0.4,,-2.1,-53.5,0.5,-44.3,-2.9,,,
7/13/2006,2006-07-13,194,-36.9,,-45.6,-4.3,,1.7,,-0.3,-54.8,2.6,-57.3,-1.2,,,
7/13/2006,2006-07-13,194,-33.3,0,-45.5,-5.8,>90,0.5,>90,-1.7,-53.2,0.7,-44.3,-2.8,,,
7/14/2006,2006-07-14,195,-37.3,,-47,-5.4,,0.9,,-2.4,-54.6,0.7,-57.3,-2.7,,,
7/14/2006,2006-07-14,195,-34.8,0,-45.5,-5.9,>90,0.4,>90,-2.1,-53.5,0.5,-44.3,-2.9,,,
7/15/2006,2006-07-15,196,-36.9,0,-45.6,-4.3,>90,1.7,>90,-0.3,-54.8,2.6,-57.3,-1.2,,,
7/15/2006,2006-07-15,196,,,,,,,,,,,,,,,
7/16/2006,2006-07-16,197,-37.3,0,-47,-5.4,>90,0.9,>90,-2.4,-54.6,0.7,-57.3,-2.7,,,
7/16/2006,2006-07-16,197,,,,,,,,,,,,,,,
7/17/2006,2006-07-17,198,-36.5,,-47.7,-7,,0,,-3.1,-56.4,0,-46.5,-3.6,,,
7/18/2006,2006-07-18,199,-36,,-47,-7.3,,-0.2,,-3,-57.5,-0.2,-47,-3.5,,,
7/19/2006,2006-07-19,200,-36.5,0,-47.7,-7,>90,0,>90,-3.1,-56.4,0,-46.5,-3.6,,,
7/19/2006,2006-07-19,200,-36.2,,-48,-8,,-0.5,,-3.9,-57.2,-0.5,-47.5,-4.2,,,
7/20/2006,2006-07-20,201,-36.2,,-48.2,-8.7,,-0.5,,-4.5,-57.5,-1,-47,-4.9,,,
7/20/2006,2006-07-20,201,-36,0,-47,-7.3,>90,-0.2,>90,-3,-57.5,-0.2,-47,-3.5,,,
7/21/2006,2006-07-21,202,-36.3,,-48.7,-9.5,,-0.2,,-4.9,-56.5,-1.6,-47.5,-5.6,,,
7/21/2006,2006-07-21,202,-36.2,0,-48,-8,>90,-0.5,>90,-3.9,-57.2,-0.5,-47.5,-4.2,,,
7/22/2006,2006-07-22,203,-36.2,0,-48.2,-8.7,>90,-0.5,>90,-4.5,-57.5,-1,-47,-4.9,,,
7/22/2006,2006-07-22,203,,,,,,,,,,,,,,,
7/23/2006,2006-07-23,204,-36.3,0,-48.7,-9.5,>90,-0.2,>90,-4.9,-56.5,-1.6,-47.5,-5.6,,,
7/23/2006,2006-07-23,204,,,,,,,,,,,,,,,
7/24/2006,2006-07-24,205,-37.1,,-48.8,-11,,-0.8,,-6.2,-57,-3,-48.5,-7,,,
7/25/2006,2006-07-25,206,-37.2,,-48.8,-12.3,,-1,,-7.6,-58.5,-4.7,-48,-7.8,,,
7/26/2006,2006-07-26,207,-38.6,,-49.2,-12.6,,-1.3,,-8.7,-55.9,-4.8,-48.2,-9.1,,,
7/26/2006,2006-07-26,207,-37.1,0,-48.8,-11,>90,-0.8,>90,-6.2,-57,-3,-48.5,-7,,,
7/27/2006,2006-07-27,208,-38.6,,-49.5,-13.7,,-1.4,,-8.2,-57.4,-5.2,-49.8,-9.4,0.4,,
7/27/2006,2006-07-27,208,-37.2,0,-48.8,-12.3,>90,-1,>90,-7.6,-58.5,-4.7,-48,-7.8,,,
7/28/2006,2006-07-28,209,-38.6,,-50,-14.2,,-1.6,,-9.4,-56.9,-6.1,-49.5,-10.7,0.52,,
7/28/2006,2006-07-28,209,-38.6,0,-49.2,-12.6,>90,-1.3,>90,-8.7,-55.9,-4.8,-48.2,-9.1,,,
7/29/2006,2006-07-29,210,-38.6,0,-49.5,-13.7,>90,-1.4,>90,-8.2,-57.4,-5.2,-49.8,-9.4,,,
7/29/2006,2006-07-29,210,,,,,,,,,,,,,,,
7/30/2006,2006-07-30,211,-38.6,0,-50,-14.2,>90,-1.6,>90,-9.4,-56.9,-6.1,-49.5,-10.7,,,
7/30/2006,2006-07-30,211,,,,,,,,,,,,,,,
7/31/2006,2006-07-31,212,-39.1,,-50.3,-15.9,,-1.8,,-11.2,-57.2,-8.5,-51.7,-12.6,,,
8/1/2006,2006-08-01,213,-39.5,,-51,-15.9,,-2,,-12.1,-58,-9.4,-51.7,-14.9,,,
8/2/2006,2006-08-02,214,-41.2,,-51.6,-16,,-1.8,,-12.8,-58,-9.9,-51.4,-14.6,,,
8/2/2006,2006-08-02,214,-39.1,0,-50.3,-15.9,>90,-1.8,>90,-11.2,-57.2,-8.5,-51.7,-12.6,,,
8/3/2006,2006-08-03,215,-41.2,,-52,-17.9,,-2,,-13,-58.3,-10.4,-51.9,-14.7,0.49,,
8/3/2006,2006-08-03,215,-39.5,0,-51,-15.9,>90,-2,>90,-12.1,-58,-9.4,-51.7,-14.9,,,
8/4/2006,2006-08-04,216,-41.5,,-52.4,-19,,-2.4,,-12.8,-58.5,-11,-52.2,-15.3,,,
8/4/2006,2006-08-04,216,-41.2,0,-51.6,-16,>90,-1.8,>90,-12.8,-58,-9.9,-51.4,-14.6,,,
8/5/2006,2006-08-05,217,-41.2,0,-52,-17.9,>90,-2,>90,-13,-58.3,-10.4,-51.9,-14.7,,,
8/5/2006,2006-08-05,217,,,,,,,,,,,,,,,
8/6/2006,2006-08-06,218,-41.5,0,-52.4,-19,>90,-2.4,>90,-12.8,-58.5,-11,-52.2,-15.3,,,
8/6/2006,2006-08-06,218,,,,,,,,,,,,,,,
8/7/2006,2006-08-07,219,-41.5,,-53.8,-20.3,,-2.2,,-14.7,>90,-11.9,-52.3,-15.9,,,
8/8/2006,2006-08-08,220,-41.8,,-53.6,-20.8,,-2.3,,-15.3,,-11.9,-52.6,-16.1,0.4,,
8/9/2006,2006-08-09,221,-41.8,,-53.5,-20.8,,-2.2,,-15.2,,-12.4,-53.5,-15.6,,,
8/9/2006,2006-08-09,221,-41.5,0,-53.8,-20.3,>90,-2.2,>90,-14.7,>90,-11.9,-52.3,-15.9,,,
8/10/2006,2006-08-10,222,-42,,-53.9,-21,,-1.6,,-14.2,,-13.8,-54.5,-16.6,0.4,,
8/10/2006,2006-08-10,222,-41.8,0,-53.6,-20.8,>90,-2.3,>90,-15.3,>90,-11.9,-52.6,-16.1,,,
8/11/2006,2006-08-11,223,-41.8,0,-53.5,-20.8,>90,-2.2,>90,-15.2,>90,-12.4,-53.5,-15.6,,,
8/11/2006,2006-08-11,223,,,,,,,,,,,,,,,
8/12/2006,2006-08-12,224,-43,,-54.5,-24,,-1.8,,-16.3,,-14.2,-54.5,-17.7,0.4,,
8/12/2006,2006-08-12,224,-42,0,-53.9,-21,>90,-1.6,>90,-14.2,>90,-13.8,-54.5,-16.6,,,
8/13/2006,2006-08-13,225,,,,,,,,,,,,,,,
8/14/2006,2006-08-14,226,-44,,-56,-24,,-1.5,,-17.1,,-14.7,-55.9,-18.5,0.4,,
8/14/2006,2006-08-14,226,-43,0,-54.5,-24,>90,-1.8,>90,-16.3,>90,-14.2,-54.5,-17.7,,,
8/15/2006,2006-08-15,227,-44.7,,-56,-24.5,,-1.5,,-17.5,,-15,-55.5,-18.5,0.4,,
8/16/2006,2006-08-16,228,-44,0,-56,-24,>90,-1.5,>90,-17.1,>90,-14.7,-55.9,-18.5,,,
8/16/2006,2006-08-16,228,,,,,,,,,,,,,,,
8/17/2006,2006-08-17,229,-45.5,,-57,-24,,-2.1,,-18.1,,-14.8,-57,-18.5,0.4,,
8/17/2006,2006-08-17,229,-44.7,0,-56,-24.5,>90,-1.5,>90,-17.5,>90,-15,-55.5,-18.5,,,
8/18/2006,2006-08-18,230,-46,,-57.8,-17.2,,-1,,-11.6,,-9.6,>90,-12.6,0.4,,
8/19/2006,2006-08-19,231,-46,,-58.5,-18.2,,-1.3,,-13.5,,-9.9,,-13.4,0.4,,
8/19/2006,2006-08-19,231,-45.5,0,-57,-24,>90,-2.1,>90,-18.1,>90,-14.8,-57,-18.5,,,
8/20/2006,2006-08-20,232,-46,0,-57.8,-17.2,>90,-1,>90,-11.6,>90,-9.6,>90,-12.6,,,
8/20/2006,2006-08-20,232,,,,,,,,,,,,,,,
8/21/2006,2006-08-21,233,-46.5,,-58.5,-20.6,,-1.6,,-16,,-12.2,,-16,0.4,,
8/21/2006,2006-08-21,233,-46,0,-58.5,-18.2,>90,-1.3,>90,-13.5,>90,-9.9,>90,-13.4,,,
8/22/2006,2006-08-22,234,-46.7,,-58.5,-21.6,,-1.7,,-17.1,,-13.5,,-16.9,0.4,,
8/23/2006,2006-08-23,235,-47,,-59,-22,,-2,,-18,,-13.9,,-17.6,0.4,,
8/23/2006,2006-08-23,235,-46.5,0,-58.5,-20.6,>90,-1.6,>90,-16,>90,-12.2,>90,-16,,,
8/24/2006,2006-08-24,236,-47.1,,-59.3,-22.8,,-2,,-18.2,,-14.5,,-18.1,0.4,,
8/24/2006,2006-08-24,236,-46.7,0,-58.5,-21.6,>90,-1.7,>90,-17.1,>90,-13.5,>90,-16.9,,,
8/25/2006,2006-08-25,237,-47,0,-59,-22,>90,-2,>90,-18,>90,-13.9,>90,-17.6,,,
8/26/2006,2006-08-26,238,-47.1,0,-59.3,-22.8,>90,-2,>90,-18.2,>90,-14.5,>90,-18.1,,,
6/13/2007,2007-06-13,164,-25,,-32,-17,>100,4,>100,-21,-35,-10,-30,,0.43,,
6/14/2007,2007-06-14,165,-27,,-28,,>100,4,>100,-16,-36,-10,-28,-20,0.43,,
6/15/2007,2007-06-15,166,-26,,-30,-17,>100,6,>100,-14,-36,-9,-30,-15,0.435,,
6/16/2007,2007-06-16,167,,,-30,-15,>100,5,>100,-13,-38,-8,-30,-15,0.435,,
6/18/2007,2007-06-18,169,-26,,-31,-17,>100,7,>100,-15,-40,-10,-31,-17,0.435,,
6/19/2007,2007-06-19,170,-28,,-29,-17,>100,7,>100,-16,-38,-10,-33,-16,0.435,,
6/22/2007,2007-06-22,173,-28,,-33,-19,>100,5,>100,-17,-40,-11,-33,-17,0.415,,
6/25/2007,2007-06-25,176,-30,,-34,-23,>100,4.5,>100,-22,-38,-14,-34,,0.41,,
6/27/2007,2007-06-27,178,-32,,-35,-19,>100,4.7,>100,-16,-40,-13,-36,-19,0.41,,
6/29/2007,2007-06-29,180,-35,,-38,-21,>100,4.5,>100,-19,-44,-14,-38,-20,0.41,,
7/3/2007,2007-07-03,184,-31,,-39,-24,>100,5,>100,-21,-46,-17,-40,,0.392,,
7/5/2007,2007-07-05,186,-30,,-42,-24,>100,4,>100,-22,-48,-16,-42,,0.39,,
7/9/2007,2007-07-09,190,-36,,-44,-28,>100,4,>100,-23,-60,-19,-62,,0.398,,
7/10/2007,2007-07-10,191,-32,,-45,-24,>100,5,>100,-22,-84,-17,-82,,0.399,,
7/13/2007,2007-07-13,194,-34,,-44,-20,>100,3,>100,-18,>100,-13,>100,-19,0.4,,
