"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-D" "711_P-2-D" "711_S-2-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "712_P-3-D" "712_S-1-X" "712_S-2-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_S-2-D" "713_S-2-X0" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_30-34" "714_S1_20-24" "714_S1_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_S2_30-34" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_S2_30-34" "717_S3_20-24"
"20110800_E2S_11" 1.2595232 2.3661234 1.7231553 2.8571742 4.1478806 0.8124759 5.6154885 3.636355 0.922316 0 0 0 2.5445545 0.530864 1.4807144 3.0449295 1.0082383 0.13848865 0.38991493 0.8559582 0 0 0 1.3002151 1.8013406 0.441414 0.18713109 0 0.41407284 1.0247684 0.49293974 0.16144747 0.173127 2.1194878 0.21781239 0.05826501 0 0 0 0 0.84645367 1.285539 4.015183 2.634246 0.6246875 0.12705898 0.83534503 0 0 0 2.7382064 2.6490653 1.3091366 1.0660926 1.3655671 3.317641 2.7992876 0.99269795 0 0 1.3624202 2.4938736 1.4372896 0.9378604 0.07980643 1.6130888 0.57864696 0 4.50286 3.7380018 2.127815 0.4497251 1.1880318 0.19519882 0 0
"PMMV01" 1.7271641 1.1335206 0.49656692 0.8688394 0.7907274 0 2.903247 1.564342 0.53485334 0 0 0 3.8601794 0.1189457 0.50586283 0.4020783 0.48401767 0.2286546 1.2015895 0.53178275 0 0 0 0.13721928 0.43119475 0 0 0 0.7184278 0.63225037 0.4276349 0.09707158 0 0.9098464 0.15576202 0 0 0 0 0 0.8369845 3.181703 3.9156148 1.0699657 0.28143847 1.1146586 0 0 0 0 0.6819007 1.3013165 1.4743885 0.8705948 0.51675975 2.3576128 1.5852666 0.795535 0 0 0.9517601 0.9679439 0.2886028 0.23148276 0.27523658 0.8531956 0.3128654 0 1.0379387 2.128424 1.5728571 0.38960594 0.23417439 0.059447218 0 0
"Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00" 0.71127456 0.48460945 0.06865868 0.23754485 0.07247626 0 1.4275815 0.61634874 0.25945106 0 0 0 0.64032924 0 0.30618167 0.25424227 0.121787846 0.29181695 1.5071995 0.11822399 0 0 0 0 0 0 0 0 0.5626809 0.58331615 0.31825116 0 0 0.22114097 0 0 0 0 0 0 0.19834712 0.65210444 0.3886781 0 0 0.08750847 0 0 0 0 0.15512648 0.9493074 0.15059926 0.099111885 1.5178521 2.216061 0.16551203 0.13200709 0 0 0.48672122 0.20785828 0 0 0.26901218 0.44481292 0 0 1.6381145 0.7423984 0.16204341 0.8753923 0.14200151 0 0 0
"PMBM01" 4.367889 4.4563546 0.091394596 0.27094188 1.3179708 0 2.6740732 2.474306 0.4364031 0 0 0 3.3911076 0 1.3251897 0.47761583 0 0.12600382 0.93818164 0 0 0 0 0.8372413 0.88638896 0 0 0 1.499763 1.1327841 0.53765136 0 0 1.920515 0 0 0 0 0 0 0.8072796 0.84906197 0 0 0.12620601 0 0 0.533159 0 0 1.3070459 1.052968 0.27675432 0.1090894 0.27879924 0.80347997 0 0 0 0 0.69561565 0.6868362 0 0 0.3466041 2.398539 0 0 2.9925206 1.8863285 0.09608211 1.7257447 1.7067585 0 0 0
"20120600_E3D_33" 0.2140379 0.177142 0 0 0 0 0 0 0.17404906 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06486667 0.062948555 0.14015561 0 0 0.5830467 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07555459 0 0 0 1.812213 0.06818822 0 1.58384 0.47016752 0.105833255 0.32638577 2.4001305 0 0 0
"20120600_E1D_9" 0.7130903 1.6270825 1.2924044 2.1651382 2.7746735 1.1006755 2.032282 2.5362482 1.0446372 0 0 0 1.3858716 0.59977746 0.71544194 0.97951794 1.1489367 0.124451734 0.37204185 1.0759686 0 0 0 1.0087221 1.4597611 0.6068379 0.6980868 0.8985229 0.3234621 0.46548486 0.6281242 0.58512855 1.4289457 1.3713837 0.43179026 1.071952 1.5044429 0.47443935 0 0 0.742148 1.5743328 4.958859 1.916297 0.47866118 0.8138688 0.8336391 0 0 0 2.180536 1.2025102 1.5259727 1.078706 0.14332883 2.3039184 2.3797474 0.94402856 0 0 0.41199574 1.6008741 1.1523225 0.9836057 0.090712026 1.5778301 1.0347997 0 1.9774587 2.9859657 1.6303638 0.430342 1.1021795 0.50590956 0 0
"20130700_C1D_14" 0.47515592 0.67229855 0.19073856 0.6098185 1.2448211 0.07067731 1.044638 1.1754671 0.10753632 0 0.0649127 0.122731514 1.5489469 0.06826436 0.5640125 0.5178797 0.18842827 0 0.22816332 0.12320045 0 0.15584873 0.2200993 0.47147277 0.66325146 0.13852386 0.36483073 0.12592728 0.14742433 0.194868 0.085857 0 1.0694289 0.3788433 0 0.660652 0.8915304 0.99335915 0 0.14981382 0.78199184 1.7704412 1.1072869 0.63211596 0.49936092 0.54390514 0.07006842 1.6859419 0.065266386 0.21407612 0.30012128 0.2311839 0.1118468 0.05617735 0.13094136 1.4637905 0.7722742 0.2804639 0.12637651 0.09578667 0.20941238 0.26200464 0.062085286 0 0.10340689 0.22421408 0 0.2663822 0.66353685 1.1814626 0.2716611 0.27386788 0.5235731 0 0.09837773 0.087242834
"20120600_E3D_25" 1.2607937 1.746685 0.30700073 0.39190143 0.59521604 0.14597647 2.880374 1.6003212 1.21802 0 0 0 1.2482404 0 1.261001 0.67660815 1.136569 0.5717744 1.1357564 1.0190531 0 0 0 0.47508985 0.7318179 0.09737347 0 0 0.7750418 0.68496114 0.55231214 0.09416017 0 0.7912821 0.44667432 0 0 0 0 0 0.8965263 2.2782702 0.46256012 0 0.36339206 0.119615644 0.15391792 0 0 0 0.7699712 0.8244834 0.63262683 0.52791566 1.0269576 2.6007395 0.2017347 0.74558336 0 0 0.5480663 0.5975948 0.5880907 0.5568354 0.43344584 1.5551335 0.70052576 0 1.7817291 2.395304 0.548441 2.255974 1.389994 0.6561853 0 0
"PMDX01" 0.1715024 1.3351605 0.31993186 1.0540887 2.359023 0.12667365 0.20329496 0.3564137 0.48474434 0 0 0 0 0 1.1807133 0.10793353 0.9320209 0.085277475 0.3807139 0.87714595 0 0 0 0 0.4310476 0 0 0 0.18376711 0.37094942 0.6654407 0 0.108233735 1.5632463 0.4068758 0 0 0 0 0 0 0 0.05959632 0 0 0 0 0 0 0 1.2757058 0.62896866 0.8633779 0.8867099 0 1.5920362 0.9273569 0.64176315 0 0 0.28860226 0.77132714 0.63309073 1.380576 0 1.2473005 0.57709086 0 0.27030206 3.5748625 1.2820951 0.53615236 2.8915298 0.3553099 0 0
"PMDT01" 0.7898139 0.96175754 0.22736572 0.30402693 0.3818778 0.15788202 1.4139719 0.5940301 0.36544728 0 0 0 0.20581879 0.29963967 0.20872785 0.5062039 0.24809211 0.07132809 0.37291107 0.37829608 0 0 0 0.34378025 0.23745948 0 0 0 0.24917115 0.9905897 0.32381758 0 0 0.42013663 0 0 0 0 0 0 0.3496111 0.594738 0.079966515 0 0.14760417 0.21743415 0 0 0 0 0.30926052 1.0571125 0.13512583 0.12392268 0.29434538 0.28920156 0.27329096 0.37700522 0 0 0.8892711 0.78612864 0.23433174 0.1939051 0.061029352 1.9514382 0.23843081 0 1.0161253 0.7469292 0.3735622 0.36011449 1.1507665 0.1506996 0 0
"PMBX01" 0.16334955 0.0715758 0 1.1920923 0 0 0.8597007 0.17438084 0.1616704 0 0 0 0 0 0 0 0 0.081524976 0.7792779 0 0 0 0 0 0 0 0 0 0.13289423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9401122 0 0 0.10265738 0.83676463 0.24832042 0 0 0 0.61957043 0.20276211 0 0 0.2274477 0 0 0 1.344942 0 0 0.88188297 0 0 0 0
"20110800_E3D_41" 0.532441 1.0507137 0.3157474 1.7631229 1.5563389 0.54372036 2.6392314 1.052684 1.2842577 0 0 0 0.11261347 0 0.29928428 0.7088663 0.5762275 0.14400667 0.6750647 0.35475484 0 0 0 0.27333376 0.3077994 0 0.5209549 0 0.45050144 0.3689432 0.25632554 0.11681383 0.3543875 0.71114105 0.15273835 0.792255 0.34776193 0 0 0 0 0 0 0 0 0 0.079170465 0 0 0 0.6730884 0.39847136 0.6877655 0.5964547 0.09036233 0.7703205 0.26742435 0.6249931 0 0 0.4453117 0.58811975 0.5761638 0.5174368 0.06250407 0.7508307 0.17857306 0 0.30347902 0.2519324 0.30828288 0.84897244 0.6765747 0.17360476 0 0
"PMBB01" 0.5995805 1.5972965 1.1333802 2.1757033 1.5032064 0.67125297 2.310275 2.2338977 1.5066918 0 0 0 0.63261074 0.714642 0.25038442 0.90105206 1.3118418 0.1742434 0.9675859 1.0540751 0 0 0 0.6852586 0.658834 0.39603552 1.0850408 0 0.6987048 0.64395434 0.5179157 0.13097447 0.32821625 0.69453645 0.29286334 0.91635364 0.30496985 0 0 0 0 0 0 0 0 0 0.3433178 0 0 0 1.5129101 1.5617819 1.1012406 0.97477245 0 2.1789792 1.2491972 0.8867759 0 0 0.70096207 1.3078508 1.3051835 0.604321 0 1.5225116 1.1311874 0 1.022677 1.0017351 0.9369936 1.108581 1.0252712 1.0003006 0 0
"20120600_E2D_8" 0.55358523 0.55802095 0 0 0.7455792 0 0.095657155 0.7910906 0.15026785 0 0 0 0.15223934 0 0 0 0 0 0.39353478 0 0 0 0 1.5089393 3.238592 0 0 0 0.23372422 1.2747419 0.31305447 0 0 2.0586326 0 0 0 0 0 0 0 0.16708474 0 0 0 0 0 0 0 0 1.7900386 0 0.07077584 0 0.06833438 1.7204217 0.24160226 0 0 0 0.919562 0.64045787 0.06980892 0.10189283 0 0.62610984 0.11073638 0 0 2.719023 0.15288596 0.23696804 0.82481736 0 0 0
"20120600_E2D_9" 3.6626246 5.2453732 0.66528577 5.639927 2.9253716 0.42123803 1.0486962 3.50428 2.6915488 0 0 0 2.0796409 0.3997649 0.6280762 3.7282844 1.0154518 0.21949144 0.84745115 1.0356362 0 0 0 0.6932959 0.7778914 0 0.30923992 0 1.3916254 2.2839766 2.3608367 0 0 1.9104439 0.31865415 0 0 0 0 0 0 0.6470224 0.37925252 1.0843875 0.10713364 0 0.20079811 0 0 0 1.9248362 2.9415774 1.0451924 0.5847508 0 4.335132 1.4728073 0.5023001 0 0 0.9143336 2.3855886 1.2922026 0.39762262 0.19128348 3.8636985 0.6549103 0 3.9125748 5.1878386 1.985881 0.9495551 3.841462 0.39880326 0 0
"20120600_E2D_27" 0.24324848 1.5654962 0.2128676 4.079465 3.7388113 1.1814017 3.3094206 2.2684512 2.334329 0 0 0 1.3222481 1.4079844 1.9040849 4.415814 4.3673005 0.55154043 1.0593331 4.62443 0 0 0 0.24994567 0.22046188 0.10602412 0.49594426 0 0.6602671 0.51239467 0.7793521 0.28293556 0.19505118 1.4679382 1.2964435 0.11801101 0 0 0 0 0.61274356 0.13659097 0 0 2.1386416 1.1495878 0.4139324 0 0 0 1.7284994 3.0232518 1.0607595 2.765759 1.338606 5.0348783 1.0660639 0.5622213 0 0 0.8821248 0.9863951 1.4004083 2.3147175 0.19809176 1.1669406 2.7229328 0 2.868696 3.1344938 1.3206395 0.31400907 1.1224489 2.779022 0 0
"PMDB01" 0.32416546 1.930611 1.2252547 5.9761443 7.5964794 1.4062624 1.7794552 2.4099445 1.5851346 0 0 0 0 0.12617654 1.7407598 2.063227 3.0967157 0.76950157 2.8336654 2.7631142 0 0 0 0.8209441 1.3877704 0.31821474 0.2430591 0 0.46624067 0.5421951 0.52803844 0.23362933 0.5826097 1.3543108 2.6900196 0 0 0 0 0 0 0 0 0 0.13167416 0.35598645 1.0135024 0 0 0 4.121269 5.8259835 2.8602345 3.678627 0.9450993 3.1600454 2.2375388 1.6071413 0 0 2.93798 2.5511832 1.3632208 6.303386 0.596904 1.3520372 3.0103283 0 1.7826134 5.960535 3.2680228 0.6551377 1.15906 2.0455625 0 0
"PMNP01" 0.2069419 0.12725706 0.09473291 0 0 0 0.9447679 0.19601469 0 0 0 0 0.24888855 0.2720309 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11306748 0 0 0 0 0 0 1.1011882 1.5546327 0.07562746 0 0 0 0 0 0 0 0 0.89223117 0 0 0 0.13547166 0 0 0 0 0 0 0 0 0 0.06323119 0 0 0.50776124 0.23289604 0.17640115 0 0 0 0 0
"PMCM01" 0.30184215 0.7462034 0.06470396 0.5748644 0.854526 0.29007426 0.21862303 0.115940414 0.45150703 0 0 0 0.118668385 0 0.30059218 0.38637888 0.31143326 0.14223653 0.76845956 0.18876678 0 0 0 0.14311641 0.20025657 0 0 0 0.09907713 0.13590494 0.27216804 0 0 0.6042137 0.2386965 0 0 0 0 0 0 0 0 0 0 0 0.18136972 0 0 0 0.40928903 0.23251498 0.612887 0.27344903 0.81616557 1.3585231 0.31652892 0.13609475 0 0 0.17442122 0.24446076 0.2565786 0.38149533 0.10741135 0.4497801 0.63177335 0 1.1842228 0.3896299 0.34967646 0.25702107 0.38322172 0.30589408 0 0
"PMDS01" 0.059999615 0.40124947 0 1.81233 0.20388171 0 2.0255854 1.7189265 0 0 0 0 0 0 0.124746434 0.7236979 0 0 0.078108944 0 0 0 0 0 0 0 0 0 0.14988263 0 0 0 0 0.26017493 0 0 0 0 0 0 0 0 0 0 0.06977005 0 0 0 0 0 0.16500328 1.6528561 0 0.109001294 1.1060874 2.4523191 0.27038923 0 0 0 0.3340822 0.8196104 0 0 0.16810209 0.11896565 0 0 4.1256638 2.5657868 0.6124015 0.39702 0.4246583 0 0 0
"20120600_E3D_29" 3.022433 6.715349 1.9807215 2.1377003 4.895204 1.1313938 4.5719266 2.0944295 2.7233803 0 0 0 1.521877 3.1262653 1.5398254 3.2211497 1.6629868 0.3398581 0.6645268 2.2785282 0 0 0 1.0801408 1.2357124 0.8058036 2.9230375 0 1.306432 5.6016107 4.4883075 0.18266287 0.29042888 4.5719967 0.49050546 0.58725196 0 0 0 0 2.5927906 2.0730188 1.1872594 4.246044 0.712099 1.3477664 1.5820307 0 0 0 2.5192556 2.2634795 0.93269825 1.4717295 1.1074222 4.8465366 4.541663 1.9136493 0 0 1.4336264 4.6214237 1.9350812 1.1984223 0.34476283 4.666935 1.5693959 0 4.2599387 3.944224 2.0765643 1.4852324 2.6159194 0.59685594 0 0
"PMDY01" 1.3485436 1.183368 0.05917415 0.615738 0.18183658 0 2.7255673 0.8100458 0.33461455 0 0 0 0 0 0.10937573 0.30210912 0.32620966 0.16793807 1.0996425 0.29769275 0 0 0 0.07089943 0.067897305 0 0.47067663 0.2761975 0.6290404 0.38990456 0.2926005 0 0.20740473 0.45022044 0.106041245 0.32169002 0.29601416 0.30348408 0 0 0 0 0 0 0.09219523 0 0 0 0 0 0.26943636 1.5735883 0.20611162 0.29541853 0.12284446 0.6245159 0.09857824 0.1828328 0 0 0.5785869 0.41351676 0.2155293 0.35631493 0.264527 0.42539677 0.25704867 0 1.044397 0.37682718 0.23612238 0.39283508 0.30392438 0.14989236 0 0
"20120800_E3S_15" 2.7786753 14.894585 4.6666336 19.149214 30.783276 14.346364 9.13051 8.377957 11.678269 0 0 0 5.433269 1.1836482 8.688286 10.170793 16.063671 2.0784864 4.727149 12.017462 0 0 0 5.25578 12.320997 5.9866953 7.317059 15.747949 3.3433163 7.7741127 7.3577137 0.7688341 4.2598658 13.2386 6.4012055 7.3184805 10.39977 10.388329 0 0 3.655575 4.3356924 7.0677233 1.2737278 5.7914405 11.778416 13.254995 0 0 0 14.046519 11.390382 10.174283 8.955967 1.2123173 15.05982 9.285553 4.41959 0 0 5.999241 17.449783 12.895908 17.724762 1.9644781 12.269197 11.12743 0 7.821584 14.891277 9.088802 3.4384413 8.413091 5.337888 0 0
"20120600_E3D_13" 3.3508344 7.0545926 0.080808334 3.1384554 0.8808757 0 4.7255983 0.7290519 0.80805063 0 0 0 0.36656225 0 1.9952397 2.688812 0.10861714 0.7040817 3.0089226 0.09387414 0 0 0 0.64172685 0.20111893 0 0 0 1.5952749 2.5601676 1.4253252 0 0 3.3110366 0.08390968 0 0 0 0 0 0.73908854 0 0 0 1.3933119 0 0 0 0 0 0.7070716 3.5507762 0.075731516 0.15729105 1.962354 0.48640892 0 0.16062318 0 0 2.4293551 1.442562 0.105437554 0.126928 1.5430292 1.8658752 0.08348241 0 5.6728897 1.763605 0.7254194 1.5687196 2.2826834 0.18409197 0 0
"Fen.Labelled.R2.T3.F3.JGI.BFC.metaspades_bin.38_80.01_9.95" 0 0 0 0 0 0 0.07808222 0 0.098932035 0 0 0 0 0 0.4411293 0.21952522 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24494548 0 0 0 0 0 0 0.9550726 0 0 0 0 0 0 0.29764417 0 0 0 0 0 0 0 0 0 0 0 0 0 0.060140762 0 0 0 0 0 0 0
"Fen.Unlabelled.R1.T3.F1.trimmomatic.metaspades_bin.55_85.86_0.54" 0 0 0.07188771 0 2.2940812 0 0.108756915 0 0 0 0 0 0.24795945 0 0.16791034 0.12676908 0 0 0.074363515 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7558226 0.17485291 0.10212947 0.15444483 0 0 0 0 0 0 0 0.07540669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4604859 0 0.07573852 0.38984284 0 0 0 0
"Fen.Labelled.R3.T2.F1.JGI.BFC.metaspades_bin.27_98.45_0.75" 0.16883844 0 0.057614777 0 0.07827435 0 0 0.097926386 0 0 0 0 0.76264983 0.065845676 0 0 0 0.14373294 0.17842825 0 0 0 0 0 0 0 0 0 0 0 0.057935283 0 0 0 0 0 0 0 0 0 0.06270567 0.19461946 0.259681 0 0 0 0 0 0 0 0.06527245 0 0 0 0 0 0 0 0 0 0.22766988 0 0 0 0 0 0 0 0.09098417 0 0 0 0 0 0 0
