"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-X0" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "714_E1_1-5" "714_E1_5-9" "714_E2_1-5" "714_P1_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"PMCA01" 0.6083687 0.39968002 0 0 0 0 0.29746348 0 0.4473942 0 0 0 0.20873842 0.14666454 1.1411732 0.40978664 0 0 0 0.6395715 0.81489223 0.35817474 0 0 0.094249494 0 0 0 0 0 0 0 0 0.7533236 0 0 0 0.06824005 0 0.08021325 0.47654542 0.11225172 0 0.0668768 0.19703187 0.9012959 0.7654556 1.2190052 0.27335122 0.26146096 2.1600692 0.6880741 0.3945007
"Fen.Unlabelled.R1.T2.F4.trimmomatic.metaspades_bin.48_89.46_5.98" 0 0 0 0 0 0 0.06422656 0 0 0 0.55925554 0.10661455 0 2.387 0.3757924 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.069576204 0 0 0 0 0 0.3574093 0 0 0 0.10054844 0.21199486 0 0 1.3146299 0 0 0.058352645 0 0 0 0 0
"20110800_E3M_2" 1.5792516 0.9914233 0 0.09411643 0 0 2.2346992 1.0666907 1.9967372 0 0 0.060961712 0.9744404 1.1816937 5.905677 1.599711 0 0 0.68890744 1.6849631 0.38059127 0.93793064 1.8583022 0.23213431 0.44611654 0.56724256 0.063076615 0.058222465 0 0 0 0 0.24615534 1.4948944 0.4697027 1.2823006 0.05822332 0.11602058 0 1.4167848 1.1059768 0.9173401 1.3531637 1.2777913 0.4394492 1.9590442 2.4190056 5.087456 2.908525 2.8910792 2.7337153 1.6712993 1.1311706
"Fen.Unlabelled.R3.T3.F4.trimmomatic.metaspades_bin.1_78.97_1.10" 0.08403044 0 0 0 0 0 0 0 0.10137391 0 0 0 0 0.8092695 1.6421236 0 0 0 0 0.13138953 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.637565 0.2056506 0 0 4.2380137 0 0 0 0 0 2.2515664 0 0
"PMDK01" 0.25994793 0.30217528 0 0 0 0 0.1763826 0 0.070542656 0 0 0 0.14789575 0.10492826 0.4255819 0.30753773 0 0 0 0.08608893 0.10073467 0 0 0 0.19221771 0 0 0 0 0 0 0 0 0.53950846 0 0 0.06843106 0 0 0 0 0 0 0 0.124516815 0.8649439 0.24922483 1.6830786 0.9555517 1.1105294 0.30106658 0.4264502 0.42126867
"20110800_E3M_4" 0.15890124 0.1051668 0 0 0 0.21997474 4.4272237 3.6089094 0.5343909 0 0 0 0.79845935 0.49665686 3.1924455 1.2491727 0 0 2.3355224 0.14351308 0 0.28743985 0.7159986 0 0 0.30093655 0 0 0 0 0 0 0.07169004 3.4811788 0.07058264 0.17390983 0 0.48951495 0.30681863 2.1899464 0.10712068 0.1463032 0.2940211 0.15889852 0.06548838 0.1130928 0.9077617 9.330365 8.6902685 9.063392 0.4609561 0.13673335 1.7351097
"20110800_E2S_12" 0.20033027 0 0 0.422658 0 0 0 0 0.06639605 0 0.7899859 0.5327532 0 0.32108635 0.6736112 0 0 0 0 0.10375481 0 0 0 0 0.059770785 0 0 0 0 0 0 0 0 0.5918441 0 0 1.0901645 0 0 0 0.8262123 0.42210922 0 0 1.8108935 0 0 0.84631413 0 0 0.530518 0 0
"20110800_E3M_6" 15.260842 1.9542868 0 0 0 0 0.37605074 0 0.79575264 0 0.35449415 1.4246309 0 1.4403591 8.912489 0 0 0 0 3.774178 0.58460724 0.1278194 0.28811496 0 0.2852384 0 0 0 0 0 0 0 0 0.2636117 0 0 0.16120307 1.6461134 0 0 0.92966646 0.19009192 0 0 4.921974 0.18058477 0 3.4992728 0 0 7.477773 0.4689182 0
"PMCY01" 1.5750438 1.4787697 0 0.20747463 0 0 1.5107616 0.3712479 0.7845491 0 0 0.14035296 0.6993823 0.4712552 1.99757 0.7720438 0 0 0 1.0994781 0.9905803 0.41440123 0.07683904 0 0.6028783 0.2661508 0 0 0 0 0 0 0.4469613 0.5932634 0.463565 0.5826474 0.2060163 0.0872919 0.07414937 0.17918937 0.41467005 0.37200022 0.17280765 0.21369193 0.48221558 0.7452847 0.37234494 2.9877224 1.4081755 0.70887136 1.223673 1.0271509 0.25341752
"PMCE01" 0.98886395 0.5656731 0 0.24498425 0.22895479 0 0.6319201 0.5101519 0.4648081 0 0 0.07287575 0.32164735 0.246635 1.2982227 0.41928738 0 0 0 0.535235 0.3922336 0.49249628 0.5734556 0 0.20642132 0.14247993 0 0 0 0 0 0 0.44232303 0.5309294 0.52336866 0.7398702 0 0.34961987 0.13359278 0.27896234 0.19895922 0.2793852 0.2908932 0.32487148 0.20148443 0.7310828 0.4615257 0.9883895 0.662202 0.5161453 0.9939716 0.7506784 0.40566272
"PMZX01" 3.6456852 0.5300588 0 0 0 0 2.595868 3.2800794 0.4604793 0 0 0 0.26360285 1.3145181 9.085065 0.32940868 0 0 0.116723835 11.3672285 7.4334908 1.0300255 0.6130237 0.091902435 0.13118403 0.14671867 0 0 0 0 0 0 0 0.36246303 0.073117286 0.19737183 0 0.48786655 0.29238528 0.27100277 0.13732153 0.14989792 0.08406211 0.6933909 0.16979228 1.184257 0.49510652 2.8226693 3.3810868 2.7341738 8.763476 8.299512 0.6006854
"20120600_E1D_16" 0.07824017 0.34247622 0 0 0.084753685 0 0 0 0 0 0.6609931 0.14467944 0 0 0.99049467 0 0 0.06592523 0 0.105280906 0.591055 0 0 0 0.49609962 0 0 0 0 0 0.07673797 0 0.14508341 0.09438228 0 0 0.27942914 0.13639016 0 0 0.9694834 0.35085422 0 0 0.20240916 0.29953387 0 0 0.57948786 0.06186753 1.470357 0.4521231 0
"PMBV01" 1.0717008 0.9698324 0 0 0 0 0 0 0.08404509 0 0 0 0 0 0.73590803 0 0 0 0 0.22920348 1.4732846 0.64835566 0 0 0 0 0 0 0 0 0 0 0.06250984 0.1364724 0 0 0 0 0 0 0 0.08957398 0 0.08835134 0.110388726 0.57014173 0.1280587 2.2263212 1.1196164 3.1978881 1.5085486 2.5785787 0
"PMCP01" 0 0 0 0.073122956 0 0 0.41061917 0 0 0 0.78321284 0.70514953 0 3.1718636 1.0476668 0 0.25642678 0 0 0 0 0 0 0 0 0 0 0 0.17513052 0 0.36671302 0 0 0.20646594 0 0 0.63639843 0 0 0 0.44760385 0.20751736 0 0 2.6235504 0 0 0.5795856 0 0 0.17075892 0 0
"PMDM01" 0 0 0 0 0 0 0 0 0 0 1.3344202 0.22307695 0 1.9048147 0.41039005 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17031896 0.20755127 0 0 0 0.06037069 0.2642811 0 0 4.4808483 0 0 0.1206861 0 0 0 0 0
"PMCJ01" 0.6553852 0 0 1.1722244 0 0 0.35275102 0 0 0 0.4504492 1.1453809 0 0.105517104 1.0997239 0 0.13102837 0 0 0.64334404 0 0 0 0 0 0 0 0 0.2228436 0 0.59805065 0 0 0.5454076 0 0 0 0 0 0 0.41166916 0 0 0 0.8907535 0 0 0.30799088 0 0 0.67640316 0 0
"PMBG01" 0.9751469 0.5958908 0 0.06782539 0 0 1.2378329 0.12123214 0 0.08245796 0.5830968 0.6160775 0 0.42340985 1.3183084 0 0 0 0 0.45704454 0.07796905 0 0 0 0.11843724 0 0 0 0.14583151 0 0 0 0.09292335 2.0732322 0 0 2.1701472 0.4093262 0 0 1.620849 0.05818983 0 0 0.24729498 0 0 1.0965345 0.08185769 0 1.783069 0.1279177 0
"Fen.Labelled.R3.T2.F4.JGI.BFC.metaspades_bin.9_70.09_1.38" 2.354027 1.1220746 0 6.120201 0.19127688 0 2.1158776 0.28473878 0.62041885 0 5.015983 10.000675 0.20570903 0.8784846 2.64481 0.08501058 2.1670368 0.1286385 0 2.6293871 0.523896 0.16869965 0 0 0.38262677 0 0 0 0.6207362 0.057914607 1.6094486 0 0.20738162 6.7081156 0 0.1924437 1.1599586 1.2829741 0 0 5.609281 1.3247852 0.06453316 0 8.989348 0.317211 0 3.106421 0.2098589 0 11.571508 0.6081878 0
"20110800_E3S_2" 1.587604 0.3692245 0 0 0 0 0.14486246 0 0.32216188 0 0.6513402 1.3485972 0 2.5959547 2.9985917 0 0 0 0 1.184979 0.12076585 0.08200052 0 0 0.070776805 0 0 0 0 0 0 0.2053665 0 0.29253256 0 0 0.22420344 0 0 0 1.6648569 0.34509242 0 0 13.169471 0.061633565 0 0.7557432 0 0 8.38866 0.065059744 0
"Fen.Unlabelled.R2.T1.F3.trimmomatic.megahit_bin.38_73.55_6.79" 4.089802 0.59004474 0 0.22071645 0 0 0.35361972 0 0.58762425 0 0.12688026 0.06733071 0 1.0357275 3.949638 0 0 0 0 1.170791 0.10661528 0 0.057219554 0 0.16131923 0 0 0 0 0 0 0 0 0.7994529 0 0 1.835365 0.08263807 0 0 1.6765132 0.49535736 0 0 3.1795232 0 0 2.133112 0 0 3.5141919 0.07867132 0
"PMCF01" 0 0.20989358 0 0 0 0 0 0 0 0 0 0 0 0.09475564 1.7075249 0 0 0 0 1.4110835 0.657081 0.09343947 0 0 0 0 0 0 0 0 0 0 0 0.06806554 0 0 0 0 0 0 0 0 0 0 0 0.20248516 0 0.1734856 0.059044845 0 1.8712338 0.24740249 0
