"genome" "711_E-1-S" "711_E-1-M" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-D" "711_P-2-D" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-M" "712_E-3-D" "712_P-1-M" "712_P-1-D" "712_P-2-D" "712_P-3-D" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-X1" "713_S-1-M" "713_S-1-D" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P1_30-34" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_S1_10-14" "715_S1_20-24" "715_S2_20-24" "715_S3_20-24" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_30-34" "716_P1_30-34" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S2_1-5" "716_S2_10-14" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_1-5" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P1_20-24" "717_P2_10-14" "717_P2_20-24" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20111000_P1D_11" 0 0 0 0 0 0 0 0 6.883825 1.525472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.434569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24024594 13.369299 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_101" 0.12108255 0 0 0 0 0 0 0 0 1.8655717 0 0 0.09414354 0 0.1526331 0 0.09746726 0.6185086 0 0 0 0 0 0 0 0 1.444991 0.14902936 0 0 0 0 0 0 0 0 0 0.3672138 0.28203657 0 0 0.08149723 0 0.73951715 0.85674864 0.0968822 0 0 2.4592152 0.13267437 0.09457048 0 0 0 0 0 0 0 0 0.103071034 1.0853028 0.8422828 0 0.08560032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06370364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27299887 0.10777684 0 0 0
"20120700_P3D_88" 0 0 0 0 0 0 0 0 0.35909584 0.7400274 0.47511786 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09914512 0 1.1951795 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.37294465 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2838797 0 0 0 0 0 0 0
"20120700_P3D_93" 0 0 0 0 0 0 0 0 0.10842409 1.7779437 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.977088 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06284621 26.052221 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20130700_C2Y_2" 0 0 0 0 0.33553144 0 0 0 0 0.40671584 0.44478983 0 0 0 0 0 0 0 0 0 0.10820966 0 0 0 2.483332 0 0.49851295 0 0.4771116 0 0.27850252 0 0 0 0 0 0.073279366 0 0 0 0 0 0 0 0 0 0.112744465 0.2600357 0 0 0 0 0.20257461 0 0 0 0 0 0 0 0.065758415 0 0 0 0 0 0.6334361 0 0 0.656713 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10201253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19404972
"20120500_P26_5" 0 0 0 0 0 0 0 0 1.0988325 50.848984 2.6996078 0 0 0 0 0 0 0 0 0 0 0 0 0 8.664331 0.21460551 9.547154 0 0.22350684 0 0 0 0 0 0 0 0 1.3141919 0.5164879 0 0 0.31743646 0 0.08258675 0.19366227 0.14039205 0.14557949 0.99797314 0 0 0 0 0.09021024 0 0 0 0 0 0 0 0 0 0 0 0 0.9386263 4.0373516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.106416956 0 0 0.79011947 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8449605 0 0 0 0 0 0 0
"20120700_P3D_81" 0 0 0 0 0 0 0 0 0 3.3729126 0.14958201 0 0 0 0 0 0 0 0 0 0 0 0 0 0.47398415 0 0.7946113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06703634 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16385853 0 0 0 0 0 0 0
"20120700_P3D_61" 0 0 0 0 0 0 0 0 0.20312378 50.68942 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74.29115 0 0 0 0 0 0 0 0 0 0 1.9960468 5.9766626 0 0 1.8919563 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6986697 0 0 0 0 0 0 0 0 0 0 0 0 0 0.90365374 0 0 0 0 0 0 0
"PLYW01" 0 0 0 0 0 0 0 0 1.8149043 26.701763 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.14074971 0 14.982383 0 0 0 0 0 0 0 0 0 0 0.0711635 0.09727302 0 0 0.08208207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.42115313 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.56196254 0 0 0 0 0 0 0 0 0 0 0 0 0 0.42957756 0 0 0 0 0 0 0
"20120500_P26_1" 0 0 0 0 0 0 0 0 0 81.2285 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.786509 0 198.82494 0 0 0 0 0 0 0 0 0 0 0.24131066 8.621235 0 0 0.35490206 0 0 0.22209686 0.24501425 0.07753636 0.9104524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.36205694 0 0 0 0 0 0 0 0 0 0 0 0 0 4.4814777 0 0 0 0 0 0 0
"20120700_P3D_27" 0 0 0 0 0 0 0 0 0.34066522 3.0830235 0.28767607 0 0 0 0 0 0 0 0 0 0 0 0 0 0.58588576 0.06669427 2.8974104 0 0 0 0 0 0 0 0 0 0 0 0.30230573 0 0 0 0 0 0 0 0.18438146 0.94205976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16317607 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.42459312 0 0 0 0 0 0 0 0 0 0 0 0 0 0.83343035 0 0 0 0 0 0 0
"20120700_P3D_90" 0 0 0 0.10256239 0 0 0 0 0 1.5920647 0 0 0 0 0 0 0 0.15229852 0 0 0 0 0 0 0 0 0.644366 0 0.08776417 0 0 0 0 0 0 0 0 0.09345388 0.22307718 0 0 0.5345638 0 0.13652012 0.14072646 0.22079313 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22436666 0.06363414 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.21316311 0 0 0 0 0 0 0
"20120700_P3D_24" 0 0 0 0 0 0 0 0 0 15.172052 0 0 0.26987234 0.067156024 1.579199 1.3150629 0 0 0 0 0 0 0 0 0 0 1.3931913 0.5869919 0 0.08997098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29285586 0 0.08396742 0.24884386 0 0 0.107481815 0.092838444 0 0 0 0 0.21780519 0.14882718 0 0 0 0 0.40145382 0.36834177 0 0 0 0 0.092512235 0 0.22360504 0.17634118 0 0 0 0 0 0 0.07644409 0.07277582 0.14443739 0.2004936 0 0 0 0 0 0 0 0 0 0 0 0.21517694 0 0 0.08525691 0.14443387 0 0 0 0 0 0 0 0 0 0 0.13951544 0 0 0 0
"20120700_P3D_139" 0 0 0 0 0 0 0 0 1.8329438 6.4189143 2.466157 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6326513 0 3.9773378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.069020785 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3761328 0 0 0 0 0.08760466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20111000_P2D_6" 0 0 0 0 0 0 0 0 0 3.6464655 0.3046949 0 0 0 0 0 0 0 0 0 0 0 0 0 6.191505 0.9475295 35.245613 0 0 0 0 0 0 0 0 0 0 0 0.11984472 0 0 0 0 0 0 0 0 0.284388 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.42071316 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6124995 0 0 0 0 0 0 0 0 0 0 0 0 0 12.962472 0 0 0 0 0 0 0
"20120700_P3D_10" 0 0 0 0 0 0 0 0 0.10350003 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.11675 0 0 0 0 0 0 0 0 0 0 0.12811126 0.36340716 0 0 0.09729196 0 0 0.081050985 0.55200016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.918957 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
