"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-M" "711_P-1-D" "711_P-2-D" "711_P-3-D" "711_S-2-M" "711_S-2-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "712_P-1-D" "712_P-3-D" "712_S-1-X" "712_S-2-X" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-3-X1" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P1_30-34" "714_S1_20-24" "714_S1_30-34" "714_S3_1-5" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_S1_30-34" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_P1_30-34" "716_P3_1-5" "716_P3_30-34" "716_S1_20-24" "716_S1_30-34" "716_S2_30-34" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P2_20-24" "717_P3_20-24" "717_S2_30-34" "717_S3_20-24"
"20110700_P1D_2" 0.06446318 0.19295084 0.18224193 0.41000018 0.37129015 0.3805761 0.2804398 0.1417971 0.6599288 0 24.228004 0.84803987 0 0 0 0.16133791 0.13437481 0.20347247 0.38197535 0.64351004 0 0.17220475 0.3464685 0 0.4360605 0 0 0 0 0.20910287 0.24265291 0.093974724 0.12415835 0.29051 0.07482855 0.057565406 0.112217784 0 0.4541216 0.17616113 0.15206264 0.2114246 0.16644615 0 0 0 0 0 0.06654053 0.058143336 0.3488954 0.33030212 0.06907728 0.0846023 0.63956064 0 2.8376973 0 0 0 0.4207645 0.42363015 0.35735404 0.25489998 0.07553302 0.27123228 0.21406086 0.12071113 0 0 0 0 0.16184807 0.3002554 0.3965485 0.23431715 0.07004117 0.20279002 0.3789882 0 0 0 0 0 0 0 0.48586974 0.34753454 0.34065047 0.3502489 0.25137463 0.24828766 0 0 0 0
"20120500_P26_12" 0.076525904 0.18617018 0.43588352 0.4649578 0.8782014 0.48584995 0.17773631 0.22548613 0.45821846 0 22.88905 10.798166 0 0.15289712 0.46870267 0.16616447 1.6965567 0.29740378 0.3302477 0.6779463 0.18402448 0.0963993 0.6291248 0 27.61966 0.8049499 0.38260713 0 0 0.27616122 0.33038136 0.24891986 2.6860023 3.8501568 0.05643268 0.14247938 0.07545831 0.53805226 3.7903812 0.19093414 0.33494958 0.79968584 1.1162357 10.414796 0 0.29379869 0.3329942 0 0 0.10185531 0.51801676 2.4708433 0 0.2583633 0.55833244 0.065977216 92.81397 0.15734185 0.60742396 0 0.39391777 0.19297805 0.4540122 0.44125336 0 0.20030938 0.3363744 0.6529809 0.060840435 0.189529 0.19045784 0.31450662 0.064801745 0.408729 0.45386326 0.68544215 0 0.4360158 0.79685116 0 0 0.20089628 0 0 0 0.10595164 0.221918 0.63035965 0.416118 0.07872113 0.21005611 0.5917446 0 0 0 0.33488888
"20110700_P2D_27" 0.08291723 0.21603175 0.52381706 0.5005121 1.1506039 0.5670939 0.2274695 0.30073228 0.540458 0 0.36201733 31.188736 0 0.17250215 0.5173514 0.18294142 1.7039168 0.3719806 0.34540918 0.7772407 0.25753233 0.14773606 0.745792 0 3.35801 1.171009 0.50928324 0.07050882 0.0658007 0.28196836 0.37298495 0.2697225 1.2438806 1.8447807 0.078032434 0.16919616 0.097747035 0.4564725 1.2527182 0.24343373 0.3740171 0.351248 0.41774082 0.8670106 0 0.3401939 0.44646388 0 0 0.15331382 0.7074635 2.1906247 0.073980264 0.3447711 0.6568975 0 14.856206 0.16634409 0.7133015 0 0.48080876 0.25825813 0.569041 0.5695203 0 0.27704656 0.4184213 0.7820881 0.078023285 0.18077981 0.23682506 0.352922 0.10312359 0.49162963 0.51483357 0.8867593 0 0.5306818 0.84804714 0 0 0.25404924 0 0 0 0.111927114 0.28539076 0.9240672 0.5379032 0.110207394 0.26007098 0.6672312 0 0 0 0.40085417
"20120700_P3D_3" 0 0 0 0 0 0 0 0 0 0 0.22057582 0 0.7425314 0 0 0 0 0 0 0 0 0 0 0.4654053 1.6265754 0 0 0.2694213 0.26220492 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09687273 0 0 0 0 0 0 0 0.12989543 0 0 0 0.19788726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07515068 0.11475352 0.28489646 0 0.5435324 0 0 0 0 0 0 0 0.08207399 0.13259712 0.289673 0
"20120700_P3D_1" 0 0.13353983 0.08774009 0.101884894 0.1930661 0.10281245 0.103533834 0 0.06724811 0 9.739328 2.3255692 0 0 0 0.11099804 0 0 0.13222985 0.11913115 0 0 0 0 2.0352643 0 0 0 0 0.084834374 0.0738623 0 0 0.05951099 0 0.07169848 0 0 0.06122842 0 0 0.09514486 0.08068161 0 0 0 0 0 0.0655578 0.09668011 0.48025495 0.31129265 0 0.06472203 0.20251301 0.189051 1.0675019 0 0 0 0.15331702 0.15028231 0.0658919 0 0 0.122835785 0.05946371 0.0842816 0 0 0 0 0 0.08944779 0 0 0 0.15167052 0 0 0 0 0 0 0 0 0.18570828 0.1039472 0.19515936 0.2037465 0.10620245 0 0 0 0 0
"3300037076_8" 0 0 0 0 0 0 0 0 0 0 2.377772 2.1048064 0 0 0 0 0 0 0 0 0 0 0 0 0.54983187 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10910402 0 0 0 0 0 0 0 0 0 0 0 0.9754294 0.3605553 0 0 0.15516382 0 12.990018 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_73" 0 0 0 0 0 0 0 0 0 0 3.9968002 0.29924434 0 0 0 0 0 0 0 0 0 0 0 0 6.058718 0 0 0 0 0 0 0 0.43465954 0.97140247 0 0 0 0 3.8720016 0 0 0.085847534 0.0781402 0.43148285 0 0 0 0 0 0 0 0 0 0 0 0 0.7957592 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20111000_P3M_44" 0 0 0 0 0 0 0 0 0 0 8.423144 5.586382 0.33720365 0 0 0 0 0 0 0 0 0 0 1.18109 3.527714 0 0 0 0 0 0 0 0.34872085 0.34827736 0 0 0 0 0.17597033 0 0 0.07423237 0.22982983 0.52288723 0.086692214 0 0 0 0 0 0 0 0 0 0 0.8896508 7.9805207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.80567497 0 0 0 0 0 0 0 0 0 0 1.4653714 0 0 0
"20120500_P28_12" 0 0 0 0 0 0 0 0 0 0 3.079671 5.325153 0 0 0 0 0 0 0 0 0 0 0 0.38412744 1.6668527 0 0 0 0 0 0 0 0.17197803 0.14303242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0564685 10.398603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.98914874 0 0 0 0 0 0 0 0 0 0 2.0216355 0 0 0
"20120700_P3D_71" 0 0 0 0 0 0 0 0 0 0 1.4321072 3.290022 0 0 0 0 0 0 0 0 0 0 0 0 1.0116225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.43673775 0.29297602 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.082551844 0 1.8499427 0 0 0 0 0 0 0 0 0 0 0.092783906 0.0897502 0 0
"PLBY01" 0 0 0 0 0 0 0 0 0 0.066792525 15.47895 0.3681136 0.12951018 0 0 0 0 0 0 0 0 0 0 0.07931071 3.706816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16990168 5.124762 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3596771 0 0 0 0 0 0 0 0 0 0 0.29673502 0 0 0
"20120700_P3D_128" 0 0 0 0 0 0 0 0 0 0 0.99452084 2.322902 0 0 0 0 0 0 0 0 0 0 0 0 3.935004 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0563585 0.35188422 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31757483 0 0 0 0 0 0 0 0 0 0 2.8021886 0 0 0
"20120700_P3D_67" 0 0 0 0 0 0 0 0 0 0 1.0421013 0.63649684 0 0 0 0 0 0 0 0 0 0 0 0 0.8126997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06023719 0.18434991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.40901282 0 0 0 0 0 0 0 0 0 0 0.14386852 0 0 0
"20110800_P1M_19" 0 0 0 0 0 0 0 0 0 0.13425004 5.1134987 0.2916656 0.14454432 0 0 0 0 0 0 0 0 0 0 0.11434339 0.2897457 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1603066 0 0 0 0 0.6885711 0 0 0 0 0 0 0 0 0 0 0 6.3422036 2.302241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.7126602 0 0 0 0 0 0 0 0 0 0 0.6873859 0.18449967 0 0
"20120700_P3D_142" 0.09922434 0.24954808 0.5227035 0 0.29145837 0.30348244 0 0.065916255 0.30932862 0 2.1325617 0.72022724 0 0.075055726 0.18027371 0.0565828 0.18364954 0 0 0.41494206 0 0 0.35491705 0 2.8030243 0.07434677 0.06380519 0 0 0.24793439 0.30245325 0.15966828 0.35605022 0.24798933 0 0 0.15231058 0 0.61926115 0.11685059 0.08536549 0.22182387 0.23499943 0.70776474 0 0.059774756 0.110861994 0 0 0 0.34129557 0.1711175 0 0 0.33074167 0 1.3206042 0.06912605 0.08441906 0 0.41733724 0 0.58291024 0.3970988 0 0 0.15091065 0.11346827 0 0.056935467 0 0 0 0.32036036 0.53094405 0.3898587 0 0.20136508 0.2525764 0 0 0.34619242 0.11722362 0.10945626 0 0.0875768 0 0.094924256 0.13952708 0 0.08639831 0.2018098 0 0 0.10809006 0.12711987
"20110800_P1M_9" 0 0 0 0 0 0 0 0 0 0.098521106 40.67249 41.10291 0.092403844 0 0 0 0 0 0.15184161 0 0 0 0 0.14286159 40.902946 0 0 0 0 0 0 0 0.058949597 0.6218967 0 0 0 0 0.46714655 0 0 0 0.06308922 0.30428433 0 0 0 0 0 0 0 0 0 0 0 15.163142 18.713251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.102087535 0 0 0 0 11.715722 0 0 0 0 0 0 0 0 0 0 28.136387 0.064896785 0 0
"20111000_P3M_9" 0 0 0 0 0 0 0 0 0 0 9.412465 0 0 0 0 0 0 0 0 0 0 0 0 0 1.558003 0 0 0 0 0 0 0 0 0.0865962 0 0 0 0 0 0 0 0 0 0.78794336 0 0 0 0 0 0 0 0 0 0 0 0.40080804 4.946996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.138925 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PLYD01" 0 0 0 0 0 0 0 0 0 0 2.298747 0.33869764 0 0 0 0 0 0 0 0 0 0 0 0 6.5584216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4510823 0 0 0 0 0 0 0 0 0 0 0 1.8174295 0.707509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08244676 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120500_P36_7" 0 0 0 0 0 0 0 0 0 0.08849761 28.90542 0.61476386 0 0 0 0 0 0 0 0 0 0 0 0 0.8850642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17976634 0 0 0 0 0 0 0 0 0 0 0 2.0033133 1.5659019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.14427796 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_89" 0 0 0 0 0 0 0 0 0 0 0.8225996 0.9356154 0 0 0 0 0 0 0 0 0 0 0 0 8.346223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22954342 0 0 0 0 0 0 0 0 0 0 0 3.6530666 2.1286645 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1706387 0 0 0 0 0 0 0 0 0 0 0.88837844 0 0 0
"PLZA01" 0 0 0 0 0 0 0 0 0 0 13.614453 20.660246 0.095571 0 0 0 0 0 0 0 0 0 0 0.17724848 12.760791 0 0 0 0 0 0 0 0 0 0 0 0 0 0.059268266 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2245916 1.8242551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7536003 0 0 0 0 0 0 0 0 0 0 16.28725 0 0 0
"20130700_C2Y_6" 0.19976677 0.16315801 0.31004596 0 0 0.13705014 0.19300842 0.2719219 0.39741227 0 0.06575425 0 0 0 0 0.65097463 0.7579983 0.09388052 0 1.5368514 0 0 0.5853656 0 0 0 0 0 0 0 0 0.058542963 0 0.09287438 0 0 0 0 0 0.15637745 0.26383743 0 0 0 0 0 0 0 0.33768052 1.3470623 5.6121736 0 0 0 1.2407999 0 11.973414 0 0 0 0.06220702 0 0 0 0 0.09525634 0 0 0 0 0 0 0 0.06254836 0.35701916 0.32745644 0 0.090531215 0.49072912 0 0 0 0 0 0 0 0 0.08175099 0.07334131 0 0.09061317 0.51575804 0 0 0 0
"PLZO01" 0 0 0 0 0 0 0 0 0 0 4.16264 3.2568514 0 0 0 0 0 0 0 0 0 0 0 0 2.7956588 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8790018 0 0 0 0 0 0 0 0 0 0 0 10.860947 21.873297 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7575716 0 0 0 0 0 0 0 0 0 0 0.09721941 0 0 0
"20110800_P1D_16" 0.30632323 0.21209782 0 0.23820768 0 0 0.32082918 0.24740098 0 0 5.178925 0 0 0 0 0 0 0 0.154389 0 0 0.11580911 0 0 0 0 0 0 0 0 0 0 0 0 0.097732864 0.13609673 0 0 0 0 0 0 0 0 0 0 0 0 0.0810749 0 0 0 0.07688848 0 0 0 0 0 0 0 0 0.22732785 0 0 0 0.12139355 0 0 0 0 0 0 0.06800856 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18397893 0.15433322 0 0.09906445 0.11150252 0 0 0 0 0
"20111000_P3M_22" 0.1512411 0.09184357 0 0.21221268 0 0 0.3254637 0.18536347 0 0 3.3623054 0 0 0 0 0 0 0 0.114467375 0 0 0.055797946 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08390925 0 0 0 0.07793536 0 0 0 0 0 0 0 0 0.16040143 0 0 0 0.08051679 0 0 0 0 0 0 0.05648923 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18044528 0.08514084 0 0 0 0 0 0 0 0
"20111000_P3M_32" 0 0 0 0 0 0 0 0 0 0.2167505 1.2415967 20.146954 0 0 0 0 0 0 0 0 0 0 0 0 0.44710118 0 0 0 0 0 0 0 0 1.2551173 0 0 0 0 0 0 0 0.2392455 0.34152526 3.057567 0 0 0 0 0 0 0 0 0 0 0 20.984758 10.55182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.978476 0 0 0 0 0 0 0 0 0 0 70.18466 1.5528717 0 0
