"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-D" "711_P-2-D" "711_P-3-D" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "712_P-1-D" "712_P-3-D" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-X1" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P1_30-34" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_20-24" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_P2_30-34" "716_P3_30-34" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_20-24" "716_S2_30-34" "716_S3_20-24" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P2_20-24" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_10-14" "717_S3_20-24"
"20110800_E3D_10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.8972564 0.48272163 0 0 0 0.1737668 2.4115448 0 0 2.934301 2.4354532 1.0413184 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_99" 0 0 0 0 0 0 0 0 0 0 0.058426317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1176407 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29289773 0 0 0.18168478 0.22236376 0.060687102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2177372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_E2D_31" 0.20051293 0.30323574 0.08182323 0.26633653 0.9228319 0.4951498 0.45723683 0.4537899 0.16138588 0 1.1497365 0 0 0.26666284 1.1990137 0 0.65489745 0.1692028 0.30732352 0.23528007 0.6273425 0 0.10178591 0.33293536 0.26729277 1.1813939 0 1.6629206 0 2.345181 0 0 0.41832647 0.5091064 0.27169928 3.081777 1.9211395 0 0.07281575 0.07111034 0.4311786 2.1214736 0.18537083 0.06528355 1.9710677 2.8233109 1.5918006 0 0 0 0 0 0.17966373 0 0.54642177 1.583455 0 0 0 0.3227894 0.7105831 0.6469844 0.91235375 0.26283878 0.27269793 0.2357189 0 7.477831 0 0.70505863 2.2886703 0 0 0 0 0.14708705 0.06977952 0.1301585 0.07867739 0 0.5539804 0.28084913 0.19385841 0 0 0.73045087 0 1.3531437 0.4455967 1.0294447 0.081834994 0.13764156 0.098254144 0.28870383 0 0.12114052 0.086821884 0 0 0 0 0.11408076 0 0.3825687 0.10358456 2.669332 0.25011894 0.54112744 0.09863462 0.17173636 0.28095075 0 0 0 0 0.8134575 0 0.9954406
"20110800_E2D_6" 0 0 0 0 0.061537728 0 0.09322233 0 0 0 0 0 0 0 0 0 0 0 0.083948776 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1492436 7.115727 0 0 0 0 2.4641042 0 0 1.2990131 2.378733 3.172919 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06682178 0 0 0 0 0 0 4.2953553 0 0 0 0 0 0 0 0 0 0 0 0 0.06121985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10805773 0.12573701 0 0 0 0 0 0 0 0 0 0
"20110800_E3D_5" 0 0.10417397 0 0 0.092290744 0.08555728 0 0 0.52385104 0 0 0 0 0 0 0 0 1.7303771 0 0 0.14970636 0 0 0.12697558 0 0 0 0 0 0 0 0 0 0 0.056248195 1.9710644 0.5513417 0 0 0 1.0515323 3.7110841 0.099362604 0 7.0084877 16.641592 1.4764569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09536737 6.2638907 0 0 0.25292426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.44630706 0 0 0 0 0 0 0 0 0 0.15155761 0.41490787 0 0 0.06117139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_55" 0 0 0 0 0 0 0 0.12775743 0 0 0.07078356 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2957013 0 0 0 0 0 0 0 0 0 7.6593256 1.5194542 0 0 0 0.4882181 1.7061878 0 0 10.445263 5.264569 0.7397295 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09809305 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07498014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06425206 0.0687793 0 0 0 0 0 0 0 0 0
"20120800_E3X_6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5555894 2.758823 0 0 0 0 0.20727941 0 0 1.3127857 1.2742786 4.7180204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120500_P19_10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55346084 3.0556254 0 0 0 0 0.5475847 0 0 1.6484905 2.5310507 5.677788 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.6644986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_E3D_26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5544726 23.295246 0 0 0 0 24.191597 0 0 27.781734 34.805157 58.890766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0159528 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20130700_C2X_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.0506783 2.094156 0 0 0 0 14.233056 0 0 14.832775 18.38284 1.0650731 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.306843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300038461_5" 0 0 0 0 0 0 0 0 0.17331648 0 0 0 0 0 0 0 0 0 0 0 0.07521591 1.6042169 0.06873905 0.09614187 0 0 0 0 0 0 0 0 0 0 0 1.2225481 0.097612046 0 0 0 3.4812083 0.47254568 0 0.28213122 0.20839475 0.43611082 0.0943087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.26557472 0 0 0 2.029307 0 0 0 0 0 0 0 0 0 0 3.383633 0 0 1.6564885 0 0 0 0 0 0 0 0 0 0 0.2045615 1.5517336 0 0 1.3470787 0 0 0 0 0 0
"3300037104_11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5334144 0 0 0 0 0.69517756 0 0 0.2081752 1.3533659 1.3594307 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E1X_12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.75079185 0 0 0.12028693 0.1701323 0 0.22536506 0 0 0 0 0 0 0 0 0 0 0 0.78337884 2.5322893 0 0 0 0 1.3820002 0 0 2.1802783 1.4175733 0.78787005 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.071681656 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.45496535 0 0 0 1.0830985 0 0 0 0 0 0 0 0 0 0 0.39941096 0 0 0.21735834 0 0 0 0 0 0 0 0 0 0 0.1286785 0.7160059 0 0 0.089527845 0 0 0 0 0 0
"3300037089_15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.826906 2.143336 0 0 0 0.2756308 2.2719767 0 0 2.9097435 0.5695354 1.5425084 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E3X_26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34145644 2.648296 0 0 0 0 1.0135319 0 0 0.4807014 0.2816123 0.3867353 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E3X_23" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12049014 0 0 0 0 0 2.0429788 0 0 0.7448795 0.5421431 4.4786315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.85104233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PLLH01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.70823604 0.44782436 0 0 0 0 0 0 0 1.6949489 1.6423705 3.1342912 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.100034766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06197203 0 0 0 0 0 0 0 0 0
"3300036884_7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3562115 15.611419 0 0 0 0 5.680144 0 0 0.37411177 1.0316669 1.9524789 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_E2D_26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.265975 0.5055571 0 0 0 0 0.5648247 0 0 3.787406 2.0343232 3.0145125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_E3D_35" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.2094445 6.1873446 0 0 0 0.43720624 5.7308884 0 0 5.8435097 4.0473156 3.7755418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PLLM01" 0 0.14659657 0.10538632 0.15003651 0.20184289 0.11451219 0.12676883 0.14802618 0.66291887 0 0 0 0 0 0 0 0 0 0 0.059613857 0.7650859 0.23341133 0.14722301 0.7794952 0 0 0 0 0 0 0 0 0 0 0 4.9080825 0.64063656 0.13140202 0 0.17837064 0.5451588 0.80505675 0.07604885 0.44196397 0.8920742 0.24545792 0.11363766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.098124765 0 0 0.13849232 0 0 0 0 0 0 0 0 0 0.14698261 0.2881128 0.24640088 1.0931367 0 0.14232819 0.1993221 0.8131654 0 0 0 0 0 0 0 0 0.17461236 0.37162042 1.337612 0 0.23497084 1.0665208 0 0 0 0 0 0 0 0 0 0.44123653 0.911764 0.89410436 0.21954833 0.2319689 0.529287 0 0 0 0 0 0
"3300037225_17" 0 0 0.10958309 0 0.06004935 0.080637075 0.059536114 0 0.291919 0 0 0 0 0 0 0 0 0 0 0 0.29402602 0.21252872 0 0.42378217 0 0 0 0 0 0 0 0 0 0 0 3.3466148 17.568325 0 0 0 0.4203789 30.961763 0 0.19531624 2.909189 3.6209023 2.0820637 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2734453 0 0 0.14560468 0 0 0 0 0 0 0 0 0 0.06701562 0.08137351 0.12070518 0.4683172 0 0.061063863 0.06361232 0.40395153 0 0 0 0 0 0 0 0 0 0.20231263 0.5676041 0 0.12133353 0.58971965 0 0 0 0 0 0 0 0 0 0.16603646 0.26497024 0.4065763 0 0 0.43819824 0 0 0 0 0 0
"PLLP01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.819679 2.4753988 0 0 0 1.0667136 6.282776 0 0 3.960487 2.6095622 4.382024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E2X_21" 0 0 0 0 0 0 0.20378047 0.07600639 0 0 0 0 0 0 0 0 0 0 0 0 0 0.056452624 0 0 0 0 0 0 0 0 0 0 0 0 0 4.6845126 21.474655 0 0 0 0.85416055 13.751735 0 0 1.8213445 2.4775522 6.688804 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55455184 0 0 0 0 0 0.12036432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5342236 0.15321356 0.28744662 0 0 0 0 0 0 0 0 0
"20110800_E2D_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.4431815 7.2889624 0 0 0 0 4.102311 0 0 5.2476277 5.672896 3.811463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E3X_3" 0.6605929 0.66483796 0.5432271 0 0 0.5905781 0.41789266 0.2369232 1.5047855 0 0 0 0 0 0 0 0.063161634 0.28451678 0.06457645 0 2.055289 1.4673067 0.33672217 2.8903642 0 0 0 0 0 0 0 0 0.087043926 0.06591542 0.14161247 2.7340117 2.193886 0.33720315 0.6837033 0.48227787 1.5153681 5.399339 0.37787858 1.1545297 6.4896717 9.687674 15.318963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.26363632 0 0 0 0 0 0 0 0 0 0.13560519 0.16482648 0.5290388 2.241283 0 0.2703596 0.39283785 1.5711116 0 0 0 0 0 0 0 0 0.20930283 0.49128848 4.096945 0 0.9425287 3.9427662 0 0 0 0 0 0 0 0 0 0.5683831 1.398611 5.253298 0.21067564 0.94190276 9.655786 0 0 0 0 0 0
"20120700_P3D_7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.058580622 0 0 0 0 0 3.2955687 0 0 0 0 0 0 0 0 0 4.9897637 9.937002 0 0 0 0.54588693 10.066631 0 0 10.170385 9.542134 7.660234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.376648 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E1X_7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5018152 0 0.10432239 0 0 0.057990655 0 0 0 0 0 0 0 0 0 0 0 0 0.16080727 2.0366452 0 0 0 0 0.6998902 0 0 0.33391896 0.38483763 1.4649364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1435628 2.878453 0 0 0 0 4.82381 0 0 0 0 0 0 0 0 0.064828284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18887629 0 0 0.08213344 0 0 0 0 0 0 0 0
