"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"PMCA01" 0.6083687 0.39968002 0 0 0 0 0.29746348 0 0.4473942 0 0 0 0 0.20873842 0.14666454 1.1411732 0.40978664 0 0 0 0 0 0.6395715 0.81489223 0.35817474 0 0 0.094249494 0 0 0 0 0 0 0 0 0 0 0 0.7533236 0 0 0 0.06824005 0 0.08021325 0.47654542 0.11225172 0 0.0668768 0.19703187 0.9012959 0.7654556 1.2190052 0.27335122 0.26146096 2.1600692 0.6880741 0.3945007
"PMBB01" 0.5995805 1.5972965 1.1333802 2.1757033 1.5032064 0.67125297 2.310275 2.2338977 1.5066918 0.63261074 0.714642 0.25038442 0.90105206 1.3118418 0.1742434 0.9675859 1.0540751 0.6852586 0.658834 0.39603552 1.0850408 0 0.6987048 0.64395434 0.5179157 0.13097447 0.32821625 0.69453645 0.29286334 0.91635364 0.30496985 0 0 0 0 0 0 0.3433178 1.5129101 1.5617819 1.1012406 0.97477245 0 2.1789792 1.2491972 0.8867759 0.70096207 1.3078508 1.3051835 0.604321 0 1.5225116 1.1311874 1.022677 1.0017351 0.9369936 1.108581 1.0252712 1.0003006
"20110800_E3M_2" 1.5792516 0.9914233 0 0.09411643 0 0 2.2346992 1.0666907 1.9967372 0 0 0 0.060961712 0.9744404 1.1816937 5.905677 1.599711 0 0 0 0.68890744 0 1.6849631 0.38059127 0.93793064 1.8583022 0.23213431 0.44611654 0.56724256 0.063076615 0.058222465 0 0 0 0 0 0 0 0.24615534 1.4948944 0.4697027 1.2823006 0.05822332 0.11602058 0 1.4167848 1.1059768 0.9173401 1.3531637 1.2777913 0.4394492 1.9590442 2.4190056 5.087456 2.908525 2.8910792 2.7337153 1.6712993 1.1311706
"Fen.Unlabelled.R3.T3.F4.trimmomatic.metaspades_bin.1_78.97_1.10" 0.08403044 0 0 0 0 0 0 0 0.10137391 0 0 0 0 0 0.8092695 1.6421236 0 0 0 0 0 0 0.13138953 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.637565 0.2056506 0 0 4.2380137 0 0 0 0 0 2.2515664 0 0
"PMZI01" 1.2180648 1.6251678 0.32014462 1.0295941 0 0.12326225 3.1597424 0.28040728 2.4672732 0 0 0.10788602 0.5259919 1.3105748 0.41809028 1.481974 1.67662 0 0 0 4.608324 0.33389375 1.0030297 0.77924085 1.2568841 0.5597418 0.5384451 1.1860136 0.77214146 5.292461 1.6839595 0.17101859 0 0 0 0 0 0 0.6399132 3.092988 0.70314837 2.7689946 0.13029133 0.2009668 0.13388325 1.0386758 2.0482953 2.2154157 2.9745011 2.6803296 0.42222995 2.526517 3.1428528 2.3375845 1.7465799 2.1878138 2.1964946 1.6468518 1.334036
"PMDK01" 0.25994793 0.30217528 0 0 0 0 0.1763826 0 0.070542656 0 0 0 0 0.14789575 0.10492826 0.4255819 0.30753773 0 0 0 0 0 0.08608893 0.10073467 0 0 0 0.19221771 0 0 0 0 0 0 0 0 0 0 0 0.53950846 0 0 0.06843106 0 0 0 0 0 0 0 0.124516815 0.8649439 0.24922483 1.6830786 0.9555517 1.1105294 0.30106658 0.4264502 0.42126867
"20110800_E3M_4" 0.15890124 0.1051668 0 0 0 0.21997474 4.4272237 3.6089094 0.5343909 0 0 0 0 0.79845935 0.49665686 3.1924455 1.2491727 0 0 0 2.3355224 0 0.14351308 0 0.28743985 0.7159986 0 0 0.30093655 0 0 0 0 0 0 0 0 0 0.07169004 3.4811788 0.07058264 0.17390983 0 0.48951495 0.30681863 2.1899464 0.10712068 0.1463032 0.2940211 0.15889852 0.06548838 0.1130928 0.9077617 9.330365 8.6902685 9.063392 0.4609561 0.13673335 1.7351097
"20120700_E3M_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22875184 2.155819 0 0 0 0 0 0 0.2199351 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17371953 0 0 0 0.07643956 0 0 0 0 0 0.62349766 0 0
"20110800_E3M_6" 15.260842 1.9542868 0 0 0 0 0.37605074 0 0.79575264 0 0 0.35449415 1.4246309 0 1.4403591 8.912489 0 0 0 0 0 0 3.774178 0.58460724 0.1278194 0.28811496 0 0.2852384 0 0 0 0 0 0 0 0 0 0 0 0.2636117 0 0 0.16120307 1.6461134 0 0 0.92966646 0.19009192 0 0 4.921974 0.18058477 0 3.4992728 0 0 7.477773 0.4689182 0
"PMCY01" 1.5750438 1.4787697 0 0.20747463 0 0 1.5107616 0.3712479 0.7845491 0 0 0 0.14035296 0.6993823 0.4712552 1.99757 0.7720438 0 0 0 0 0 1.0994781 0.9905803 0.41440123 0.07683904 0 0.6028783 0.2661508 0 0 0 0 0 0 0 0 0 0.4469613 0.5932634 0.463565 0.5826474 0.2060163 0.0872919 0.07414937 0.17918937 0.41467005 0.37200022 0.17280765 0.21369193 0.48221558 0.7452847 0.37234494 2.9877224 1.4081755 0.70887136 1.223673 1.0271509 0.25341752
"PMBI01" 0.33278495 0.75119615 0.26886353 1.3679596 0.1309866 0 1.0620242 1.7304085 2.2317946 0 0 0.108543836 0.4229253 1.0505788 0.3645061 2.4483924 1.4833814 0 0 0 0.55738217 0.12629856 0.6174604 0.31398398 1.1933933 0.19459003 0.29267302 0.36601472 0.41799554 0.1971948 0.12577346 0.116449796 0 0 0 0 0 0 1.4094355 1.5326734 2.2775266 2.8372092 0 1.190139 0.81889087 1.6163393 0.54096997 1.1104003 1.9188198 1.2566959 0.11865033 1.7011621 3.3921182 2.1880994 3.1666758 1.7425854 1.067658 1.1859554 1.2599826
"PMCE01" 0.98886395 0.5656731 0 0.24498425 0.22895479 0 0.6319201 0.5101519 0.4648081 0 0 0 0.07287575 0.32164735 0.246635 1.2982227 0.41928738 0 0 0 0 0 0.535235 0.3922336 0.49249628 0.5734556 0 0.20642132 0.14247993 0 0 0 0 0 0 0 0 0 0.44232303 0.5309294 0.52336866 0.7398702 0 0.34961987 0.13359278 0.27896234 0.19895922 0.2793852 0.2908932 0.32487148 0.20148443 0.7310828 0.4615257 0.9883895 0.662202 0.5161453 0.9939716 0.7506784 0.40566272
"20120700_P3D_44" 0.22302045 0.22575715 0 0.25311095 0.18018521 0.11842684 0 0 0.17644936 0 0 0.08041997 0.16809678 0.14792378 0 0.17797163 0 0.15447402 0.17067334 0 0.22179031 0 0.16543815 0 0 0.14697856 0 0.077260345 0 0 0 0 0 0.17601839 0 0 0 0.1530797 0.26269484 0.65009314 0.19512825 0.13152689 0 0.16974582 0.18643284 0.08494292 0.29056692 0.2625013 0.20363453 0.07456348 0.07870495 0.08908199 0.109948315 0.60359323 0.34798986 0.300113 0.33320215 0.111428335 0
"PMZX01" 3.6456852 0.5300588 0 0 0 0 2.595868 3.2800794 0.4604793 0 0 0 0 0.26360285 1.3145181 9.085065 0.32940868 0 0 0 0.116723835 0 11.3672285 7.4334908 1.0300255 0.6130237 0.091902435 0.13118403 0.14671867 0 0 0 0 0 0 0 0 0 0 0.36246303 0.073117286 0.19737183 0 0.48786655 0.29238528 0.27100277 0.13732153 0.14989792 0.08406211 0.6933909 0.16979228 1.184257 0.49510652 2.8226693 3.3810868 2.7341738 8.763476 8.299512 0.6006854
"PMBV01" 1.0717008 0.9698324 0 0 0 0 0 0 0.08404509 0 0 0 0 0 0 0.73590803 0 0 0 0 0 0 0.22920348 1.4732846 0.64835566 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06250984 0.1364724 0 0 0 0 0 0 0 0.08957398 0 0.08835134 0.110388726 0.57014173 0.1280587 2.2263212 1.1196164 3.1978881 1.5085486 2.5785787 0
"20120700_S1D_45" 0.580274 1.4215535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10359359 0.16723193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06518408 0 0 0 0 0.09928088 0.873236 0
"20120700_E3M_1" 0.46076217 0 0 0 0 0 0 0 0 0 0 0 0 0 0.35409504 2.3524587 0 0 0 0 0 0 0.5288669 0 0 0.11359906 0 0 0 0 0 0 0 0 0 0 0 0 0 0.15565924 0 0 0 0 0 0 0 0 0 0 0.7041698 0 0 0 0 0 1.0955417 0 0
"20120600_E3D_37" 1.5025808 2.222601 0.75411075 0.42705902 1.9231486 0.2125629 2.821754 1.4765693 2.7054174 1.3134989 0 0 0 0.34420618 0.11732315 0.69375265 0.40546837 0.15279512 1.4146519 0 0 0 0.45682752 0.5344245 1.7399198 0 0 2.2881868 0.79633296 0 0 0 0.6902785 0 0 0 0 0 1.3091463 1.4095398 1.0220779 0.45965633 0 0.41883492 0.34979483 0.8340816 0.356763 0.63744986 0.6136175 0.7387941 0.095161974 1.5458604 0.8197222 5.4096017 3.5913048 4.9003205 3.587321 4.762966 0.20758186
"20120600_E2D_49" 3.0628402 2.4436126 0.13691808 0.6893047 2.3101237 0.14169899 0.93228155 0.09476455 4.5448194 0.3693096 0 0.09680968 0.06451032 0.20399348 0 0.18506384 0.27502388 0.42222804 4.4343886 0.08599396 0 0 0.47675288 0.4869792 1.2898257 0 0 4.2924514 2.0941427 0 0 0 0 0 0 0 0 0 1.4642767 0.10643017 0.34087792 0.069579296 0 0.29682243 0.095687814 0.15388635 0.6431282 1.4728276 2.026368 0.7873193 0.19113658 2.5908432 1.0571522 34.017082 4.7167187 2.6724727 7.867317 7.2579474 0.13036223
"3300037361_7" 1.3024615 1.5830786 0.20660083 0.18942732 0.5189787 0.08110185 0.115931615 0 0.333388 0.10833169 0 0.08643207 0.13327403 0.40642008 0 0.31461823 0.14508577 0.10715105 0.4923614 0.20307046 0 0 0.06850377 0.07921843 0.1417461 0 0 0.44516072 0 0 0 0 0.09559491 0.62837857 0.14368197 0 0.06772409 0.0864134 1.7713645 0.16625327 2.5378356 0.48346615 0 0.103835836 0.47507188 0.77101326 0.6500857 1.4491849 1.5233052 0.52560467 0.54876894 0.86879784 0.15372853 14.687973 8.021269 5.3191624 1.157466 2.0354338 0
"PMBZ01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.088967636 1.1508836 0 0 0 0 0 0 0.29968256 0.22971198 0.05849147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.094616644 0 0 0 0 0.32449868 0.09061174 0
"20120600_E2D_19" 0.055923637 0.17938404 0 0 0 0 0.4814697 0.07512214 0 0 0 0.27889097 0 0.12739232 0 0.08122297 0.24811165 0 0 0 0 0 0 0.7349205 0 0 0 0.31521565 0 0 0 0 0 0 0 0 0 0 0.5350614 0.25752357 0.45848668 0.25781146 0 0.392274 0 0 0 0 0 0 0 0.3184948 0.07180815 0.80134046 1.9785603 0.25484636 0.3301268 2.6387634 0.16092037
"20110800_E3S_2" 1.587604 0.3692245 0 0 0 0 0.14486246 0 0.32216188 0 0 0.6513402 1.3485972 0 2.5959547 2.9985917 0 0 0 0 0 0 1.184979 0.12076585 0.08200052 0 0 0.070776805 0 0 0 0 0 0 0 0 0 0 0 0.29253256 0 0 0.22420344 0 0 0 1.6648569 0.34509242 0 0 13.169471 0.061633565 0 0.7557432 0 0 8.38866 0.065059744 0
"PMCF01" 0 0.20989358 0 0 0 0 0 0 0 0 0 0 0 0 0.09475564 1.7075249 0 0 0 0 0 0 1.4110835 0.657081 0.09343947 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06806554 0 0 0 0 0 0 0 0 0 0 0 0.20248516 0 0.1734856 0.059044845 0 1.8712338 0.24740249 0
