"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"3300037104_11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5334144 0 0 0 0 0.69517756 0 0 0.2081752 1.3533659 1.3594307 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E1X_12" 0 0 0 0 0 0 0 0 0 0 0.75079185 0 0 0.12028693 0.1701323 0 0.22536506 0 0 0 0.78337884 2.5322893 0 0 0 0 1.3820002 0 0 2.1802783 1.4175733 0.78787005 0 0 0 0.071681656 0 0 0 0 0 0 0.45496535 0 0 0 1.0830985 0 0 0 0.39941096 0 0 0.21735834 0 0.1286785 0.7160059 0 0 0.089527845
"20120800_E3X_26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34145644 2.648296 0 0 0 0 1.0135319 0 0 0.4807014 0.2816123 0.3867353 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E3X_23" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12049014 0 0 0 0 0 2.0429788 0 0 0.7448795 0.5421431 4.4786315 0 0 0 0.85104233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E1X_20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08034663 0 0 0.46157482 0.35912427 1.6358668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20170700_S34_41" 0 0.060078394 0.17072931 0.06548539 0.29113445 0.08148203 0.105376944 0.07928352 0.09768975 0.15639025 0.39162073 0.08830209 0.12686786 0.13126911 0 0 0.08353272 0.17007054 0.20484826 0.11645986 0.293001 0.84382755 0 0 0.05898327 0 0.95062643 0.06857815 0 1.8101712 1.2882224 1.0723512 0.11153901 0.3600396 3.0290294 2.1569371 0.066494584 0.314143 0.23499809 0.1602746 0.060949765 0.188491 0.099163175 0 0.13774547 0.22539417 0.12485638 0 0.13937056 0.11750596 0.08997544 0 0.055900317 0.072742 0.11323331 0.076528125 0.07859035 0.059004225 0.06347372 0
"20120800_E1D_7" 0 0.058155347 0.06371344 0.065629214 0.12738158 0.08370682 0.07822335 0 0.07176143 0.073794074 0.05838035 0.07159582 0.10660316 0.19059058 0 0 0.07532076 0 0 0 0.109820604 3.2205873 0 0 0 0 1.0120779 0 0 0.31687605 0.5026129 0.58772415 0.05847515 0.25511724 3.674963 2.1786344 0 0.31504557 1.5895387 0.09312043 0.09632151 0.05882503 0 0 0.111491956 0.057719428 0 0 0 0 0 0 0.061247535 0 0.08688847 0.056938574 0.08631816 0.06242129 0 0
"20120800_E3X_28" 0.06800568 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3006759 0 0 0 0 0.2423875 0 0.12600842 0 0 0 0 0 0 0.072842255 0 0.057163216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06354618 0 0 0 0 0 0 0.061085675 0 0 0.1259294 0 0
"20150700_E15_18" 0 0 0 0 0 0 0 0 0 0 0.51926225 0 0 0 0 0 0 0 0 0 0.32575914 0.73813564 0 0 0 0 0.8536995 0 0 0.51694745 0.68977374 0.52284616 0 0.22005123 2.1504695 1.5936692 0 0.1577019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PLNT01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1495837 0 0 0.0559772 0.05774153 1.8824584 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11481263 0 0 0 0 0 0 0 0 0.07333249 0.18991388 0 0 0
"20111000_P3M_44" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34872085 0.34827736 0 0 0 0 0.17597033 0 0 0.07423237 0.22982983 0.52288723 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120500_P26_5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3141919 0.5164879 0 0 0 0 0.31743646 0 0 0.08258675 0.19366227 0.14039205 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_P1M_9" 0 0 0 0 0 0 0 0 0 0 0 0 0.15184161 0 0 0 0 0 0 0 0.058949597 0.6218967 0 0 0 0 0.46714655 0 0 0 0.06308922 0.30428433 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.102087535 0 0 0 0 0 0 0 0
"20120500_P26_8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.240885 0.37504733 0 0 0 0.10087536 0.12813415 0 0 0.09289081 0.1388653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12811126 0.36340716 0 0 0 0 0.09729196 0 0 0 0.081050985 0.55200016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300037104_22" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.283155 6.2204127 0 0 0 0 4.13696 0 0 6.2561455 3.8918512 7.4968166 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300037225_15" 0 0.38305625 0.76416826 0.19478098 0.34873223 0.08541152 0.116457276 0.36432046 0.3861279 0.06037598 0.095622465 0.06334832 0 0.3816162 0.123026855 0 0.3954809 0.095794655 0.16917872 0 0.17329553 0.75935566 0 0.12755926 0.36804777 0.15385495 3.6796772 0.22605109 0.18112092 1.1626637 4.623433 1.1701015 0 0 0 0.19500567 0 0 0.06526245 0.66687375 0.3175634 0.56534636 0.41066492 0 0.5183971 0.52779454 0.44372478 0 0.54534876 0.5734302 0.38543648 0 0.39894775 0.504056 0.28257605 0.7832441 0.5823021 0 0.5105861 0.34662282
