Desulfovibrio_vulgaris_Hildenborough_DVU0403	dsrB_reductive; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_vulgaris
UniRef90_A0A1E7GTR9	dsrB
UniRef90_A0A1E7GU02	dsrB
UniRef90_A0A1E7HIV8	dsrB
UniRef90_A0A1F3C2L0	dsrB
UniRef90_A0A1F4CV03	dsrB
UniRef90_A0A1F4DFB5	dsrB
UniRef90_A0A1F6G7K0	dsrB
UniRef90_A0A1F6G7K7	dsrB
UniRef90_A0A1F6GLN7	dsrB
UniRef90_A0A1F6GLP1	dsrB
UniRef90_A0A1F6T276	dsrB
UniRef90_A0A1F6T2K8	dsrB
UniRef90_A0A1F6TNZ0	dsrB
UniRef90_A0A1F6TR84	dsrB
UniRef90_A0A1F6TRB4	dsrB
UniRef90_A0A1F6UH99	dsrB
UniRef90_A0A1F7LYY8	dsrB
UniRef90_A0A1F7RYR0	dsrB
UniRef90_A0A1F7RYY5	dsrB
UniRef90_A0A1F8MRB7	dsrB
UniRef90_A0A1F8NFJ1	dsrB
UniRef90_A0A1F8ZTT0	dsrB
UniRef90_A0A1F9AH42	dsrB
UniRef90_A0A1F9ALD7	dsrB
UniRef90_A0A1F9AX21	dsrB
UniRef90_A0A1F9D4M2	dsrB
UniRef90_A0A1F9KIK5	dsrB
UniRef90_A0A1F9LID1	dsrB
UniRef90_A0A1F9M994	dsrB
UniRef90_A0A1G0EJ72	dsrB
UniRef90_A0A1G0KUN8	dsrB
UniRef90_A0A1G0KUV0	dsrB
UniRef90_A0A1G0WKI2	dsrB
UniRef90_A0A1G1G1R9	dsrB
UniRef90_A0A1G1H285	dsrB
UniRef90_A0A1G1I455	dsrB
UniRef90_A0A1G1I5S8	dsrB
UniRef90_A0A1G2ZP91	dsrB
UniRef90_A0A1G3HSY0	dsrB
UniRef90_A0A1G3V6N0	dsrB
UniRef90_A0A1G3W177	dsrB
UniRef90_A0A1G5J5A8	dsrB
UniRef90_A0A1G5QDM3	dsrB
UniRef90_A0A1G6HQB8	dsrB
UniRef90_A0A1G6UJR7	dsrB
UniRef90_A0A1G6ULV5	dsrB
UniRef90_A0A1G7W0U9	dsrB
UniRef90_A0A1H6FHA3	dsrB
UniRef90_A0A1H6HY20	dsrB
UniRef90_A0A1I9W3D5	dsrB
UniRef90_A0A1I9W3D6	dsrB
UniRef90_A0A1J1E2J4	dsrB
UniRef90_A0A1J4S813	dsrB
UniRef90_A0A1J4SU92	dsrB
UniRef90_A0A1J4ZRR0	dsrB
UniRef90_A0A1J5BM30	dsrB
UniRef90_A0A1J5HV32	dsrB
UniRef90_A0A1J5MWZ1	dsrB
UniRef90_A0A1J5RLV0	dsrB
UniRef90_A0A1J5TJI3	dsrB
UniRef90_A0A1M5IJW2	dsrB
UniRef90_A0A1M7TJV0	dsrB
UniRef90_A0A1Q4GRJ2	dsrB
UniRef90_A0A1S7LGY5	dsrB
UniRef90_A0A1S7LHP9	dsrB
UniRef90_A0A1T4WJ81	dsrB
UniRef90_A0A1T4WYY8	dsrB
UniRef90_A0A1V1P824	dsrB
UniRef90_A0A1V1WSS2	dsrB
UniRef90_A0A1V3A1F3	dsrB
UniRef90_A0A1V3NCP6	dsrB
UniRef90_A0A1V4QJR0	dsrB
UniRef90_A0A1V5CP16	dsrB
UniRef90_A0A1V5CPD1	dsrB
UniRef90_A0A1V5HUT7	dsrB
UniRef90_A0A1V5WY17	dsrB
UniRef90_A0A1V6CGV0	dsrB
UniRef90_A0A1V6CGW3	dsrB
UniRef90_A0A1V6IBZ6	dsrB
UniRef90_A0A1W1DAB6	dsrB
UniRef90_A0A1W1UGL3	dsrB
UniRef90_A0A1W1UGM8	dsrB
UniRef90_A0A1W1VZA7	dsrB
UniRef90_A0A1W1VZC8	dsrB
UniRef90_A0A1W2A5B5	dsrB
UniRef90_A0A1W9L526	dsrB
UniRef90_A0A1W9M2M4	dsrB
UniRef90_A0A1W9MXQ9	dsrB
UniRef90_A0A1W9PUQ5	dsrB
UniRef90_A0A1W9T0H1	dsrB
UniRef90_A0A1W9W8J7	dsrB
UniRef90_A0A1W9XHD4	dsrB
UniRef90_A0A1X4XWG8	dsrB
UniRef90_A0A1X4XWH2	dsrB
UniRef90_A0A1Y2K643	dsrB
UniRef90_A0A1Y2K710	dsrB
UniRef90_A0A1Y4DE69	dsrB
UniRef90_A0A1Z1NF04	dsrB
UniRef90_A0A1Z4VRR9	dsrB
UniRef90_A0A1Z5HQF0	dsrB
UniRef90_A0A1Z5HQF7	dsrB
UniRef90_A0A212ITF3	dsrB
UniRef90_A0A251X7Q6	dsrB
UniRef90_A0A256XC99	dsrB
UniRef90_A0A256XDV7	dsrB
UniRef90_A0A256XEW3	dsrB
UniRef90_A0A257SRM6	dsrB
UniRef90_A0A257SRP0	dsrB
UniRef90_A0A257SU20	dsrB
UniRef90_A0A258ZHT9	dsrB
UniRef90_A0A2A4N7R2	dsrB
UniRef90_A0A2A4N8C8	dsrB
UniRef90_A0A2A4ZHE8	dsrB
UniRef90_A0A2A5F4H1	dsrB
UniRef90_A0A2D5XIH4	dsrB
UniRef90_A0A2D6CNQ2	dsrB
UniRef90_A0A2D6CRG7	dsrB
UniRef90_A0A2D6ESQ5	dsrB
UniRef90_A0A2D6FZY6	dsrB
UniRef90_A0A2D6JTM1	dsrB
UniRef90_A0A2D6JTM3	dsrB
UniRef90_A0A2D6KBS9	dsrB
UniRef90_A0A2D6TA16	dsrB
UniRef90_A0A2E0WSJ5	dsrB
UniRef90_A0A2E1USG1	dsrB
UniRef90_A0A2E5MYF6	dsrB
UniRef90_A0A2E7ZM49	dsrB
UniRef90_A0A2E7ZM91	dsrB
UniRef90_A0A2E8MFP2	dsrB
UniRef90_A0A2E8Y8I5	dsrB
UniRef90_A0A2E9C5S7	dsrB
UniRef90_A0A2E9Y2S2	dsrB
UniRef90_A0A2G2BBN6	dsrB
UniRef90_A0A2G2BBT0	dsrB
UniRef90_A0A2G2DIR4	dsrB
UniRef90_A0A2G2R3D4	dsrB
UniRef90_A0A2G6FI46	dsrB
UniRef90_A0A2G6FTZ9	dsrB
UniRef90_A0A2G6MKR3	dsrB
UniRef90_A0A2G6MMZ6	dsrB
UniRef90_A0A2G6MYW9	dsrB
UniRef90_A0A2G6N6W8	dsrB
UniRef90_A0A2G6N9V6	dsrB
UniRef90_A0A2G6NG51	dsrB
UniRef90_A0A2G9ZTK5	dsrB
UniRef90_A0A2H0YH48	dsrB
UniRef90_A0A2H4T8Y3	dsrB
UniRef90_A0A2H4T8Z0	dsrB
UniRef90_A0A2H4T8Z8	dsrB
UniRef90_A0A2H4T8Z9	dsrB
UniRef90_A0A2H4T911	dsrB
UniRef90_A0A2H4T975	dsrB
UniRef90_A0A2H4T979	dsrB
UniRef90_A0A2H4T982	dsrB
UniRef90_A0A2H4T998	dsrB
UniRef90_A0A2H4T9A0	dsrB
UniRef90_A0A2H4T9A4	dsrB
UniRef90_A0A2H4T9A7	dsrB
UniRef90_A0A2H4T9A8	dsrB
UniRef90_A0A2H4T9A9	dsrB
UniRef90_A0A2H4T9B2	dsrB
UniRef90_A0A2H4T9B5	dsrB
UniRef90_A0A2H4T9C0	dsrB
UniRef90_A0A2H4T9C4	dsrB
UniRef90_A0A2H4T9C5	dsrB
UniRef90_A0A2H4T9D0	dsrB
UniRef90_A0A2H4T9D1	dsrB
UniRef90_A0A2H4T9D7	dsrB
UniRef90_A0A2H4T9E0	dsrB
UniRef90_A0A2H6IU26	dsrB
UniRef90_A0A2H6K4L3	dsrB
UniRef90_A0A2J6WMC3	dsrB
UniRef90_A0A2J6WSA8	dsrB
UniRef90_A0A2J6WSB7	dsrB
UniRef90_A0A2L1GMB2	dsrB
UniRef90_A0A2M6ZMJ9	dsrB
UniRef90_A0A2M7BMG0	dsrB
UniRef90_A0A2M7C8D9	dsrB
UniRef90_A0A2M7CDU1	dsrB
UniRef90_A0A2M7EHF2	dsrB
UniRef90_A0A2M7F4K5	dsrB
UniRef90_A0A2M7JE24	dsrB
UniRef90_A0A2M7JHB9	dsrB
UniRef90_A0A2M7MZ55	dsrB
UniRef90_A0A2M7P763	dsrB
UniRef90_A0A2M7R6D7	dsrB
UniRef90_A0A2M7T906	dsrB
UniRef90_A0A2M8DKS2	dsrB
UniRef90_A0A2N1UJB7	dsrB
UniRef90_A0A2N2FHR5	dsrB
UniRef90_A0A2N2GIS4	dsrB
UniRef90_A0A2N2HMV7	dsrB
UniRef90_A0A2N2K6G8	dsrB
UniRef90_A0A2N2TI92	dsrB
UniRef90_A0A2N6B376	dsrB
UniRef90_A0A2N6BJL5	dsrB
UniRef90_A0A2N7PWR9	dsrB
UniRef90_A0A2R3ZL48	dsrB
UniRef90_A0A2S1PYL5	dsrB
UniRef90_A0A2S1WHW6	dsrB
UniRef90_A0A2S1WL94	dsrB
UniRef90_A0A2S6UUC7	dsrB
UniRef90_A0A2T9WVB4	dsrB
UniRef90_A0A2T9WWX0	dsrB
UniRef90_A0A2U1RRR4	dsrB
UniRef90_A0A2U3QIN4	dsrB
UniRef90_A0A2V2EYI3	dsrB
UniRef90_A0A2V2F0U7	dsrB
UniRef90_A0A2V2G7N3	dsrB
UniRef90_A0A2Z3R6L5	dsrB
UniRef90_A0A2Z5TTA4	dsrB
UniRef90_A0A2Z6B2Q5	dsrB
UniRef90_A0A2Z6GCU4	dsrB
UniRef90_A0A316ML87	dsrB
UniRef90_A0A317C9P0	dsrB
UniRef90_A0A318CMA0	dsrB
UniRef90_A0A318CXL5	dsrB
UniRef90_A0A347UEM3	dsrB
UniRef90_A0A347ULG6	dsrB
UniRef90_A0A348VWN3	dsrB
UniRef90_A0A349A4C5	dsrB
UniRef90_A0A351B1H4	dsrB
UniRef90_A0A351RTP8	dsrB
UniRef90_A0A351RTP9	dsrB
UniRef90_A0A352PUE4	dsrB
UniRef90_A0A352Z619	dsrB
UniRef90_A0A353HA33	dsrB
UniRef90_A0A354A1Y8	dsrB
UniRef90_A0A354EEG6	dsrB
UniRef90_A0A354SIX7	dsrB
UniRef90_A0A355WGU8	dsrB
UniRef90_A0A356PFJ3	dsrB
UniRef90_A0A356QTR6	dsrB
UniRef90_A0A356U9E4	dsrB
UniRef90_A0A356U9G3	dsrB
UniRef90_A0A357AX67	dsrB
UniRef90_A0A357C4E5	dsrB
UniRef90_A0A357ZFE0	dsrB
UniRef90_A0A357ZH68	dsrB
UniRef90_A0A357ZIZ0	dsrB
UniRef90_A0A358LE16	dsrB
UniRef90_A0A358QSL1	dsrB
UniRef90_A0A363TNS0	dsrB
UniRef90_A0A363TNX0	dsrB
UniRef90_A0A368HIS1	dsrB
UniRef90_A0A369CD95	dsrB
UniRef90_A0A370DRR3	dsrB
UniRef90_A0A370DTX6	dsrB
UniRef90_A0A371QVF9	dsrB
UniRef90_A0A371R0U6	dsrB
UniRef90_A0A381Q807	dsrB
UniRef90_A0A381Q8U2	dsrB
UniRef90_A0A382WXU7	dsrB
UniRef90_A0A3A4JN90	dsrB
UniRef90_A0A3A4JTQ7	dsrB
UniRef90_A0A3A4K5R6	dsrB
UniRef90_A0A3A4NNM4	dsrB
UniRef90_A0A3A4QV73	dsrB
UniRef90_A0A3A4RMA7	dsrB
UniRef90_A0A3A4SXM6	dsrB
UniRef90_A0A3A4W4X9	dsrB
UniRef90_A0A3A4X0H5	dsrB
UniRef90_A0A3A4XMH9	dsrB
UniRef90_A0A3A4ZAU5	dsrB
UniRef90_A0A3A5A6G3	dsrB
UniRef90_A0A3A5ADJ4	dsrB
UniRef90_A0A3A6N2E0	dsrB
UniRef90_A0A3A6N752	dsrB
UniRef90_A0A3A6NMH3	dsrB
UniRef90_A0A3A6NV32	dsrB
UniRef90_A0A3B0SA30	dsrB
UniRef90_A0A3B0SXB9	dsrB
UniRef90_A0A3B0TJY8	dsrB
UniRef90_A0A3B0VI51	dsrB
UniRef90_A0A3B0VYM1	dsrB
UniRef90_A0A3B0XAR3	dsrB
UniRef90_A0A3B0XSE2	dsrB
UniRef90_A0A3B0ZAS9	dsrB
UniRef90_A0A3B0ZCM9	dsrB
UniRef90_A0A3B1A7N0	dsrB
UniRef90_A0A3B1ARF2	dsrB
UniRef90_A0A3B1B3W2	dsrB
UniRef90_A0A3B1BT32	dsrB
UniRef90_A0A3B1C6Q0	dsrB
UniRef90_A0A3B8HWY0	dsrB
UniRef90_A0A3B8I592	dsrB
UniRef90_A0A3C0RVB6	dsrB
UniRef90_A0A3C0TIB1	dsrB
UniRef90_A0A3C0UIC8	dsrB
UniRef90_A0A3C1FXA0	dsrB
UniRef90_A0A3D0LX89	dsrB
UniRef90_A0A3D1BJR2	dsrB
UniRef90_A0A3D1Z043	dsrB
UniRef90_A0A3D6CB55	dsrB
UniRef90_A0A3D8P7K2	dsrB
UniRef90_A0A3G1KXX0	dsrB
UniRef90_A0A3G1KY04	dsrB
UniRef90_A0A3M0XJK0	dsrB
UniRef90_A0A3M0Y9T6	dsrB
UniRef90_A0A3M0YFT6	dsrB
UniRef90_A0A3M1CJ53	dsrB
UniRef90_A0A3M1CLD7	dsrB
UniRef90_A0A3M1EWZ6	dsrB
UniRef90_A0A3M1GWW4	dsrB
UniRef90_A0A3M1GXW5	dsrB
UniRef90_A0A3M1MEI4	dsrB
UniRef90_A0A3M1UGD3	dsrB
UniRef90_A0A3M1WH78	dsrB
UniRef90_A0A3M1Y0U6	dsrB
UniRef90_A0A3M1Y8B3	dsrB
UniRef90_A0A3N0IVV5	dsrB
UniRef90_A0A3N0ZH72	dsrB
UniRef90_A0A3N0ZLE8	dsrB
UniRef90_A0A3N1Y020	dsrB
UniRef90_A0A3N1Y4G4	dsrB
UniRef90_A0A3N5B0U8	dsrB
UniRef90_A0A3N5FYZ7	dsrB
UniRef90_A0A3N5GI97	dsrB
UniRef90_A0A3N5GWM4	dsrB
UniRef90_A0A3N5J6C5	dsrB
UniRef90_A0A3N5P0M6	dsrB
UniRef90_A0A3N5PT93	dsrB
UniRef90_A0A3N5R7J9	dsrB
UniRef90_A0A3N5RVT0	dsrB
UniRef90_A0A3N5S4G1	dsrB
UniRef90_A0A3N5S684	dsrB
UniRef90_A0A3N5TUC1	dsrB
UniRef90_A0A3N5U9I1	dsrB
UniRef90_A0A3N5UIA1	dsrB
UniRef90_A0A3N5ULH1	dsrB
UniRef90_A0A3N5UQP2	dsrB
UniRef90_A0A3N5VMC1	dsrB
UniRef90_A0A3N5VRY7	dsrB
UniRef90_A0A3N5W684	dsrB
UniRef90_A0A3N5XTH2	dsrB
UniRef90_A0A3N5Y1D8	dsrB
UniRef90_A0A3N5Y6Z5	dsrB
UniRef90_A0A3N5YGX7	dsrB
UniRef90_A0A3N5ZCJ2	dsrB
UniRef90_A0A3P1ZUQ6	dsrB
UniRef90_A0A3Q8WS01	dsrB
UniRef90_A0A3R9X1L9	dsrB
UniRef90_A0A3S0NJ45	dsrB
UniRef90_A0A419E1A0	dsrB
UniRef90_A0A419F5S9	dsrB
UniRef90_A0A419G000	dsrB
UniRef90_A0A419GEH9	dsrB
UniRef90_A0A419GUA6	dsrB
UniRef90_A0A419GUB1	dsrB
UniRef90_A0A419GWB6	dsrB
UniRef90_A0A419GWC5	dsrB
UniRef90_A0A419GWD7	dsrB
UniRef90_A0A419GWH0	dsrB
UniRef90_A0A422HJZ4	dsrB
UniRef90_A0A423UN56	dsrB
UniRef90_A0A424XX26	dsrB
UniRef90_A0A426QH22	dsrB
UniRef90_A0A426QH26	dsrB
UniRef90_A0A429GHH3	dsrB
UniRef90_A0A432EU45	dsrB
UniRef90_A0A432FWT6	dsrB
UniRef90_A0A432HIQ0	dsrB
UniRef90_A0A432Q6M6	dsrB
UniRef90_A0A432Q723	dsrB
