"genome" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24"
"20120500_P28_12" 0 0 3.079671 0 0 5.325153 0 0 0 0 0 0.38412744 0 0 0 0 0 1.6668527 0 0 0 1.0564685 10.398603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.98914874 0 0 0 0 2.0216355 0 0 0
"20120700_P1D_3" 0 0 0.14568275 0 0 135.90865 0 0 1.2428474 0.080750264 0 75.91612 0 0 0 0 0 2.9855466 0 0 1.3378984 6.9869227 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31481722 0 0 0 0 0 0 0.61662066 10.499668 0 0 0 0 4.1950645 0 0 0.7531319
"20120700_P3D_119" 0 0 2.7862425 0 0.1982649 4.1891146 0 0 0.2939155 0 0 0.651631 0 0 0.20064367 0 0 1.7171128 0.13021918 0 0 0.4796693 1.2594404 0 0 0 0 0 0 0.12759764 0 0 0 0 0 0 0.20481317 0 0 0.073719665 0 0 0 0 1.250825 0 0.29496542 0 2.2554264 6.89485 0 0 0.8214953
"20120500_P25_12" 0 0.06134749 1.381642 0 0 12.083708 0 0 0.83111376 0 0 1.3805268 0 0 0 0 0 6.4999475 0 0 0 2.509732 3.0566592 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.3710914 0 0 0 0.20385769 6.5351715 0 0 0.5942964
"20120700_P3D_71" 0 0 1.4321072 0 0 3.290022 0 0 0 0 0 0 0 0 0 0 0 1.0116225 0 0 0 0.43673775 0.29297602 0 0 0 0 0 0 0 0 0 0 0 0 0 0.082551844 0 0 0 0 0 0 0 1.8499427 0 0 0 0 0.092783906 0 0 0.0897502
"20110700_P2D_7" 0 0 0.90897614 0 0 20.672503 0 0 0 0 0 0.09989451 0 0 0 0 0 2.0197458 0 0 0 0.39872855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2609465 0 0 0 0 5.2734756 0 0 0.21216698
"PLBY01" 0 0.066792525 15.47895 0 0 0.3681136 0 0 0.12951018 0 0 0.07931071 0 0 0 0 0 3.706816 0 0 0 0.16990168 5.124762 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3596771 0 0 0 0 0.29673502 0 0 0
"20120700_P3D_33" 0 0.20365101 2.7600563 0 0.38313705 1.4596307 0 0.19702874 1.5302607 0 0 0.51172364 0 0 1.357867 0 0 0.8195308 0 0 0 5.2527137 0.112538494 0 0 0 0 0 0 0.09761312 0 0 0 0 0 0 1.253709 0.15182093 0 1.4468269 0 0 0 0.93525434 2.4420402 0 0.41072828 0 3.685172 4.917523 0 0 1.3675776
"20120700_P3D_46" 0 0 0.37919638 0 0 2.7586818 0 0 0.31261116 0 0 0.22586559 0 0 0 0 0 1.3390626 0 0 0 5.582298 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13705012 0 0 0 0 1.0559149 0 0 0 0.4567969 3.6676013 0 0 0
"20110800_P1M_19" 0 0.13425004 5.1134987 0 0 0.2916656 0 0 0.14454432 0 0 0.11434339 0 0 0 0 0 0.2897457 0 0 0 6.3422036 2.302241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.7126602 0 0 0 0 0.6873859 0 0 0.18449967
"20120700_P3D_11" 0 0 0.60785216 0 0.08759749 0.709071 0 0.1433591 0.39331383 0 0 0.23806344 0 0 0.3021452 0 0 0.56920844 0.101011164 0 0 1.3580343 0 0 0 0 0 0 0 0 0 0 0 0.3395997 0 0 0.42421412 0 0 0.39001107 0 0 0 0.85337305 0.71369153 0 0.25775233 0 0.43840075 0.7444917 0 0 0.5567743
"20120700_P3D_83" 0.061161596 0.15114133 0.27977 0 0.12588732 0 0 0.2886406 12.18661 0.0977932 0.24483633 6.1237288 0.08365932 0.10548527 0.18600054 0.062147602 0.11418478 2.3658135 0.16691217 0.10331847 0 5.5848184 0 0.13758501 0.15199627 0.07095342 0.10868594 0 0 0 0 0 0 0.122682564 0.09937217 0.060608193 0.092147894 0.06213688 0.103809506 0.09037565 0.4357029 0.24384761 0.07295503 0 2.6377528 0.10738767 0.1065883 0 0.12887357 6.2896833 0.15049098 0.17584527 4.6712956
"20160700_P15_9" 0 0 1.7246399 0 0 1.1022867 0 0 10.157396 0 0 0.72121805 0 0 1.2856648 0 0 0 0 0 0 4.273117 0 0 0 0 0 0 0 0.15567742 0 0 0 0.09794763 0 0 15.852354 2.6039584 0 1.2261783 0.11033086 0 0 0.52293015 6.904409 0 6.8173 0 0.6115539 3.350356 0 0 1.8399842
"20120700_P3D_143" 0 0.107446425 0.6900166 0 0 4.900617 0 0 0.22941402 0 0 1.3109938 0 0 0 0 0 2.4042134 0 0 0 5.3007665 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.902561 0 0 0 1.6195481 18.079536 0 0 1.7485998
"20111000_P1M_5" 0 0.18568608 1.9149827 0 0.1292985 0.7676568 0 1.0696493 24.005322 0 0 0.49743176 0 0 17.401978 0 0.12828204 0 0 0 0 1.83172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.6275516 0.8422846 0 2.0664427 0 0 0 4.2095537 3.1675534 0 0.16060546 0 0.3221323 1.7016144 0 0 16.867537
"20110800_P2D_9" 0 0.18020755 0.360416 0 0.091085434 1.9390674 0 0 7.085837 0 0 1.4261994 0 0 2.4970562 0 0 1.2100835 0.29786015 0 0 7.907107 0.062554285 0 0 0 0 0 0 0.34129813 0 0 0 0.21713087 0 0 1.4770597 0.20073535 0 0.6905138 0.9907261 0 0 0.7252019 2.3695161 0 1.0347056 0 1.1273795 2.9449122 0 0 1.8640646
"20110800_P1M_9" 0 0.098521106 40.67249 0 0 41.10291 0 0 0.092403844 0 0 0.14286159 0 0 0 0 0 40.902946 0 0 0 15.163142 18.713251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.715722 0 0 0 0 28.136387 0 0 0.064896785
"20120700_P3D_74" 0 0.18499452 1.2605158 0 0 2.3987002 0 1.6096314 3.0468535 0 2.2093682 1.5237257 0 0 0.25688067 0 0.99631697 0.8072029 0.17605777 0 0 0.30079484 0 0 0 0 0 0 0.24442026 0.24936321 0 0 0.15631005 0.18983904 0 0 2.0818307 0.27451748 0 1.1259512 0.061012737 1.0521476 0.081086956 4.248854 1.8352786 0.0631201 0.735648 0 0.084036134 2.0124106 0 0.10817016 2.1773293
"PLZA01" 0 0 13.614453 0 0 20.660246 0 0 0.095571 0 0 0.17724848 0 0 0 0 0 12.760791 0 0 0 1.2245916 1.8242551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7536003 0 0 0 0 16.28725 0 0 0
