tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3
Acetobacter_orientalis_FAN1,Bacteria,rank_2,Acetobacter_orientalis_FAN1,Root,GH23,Bacteria,Acetobacter_orientalis_FAN1,
Acetobacter_oryzifermentans_SLV-7,Bacteria,rank_2,Acetobacter_oryzifermentans_SLV-7,Root,GH23,Bacteria,Acetobacter_oryzifermentans_SLV-7,
Acetobacter_oryzoeni_B6,Bacteria,rank_2,Acetobacter_oryzoeni_B6,Root,GH23,Bacteria,Acetobacter_oryzoeni_B6,
Acetobacter_pasteurianus_386B,Bacteria,rank_2,Acetobacter_pasteurianus_386B,Root,GH23,Bacteria,Acetobacter_pasteurianus_386B,
Acetobacter_pasteurianus_Ab3,Bacteria,rank_2,Acetobacter_pasteurianus_Ab3,Root,GH23,Bacteria,Acetobacter_pasteurianus_Ab3,
Acetobacter_pasteurianus_CICC_22518,Bacteria,rank_2,Acetobacter_pasteurianus_CICC_22518,Root,GH23,Bacteria,Acetobacter_pasteurianus_CICC_22518,
Acetobacter_pasteurianus_dm,Bacteria,rank_2,Acetobacter_pasteurianus_dm,Root,GH23,Bacteria,Acetobacter_pasteurianus_dm,
Acetobacter_pasteurianus_IFO_3283-01,Bacteria,rank_2,Acetobacter_pasteurianus_IFO_3283-01,Root,GH23,Bacteria,Acetobacter_pasteurianus_IFO_3283-01,
Acetobacter_pasteurianus_NBRC_101655,Bacteria,rank_2,Acetobacter_pasteurianus_NBRC_101655,Root,GH23,Bacteria,Acetobacter_pasteurianus_NBRC_101655,
Acetobacter_pasteurianus_subsp._paradoxus_LMG_1591,Bacteria,rank_2,Acetobacter_pasteurianus_subsp._paradoxus_LMG_1591,Root,GH23,Bacteria,Acetobacter_pasteurianus_subsp._paradoxus_LMG_1591,
Acetobacter_pasteurianus_subsp._pasteurianus_SRCM101468,Bacteria,rank_2,Acetobacter_pasteurianus_subsp._pasteurianus_SRCM101468,Root,GH23,Bacteria,Acetobacter_pasteurianus_subsp._pasteurianus_SRCM101468,
Acetobacter_persici_TMW2.1084,Bacteria,rank_2,Acetobacter_persici_TMW2.1084,Root,GH23,Bacteria,Acetobacter_persici_TMW2.1084,
Viruses,GH23,rank_1,Viruses,Root,GH23,Viruses,,
Acetobacter_phage_phiAX1,Viruses,rank_2,Acetobacter_phage_phiAX1,Root,GH23,Viruses,Acetobacter_phage_phiAX1,
Acetobacter_pomorum_BDGP5,Bacteria,rank_2,Acetobacter_pomorum_BDGP5,Root,GH23,Bacteria,Acetobacter_pomorum_BDGP5,
Acetobacter_pomorum_SH,Bacteria,rank_2,Acetobacter_pomorum_SH,Root,GH23,Bacteria,Acetobacter_pomorum_SH,
Acetobacter_senegalensis_108B,Bacteria,rank_2,Acetobacter_senegalensis_108B,Root,GH23,Bacteria,Acetobacter_senegalensis_108B,
Acetobacter_sp._JWB,Bacteria,rank_2,Acetobacter_sp._JWB,Root,GH23,Bacteria,Acetobacter_sp._JWB,
Acetobacter_sp._KACC_21233,Bacteria,rank_2,Acetobacter_sp._KACC_21233,Root,GH23,Bacteria,Acetobacter_sp._KACC_21233,
Acetobacter_tropicalis_BDGP1,Bacteria,rank_2,Acetobacter_tropicalis_BDGP1,Root,GH23,Bacteria,Acetobacter_tropicalis_BDGP1,
Acetobacteraceae_bacterium_868,Bacteria,rank_2,Acetobacteraceae_bacterium_868,Root,GH23,Bacteria,Acetobacteraceae_bacterium_868,
Acetobacteraceae_bacterium_880,Bacteria,rank_2,Acetobacteraceae_bacterium_880,Root,GH23,Bacteria,Acetobacteraceae_bacterium_880,
Acetobacteraceae_bacterium_DM15PD,Bacteria,rank_2,Acetobacteraceae_bacterium_DM15PD,Root,GH23,Bacteria,Acetobacteraceae_bacterium_DM15PD,
Acetobacteraceae_bacterium_PAMC_26569,Bacteria,rank_2,Acetobacteraceae_bacterium_PAMC_26569,Root,GH23,Bacteria,Acetobacteraceae_bacterium_PAMC_26569,
Acetomicrobium_mobile_DSM_13181,Bacteria,rank_2,Acetomicrobium_mobile_DSM_13181,Root,GH23,Bacteria,Acetomicrobium_mobile_DSM_13181,
Achromobacter_deleyi_As-55,Bacteria,rank_2,Achromobacter_deleyi_As-55,Root,GH23,Bacteria,Achromobacter_deleyi_As-55,
Achromobacter_deleyi_FDAARGOS_1050,Bacteria,rank_2,Achromobacter_deleyi_FDAARGOS_1050,Root,GH23,Bacteria,Achromobacter_deleyi_FDAARGOS_1050,
Achromobacter_deleyi_SMAs-55,Bacteria,rank_2,Achromobacter_deleyi_SMAs-55,Root,GH23,Bacteria,Achromobacter_deleyi_SMAs-55,
Achromobacter_denitrificans_FDAARGOS_786,Bacteria,rank_2,Achromobacter_denitrificans_FDAARGOS_786,Root,GH23,Bacteria,Achromobacter_denitrificans_FDAARGOS_786,
Achromobacter_denitrificans_FDAARGOS_787,Bacteria,rank_2,Achromobacter_denitrificans_FDAARGOS_787,Root,GH23,Bacteria,Achromobacter_denitrificans_FDAARGOS_787,
Achromobacter_denitrificans_PheN1,Bacteria,rank_2,Achromobacter_denitrificans_PheN1,Root,GH23,Bacteria,Achromobacter_denitrificans_PheN1,
Achromobacter_denitrificans_USDA-ARS-USMARC-56712,Bacteria,rank_2,Achromobacter_denitrificans_USDA-ARS-USMARC-56712,Root,GH23,Bacteria,Achromobacter_denitrificans_USDA-ARS-USMARC-56712,
Achromobacter_insolitus_AB2,Bacteria,rank_2,Achromobacter_insolitus_AB2,Root,GH23,Bacteria,Achromobacter_insolitus_AB2,
Achromobacter_insolitus_DSM_23807,Bacteria,rank_2,Achromobacter_insolitus_DSM_23807,Root,GH23,Bacteria,Achromobacter_insolitus_DSM_23807,
Achromobacter_insolitus_FDAARGOS_88,Bacteria,rank_2,Achromobacter_insolitus_FDAARGOS_88,Root,GH23,Bacteria,Achromobacter_insolitus_FDAARGOS_88,
Achromobacter_insolitus_NCTC13520,Bacteria,rank_2,Achromobacter_insolitus_NCTC13520,Root,GH23,Bacteria,Achromobacter_insolitus_NCTC13520,
Achromobacter_mucicolens_IA,Bacteria,rank_2,Achromobacter_mucicolens_IA,Root,GH23,Bacteria,Achromobacter_mucicolens_IA,
Achromobacter_pestifer_FDAARGOS_790,Bacteria,rank_2,Achromobacter_pestifer_FDAARGOS_790,Root,GH23,Bacteria,Achromobacter_pestifer_FDAARGOS_790,
Achromobacter_phage_AXY1,Viruses,rank_2,Achromobacter_phage_AXY1,Root,GH23,Viruses,Achromobacter_phage_AXY1,
Achromobacter_phage_JWF,Viruses,rank_2,Achromobacter_phage_JWF,Root,GH23,Viruses,Achromobacter_phage_JWF,
Achromobacter_phage_phiAxp-2,Viruses,rank_2,Achromobacter_phage_phiAxp-2,Root,GH23,Viruses,Achromobacter_phage_phiAxp-2,
Achromobacter_phage_vB_AchrS_AchV4,Viruses,rank_2,Achromobacter_phage_vB_AchrS_AchV4,Root,GH23,Viruses,Achromobacter_phage_vB_AchrS_AchV4,
Achromobacter_ruhlandii_SCCH3:ACH_33-1365,Bacteria,rank_2,Achromobacter_ruhlandii_SCCH3:ACH_33-1365,Root,GH23,Bacteria,Achromobacter_ruhlandii_SCCH3:ACH_33-1365,
Achromobacter_sp._77,Bacteria,rank_2,Achromobacter_sp._77,Root,GH23,Bacteria,Achromobacter_sp._77,
Achromobacter_sp._AONIH1,Bacteria,rank_2,Achromobacter_sp._AONIH1,Root,GH23,Bacteria,Achromobacter_sp._AONIH1,
Achromobacter_sp._B7,Bacteria,rank_2,Achromobacter_sp._B7,Root,GH23,Bacteria,Achromobacter_sp._B7,
Achromobacter_sp._MFA1_R4,Bacteria,rank_2,Achromobacter_sp._MFA1_R4,Root,GH23,Bacteria,Achromobacter_sp._MFA1_R4,
Achromobacter_spanius_DSM_23806,Bacteria,rank_2,Achromobacter_spanius_DSM_23806,Root,GH23,Bacteria,Achromobacter_spanius_DSM_23806,
Achromobacter_spanius_MYb73,Bacteria,rank_2,Achromobacter_spanius_MYb73,Root,GH23,Bacteria,Achromobacter_spanius_MYb73,
Achromobacter_spanius_NCTC13519,Bacteria,rank_2,Achromobacter_spanius_NCTC13519,Root,GH23,Bacteria,Achromobacter_spanius_NCTC13519,
Achromobacter_spanius_UQ283,Bacteria,rank_2,Achromobacter_spanius_UQ283,Root,GH23,Bacteria,Achromobacter_spanius_UQ283,
Achromobacter_xylosoxidans_A8,Bacteria,rank_2,Achromobacter_xylosoxidans_A8,Root,GH23,Bacteria,Achromobacter_xylosoxidans_A8,
Achromobacter_xylosoxidans_AX1,Bacteria,rank_2,Achromobacter_xylosoxidans_AX1,Root,GH23,Bacteria,Achromobacter_xylosoxidans_AX1,
Achromobacter_xylosoxidans_C54,Bacteria,rank_2,Achromobacter_xylosoxidans_C54,Root,GH23,Bacteria,Achromobacter_xylosoxidans_C54,
Achromobacter_xylosoxidans_FDAARGOS_147,Bacteria,rank_2,Achromobacter_xylosoxidans_FDAARGOS_147,Root,GH23,Bacteria,Achromobacter_xylosoxidans_FDAARGOS_147,
Achromobacter_xylosoxidans_FDAARGOS_162,Bacteria,rank_2,Achromobacter_xylosoxidans_FDAARGOS_162,Root,GH23,Bacteria,Achromobacter_xylosoxidans_FDAARGOS_162,
Achromobacter_xylosoxidans_FDAARGOS_789,Bacteria,rank_2,Achromobacter_xylosoxidans_FDAARGOS_789,Root,GH23,Bacteria,Achromobacter_xylosoxidans_FDAARGOS_789,
Achromobacter_xylosoxidans_FDAARGOS_984,Bacteria,rank_2,Achromobacter_xylosoxidans_FDAARGOS_984,Root,GH23,Bacteria,Achromobacter_xylosoxidans_FDAARGOS_984,
Achromobacter_xylosoxidans_GD03,Bacteria,rank_2,Achromobacter_xylosoxidans_GD03,Root,GH23,Bacteria,Achromobacter_xylosoxidans_GD03,
Achromobacter_xylosoxidans_GN008,Bacteria,rank_2,Achromobacter_xylosoxidans_GN008,Root,GH23,Bacteria,Achromobacter_xylosoxidans_GN008,
Achromobacter_xylosoxidans_NBRC_15126_=_ATCC_27061,Bacteria,rank_2,Achromobacter_xylosoxidans_NBRC_15126_=_ATCC_27061,Root,GH23,Bacteria,Achromobacter_xylosoxidans_NBRC_15126_=_ATCC_27061,
Achromobacter_xylosoxidans_NH44784-1996,Bacteria,rank_2,Achromobacter_xylosoxidans_NH44784-1996,Root,GH23,Bacteria,Achromobacter_xylosoxidans_NH44784-1996,
Acididesulfobacillus_acetoxydans,Bacteria,rank_2,Acididesulfobacillus_acetoxydans,Root,GH23,Bacteria,Acididesulfobacillus_acetoxydans,
Acidiferrobacter_sp._SPIII_3,Bacteria,rank_2,Acidiferrobacter_sp._SPIII_3,Root,GH23,Bacteria,Acidiferrobacter_sp._SPIII_3,
Acidiferrobacter_thiooxydans_ZJ,Bacteria,rank_2,Acidiferrobacter_thiooxydans_ZJ,Root,GH23,Bacteria,Acidiferrobacter_thiooxydans_ZJ,
Acidihalobacter_ferrooxydans_V8,Bacteria,rank_2,Acidihalobacter_ferrooxydans_V8,Root,GH23,Bacteria,Acidihalobacter_ferrooxydans_V8,
Acidihalobacter_prosperus_F5,Bacteria,rank_2,Acidihalobacter_prosperus_F5,Root,GH23,Bacteria,Acidihalobacter_prosperus_F5,
Acidihalobacter_prosperus_V6,Bacteria,rank_2,Acidihalobacter_prosperus_V6,Root,GH23,Bacteria,Acidihalobacter_prosperus_V6,
Acidiphilium_cryptum_JF-5,Bacteria,rank_2,Acidiphilium_cryptum_JF-5,Root,GH23,Bacteria,Acidiphilium_cryptum_JF-5,
Acidiphilium_multivorum_AIU301,Bacteria,rank_2,Acidiphilium_multivorum_AIU301,Root,GH23,Bacteria,Acidiphilium_multivorum_AIU301,
Acidiphilium_multivorum_JZ-6,Bacteria,rank_2,Acidiphilium_multivorum_JZ-6,Root,GH23,Bacteria,Acidiphilium_multivorum_JZ-6,
Acidipropionibacterium_acidipropionici_ATCC_4875,Bacteria,rank_2,Acidipropionibacterium_acidipropionici_ATCC_4875,Root,GH23,Bacteria,Acidipropionibacterium_acidipropionici_ATCC_4875,
Acidipropionibacterium_acidipropionici_ATCC_55737,Bacteria,rank_2,Acidipropionibacterium_acidipropionici_ATCC_55737,Root,GH23,Bacteria,Acidipropionibacterium_acidipropionici_ATCC_55737,
Acidipropionibacterium_jensenii_NCTC13652,Bacteria,rank_2,Acidipropionibacterium_jensenii_NCTC13652,Root,GH23,Bacteria,Acidipropionibacterium_jensenii_NCTC13652,
Acidisarcina_polymorpha_SBC82,Bacteria,rank_2,Acidisarcina_polymorpha_SBC82,Root,GH23,Bacteria,Acidisarcina_polymorpha_SBC82,
Acidithiobacillus_caldus_ATCC_51756,Bacteria,rank_2,Acidithiobacillus_caldus_ATCC_51756,Root,GH23,Bacteria,Acidithiobacillus_caldus_ATCC_51756,
Acidithiobacillus_caldus_MTH-04,Bacteria,rank_2,Acidithiobacillus_caldus_MTH-04,Root,GH23,Bacteria,Acidithiobacillus_caldus_MTH-04,
Acidithiobacillus_caldus_SM-1,Bacteria,rank_2,Acidithiobacillus_caldus_SM-1,Root,GH23,Bacteria,Acidithiobacillus_caldus_SM-1,
Acidithiobacillus_ferridurans_JCM_18981,Bacteria,rank_2,Acidithiobacillus_ferridurans_JCM_18981,Root,GH23,Bacteria,Acidithiobacillus_ferridurans_JCM_18981,
Acidithiobacillus_ferriphilus_GT2,Bacteria,rank_2,Acidithiobacillus_ferriphilus_GT2,Root,GH23,Bacteria,Acidithiobacillus_ferriphilus_GT2,
Acidithiobacillus_ferrivorans,Bacteria,rank_2,Acidithiobacillus_ferrivorans,Root,GH23,Bacteria,Acidithiobacillus_ferrivorans,
Acidithiobacillus_ferrivorans_SS3,Bacteria,rank_2,Acidithiobacillus_ferrivorans_SS3,Root,GH23,Bacteria,Acidithiobacillus_ferrivorans_SS3,
Acidithiobacillus_ferrivorans_XJFY6S-08,Bacteria,rank_2,Acidithiobacillus_ferrivorans_XJFY6S-08,Root,GH23,Bacteria,Acidithiobacillus_ferrivorans_XJFY6S-08,
Acidithiobacillus_ferrooxidans_ATCC_23270,Bacteria,rank_2,Acidithiobacillus_ferrooxidans_ATCC_23270,Root,GH23,Bacteria,Acidithiobacillus_ferrooxidans_ATCC_23270,
Acidithiobacillus_ferrooxidans_ATCC_53993,Bacteria,rank_2,Acidithiobacillus_ferrooxidans_ATCC_53993,Root,GH23,Bacteria,Acidithiobacillus_ferrooxidans_ATCC_53993,
Acidithiobacillus_sp._AMD_consortium,Bacteria,rank_2,Acidithiobacillus_sp._AMD_consortium,Root,GH23,Bacteria,Acidithiobacillus_sp._AMD_consortium,
Acidithiobacillus_sp._YTS05,Bacteria,rank_2,Acidithiobacillus_sp._YTS05,Root,GH23,Bacteria,Acidithiobacillus_sp._YTS05,
Acidithiobacillus_thiooxidans_ATCC_19377,Bacteria,rank_2,Acidithiobacillus_thiooxidans_ATCC_19377,Root,GH23,Bacteria,Acidithiobacillus_thiooxidans_ATCC_19377,
Acidobacteria_bacterium_DSM_100886,Bacteria,rank_2,Acidobacteria_bacterium_DSM_100886,Root,GH23,Bacteria,Acidobacteria_bacterium_DSM_100886,
Acidobacteria_bacterium_Mor1,Bacteria,rank_2,Acidobacteria_bacterium_Mor1,Root,GH23,Bacteria,Acidobacteria_bacterium_Mor1,
Acidobacterium_capsulatum_ATCC_51196,Bacteria,rank_2,Acidobacterium_capsulatum_ATCC_51196,Root,GH23,Bacteria,Acidobacterium_capsulatum_ATCC_51196,
Acidothermus_cellulolyticus_11B,Bacteria,rank_2,Acidothermus_cellulolyticus_11B,Root,GH23,Bacteria,Acidothermus_cellulolyticus_11B,
Acidovorax_antarcticus_16-35-5,Bacteria,rank_2,Acidovorax_antarcticus_16-35-5,Root,GH23,Bacteria,Acidovorax_antarcticus_16-35-5,
Acidovorax_avenae_subsp._avenae_AA78_5,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_AA78_5,Root,GH23,Bacteria,Acidovorax_avenae_subsp._avenae_AA78_5,
Acidovorax_avenae_subsp._avenae_AA81_1,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_AA81_1,Root,GH23,Bacteria,Acidovorax_avenae_subsp._avenae_AA81_1,
Acidovorax_avenae_subsp._avenae_AA99_2,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_AA99_2,Root,GH23,Bacteria,Acidovorax_avenae_subsp._avenae_AA99_2,
Acidovorax_avenae_subsp._avenae_COLB1,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_COLB1,Root,GH23,Bacteria,Acidovorax_avenae_subsp._avenae_COLB1,
Acidovorax_avenae_subsp._avenae_INDB2,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_INDB2,Root,GH23,Bacteria,Acidovorax_avenae_subsp._avenae_INDB2,
Acidovorax_avenae_subsp._avenae_INV,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_INV,Root,GH23,Bacteria,Acidovorax_avenae_subsp._avenae_INV,
Acidovorax_avenae_subsp._avenae_KL3,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_KL3,Root,GH23,Bacteria,Acidovorax_avenae_subsp._avenae_KL3,
Acidovorax_avenae_subsp._avenae_MD5,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_MD5,Root,GH23,Bacteria,Acidovorax_avenae_subsp._avenae_MD5,
Acidovorax_avenae_subsp._avenae_MDB1,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_MDB1,Root,GH23,Bacteria,Acidovorax_avenae_subsp._avenae_MDB1,
Acidovorax_avenae_subsp._avenae_QH1,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_QH1,Root,GH23,Bacteria,Acidovorax_avenae_subsp._avenae_QH1,
Acidovorax_avenae_subsp._avenae_Sa2,Bacteria,rank_2,Acidovorax_avenae_subsp._avenae_Sa2,Root,GH23,Bacteria,Acidovorax_avenae_subsp._avenae_Sa2,
Acidovorax_carolinensis_NA3,Bacteria,rank_2,Acidovorax_carolinensis_NA3,Root,GH23,Bacteria,Acidovorax_carolinensis_NA3,
Acidovorax_cattleyae_CAT98_1,Bacteria,rank_2,Acidovorax_cattleyae_CAT98_1,Root,GH23,Bacteria,Acidovorax_cattleyae_CAT98_1,
Acidovorax_citrulli,Bacteria,rank_2,Acidovorax_citrulli,Root,GH23,Bacteria,Acidovorax_citrulli,
Acidovorax_citrulli_AAC00-1,Bacteria,rank_2,Acidovorax_citrulli_AAC00-1,Root,GH23,Bacteria,Acidovorax_citrulli_AAC00-1,
Acidovorax_citrulli_HPP21-3-3B,Bacteria,rank_2,Acidovorax_citrulli_HPP21-3-3B,Root,GH23,Bacteria,Acidovorax_citrulli_HPP21-3-3B,
Acidovorax_citrulli_NWB_SC107,Bacteria,rank_2,Acidovorax_citrulli_NWB_SC107,Root,GH23,Bacteria,Acidovorax_citrulli_NWB_SC107,
Acidovorax_ebreus_LS1,Bacteria,rank_2,Acidovorax_ebreus_LS1,Root,GH23,Bacteria,Acidovorax_ebreus_LS1,
Acidovorax_ebreus_TPSY,Bacteria,rank_2,Acidovorax_ebreus_TPSY,Root,GH23,Bacteria,Acidovorax_ebreus_TPSY,
Acidovorax_monticola_KACC_19171,Bacteria,rank_2,Acidovorax_monticola_KACC_19171,Root,GH23,Bacteria,Acidovorax_monticola_KACC_19171,
Acidovorax_radicis_79,Bacteria,rank_2,Acidovorax_radicis_79,Root,GH23,Bacteria,Acidovorax_radicis_79,
Acidovorax_sp._1608163,Bacteria,rank_2,Acidovorax_sp._1608163,Root,GH23,Bacteria,Acidovorax_sp._1608163,
Acidovorax_sp._HDW3,Bacteria,rank_2,Acidovorax_sp._HDW3,Root,GH23,Bacteria,Acidovorax_sp._HDW3,
Acidovorax_sp._JMULE5,Bacteria,rank_2,Acidovorax_sp._JMULE5,Root,GH23,Bacteria,Acidovorax_sp._JMULE5,
Acidovorax_sp._JS42,Bacteria,rank_2,Acidovorax_sp._JS42,Root,GH23,Bacteria,Acidovorax_sp._JS42,
Acidovorax_sp._KKS102,Bacteria,rank_2,Acidovorax_sp._KKS102,Root,GH23,Bacteria,Acidovorax_sp._KKS102,
Acidovorax_sp._NA2,Bacteria,rank_2,Acidovorax_sp._NA2,Root,GH23,Bacteria,Acidovorax_sp._NA2,
Acidovorax_sp._P3,Bacteria,rank_2,Acidovorax_sp._P3,Root,GH23,Bacteria,Acidovorax_sp._P3,
Acidovorax_sp._P4,Bacteria,rank_2,Acidovorax_sp._P4,Root,GH23,Bacteria,Acidovorax_sp._P4,
Acidovorax_sp._RAC01,Bacteria,rank_2,Acidovorax_sp._RAC01,Root,GH23,Bacteria,Acidovorax_sp._RAC01,
Acidovorax_sp._YS12,Bacteria,rank_2,Acidovorax_sp._YS12,Root,GH23,Bacteria,Acidovorax_sp._YS12,
Acinetobacter_baumannii,Bacteria,rank_2,Acinetobacter_baumannii,Root,GH23,Bacteria,Acinetobacter_baumannii,
Acinetobacter_baumannii_10042,Bacteria,rank_2,Acinetobacter_baumannii_10042,Root,GH23,Bacteria,Acinetobacter_baumannii_10042,
Acinetobacter_baumannii_10324,Bacteria,rank_2,Acinetobacter_baumannii_10324,Root,GH23,Bacteria,Acinetobacter_baumannii_10324,
Acinetobacter_baumannii_11510,Bacteria,rank_2,Acinetobacter_baumannii_11510,Root,GH23,Bacteria,Acinetobacter_baumannii_11510,
Acinetobacter_baumannii_11A1213CRGN008,Bacteria,rank_2,Acinetobacter_baumannii_11A1213CRGN008,Root,GH23,Bacteria,Acinetobacter_baumannii_11A1213CRGN008,
Acinetobacter_baumannii_11W359501,Bacteria,rank_2,Acinetobacter_baumannii_11W359501,Root,GH23,Bacteria,Acinetobacter_baumannii_11W359501,
Acinetobacter_baumannii_15A5,Bacteria,rank_2,Acinetobacter_baumannii_15A5,Root,GH23,Bacteria,Acinetobacter_baumannii_15A5,
Acinetobacter_baumannii_1656-2,Bacteria,rank_2,Acinetobacter_baumannii_1656-2,Root,GH23,Bacteria,Acinetobacter_baumannii_1656-2,
Acinetobacter_baumannii_2008S11-069,Bacteria,rank_2,Acinetobacter_baumannii_2008S11-069,Root,GH23,Bacteria,Acinetobacter_baumannii_2008S11-069,
Acinetobacter_baumannii_3027STDY5784958,Bacteria,rank_2,Acinetobacter_baumannii_3027STDY5784958,Root,GH23,Bacteria,Acinetobacter_baumannii_3027STDY5784958,
Acinetobacter_baumannii_3207,Bacteria,rank_2,Acinetobacter_baumannii_3207,Root,GH23,Bacteria,Acinetobacter_baumannii_3207,
Acinetobacter_baumannii_5457,Bacteria,rank_2,Acinetobacter_baumannii_5457,Root,GH23,Bacteria,Acinetobacter_baumannii_5457,
Acinetobacter_baumannii_6200,Bacteria,rank_2,Acinetobacter_baumannii_6200,Root,GH23,Bacteria,Acinetobacter_baumannii_6200,
Acinetobacter_baumannii_6507,Bacteria,rank_2,Acinetobacter_baumannii_6507,Root,GH23,Bacteria,Acinetobacter_baumannii_6507,
Acinetobacter_baumannii_9201,Bacteria,rank_2,Acinetobacter_baumannii_9201,Root,GH23,Bacteria,Acinetobacter_baumannii_9201,
Acinetobacter_baumannii_A118,Bacteria,rank_2,Acinetobacter_baumannii_A118,Root,GH23,Bacteria,Acinetobacter_baumannii_A118,
Acinetobacter_baumannii_A1296,Bacteria,rank_2,Acinetobacter_baumannii_A1296,Root,GH23,Bacteria,Acinetobacter_baumannii_A1296,
Acinetobacter_baumannii_A1429,Bacteria,rank_2,Acinetobacter_baumannii_A1429,Root,GH23,Bacteria,Acinetobacter_baumannii_A1429,
Acinetobacter_baumannii_A388,Bacteria,rank_2,Acinetobacter_baumannii_A388,Root,GH23,Bacteria,Acinetobacter_baumannii_A388,
Acinetobacter_baumannii_A85,Bacteria,rank_2,Acinetobacter_baumannii_A85,Root,GH23,Bacteria,Acinetobacter_baumannii_A85,
Acinetobacter_baumannii_Ab-B004d-c,Bacteria,rank_2,Acinetobacter_baumannii_Ab-B004d-c,Root,GH23,Bacteria,Acinetobacter_baumannii_Ab-B004d-c,
Acinetobacter_baumannii_Ab-C63,Bacteria,rank_2,Acinetobacter_baumannii_Ab-C63,Root,GH23,Bacteria,Acinetobacter_baumannii_Ab-C63,
Acinetobacter_baumannii_AB030,Bacteria,rank_2,Acinetobacter_baumannii_AB030,Root,GH23,Bacteria,Acinetobacter_baumannii_AB030,
Acinetobacter_baumannii_AB031,Bacteria,rank_2,Acinetobacter_baumannii_AB031,Root,GH23,Bacteria,Acinetobacter_baumannii_AB031,
Acinetobacter_baumannii_AB046,Bacteria,rank_2,Acinetobacter_baumannii_AB046,Root,GH23,Bacteria,Acinetobacter_baumannii_AB046,
Acinetobacter_baumannii_AB047,Bacteria,rank_2,Acinetobacter_baumannii_AB047,Root,GH23,Bacteria,Acinetobacter_baumannii_AB047,
Acinetobacter_baumannii_AB17,Bacteria,rank_2,Acinetobacter_baumannii_AB17,Root,GH23,Bacteria,Acinetobacter_baumannii_AB17,
Acinetobacter_baumannii_AB307-0294,Bacteria,rank_2,Acinetobacter_baumannii_AB307-0294,Root,GH23,Bacteria,Acinetobacter_baumannii_AB307-0294,
Acinetobacter_baumannii_ab736,Bacteria,rank_2,Acinetobacter_baumannii_ab736,Root,GH23,Bacteria,Acinetobacter_baumannii_ab736,
