Desulfovibrio_vulgaris_Hildenborough_DVU0402	dsrA_reductive; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_vulgaris
UniRef90_A0A076KWM5	dsrA
UniRef90_A0A076L180	dsrA
UniRef90_A0A076L1P1	dsrA
UniRef90_A0A076L1R3	dsrA
UniRef90_A0A076L1X5	dsrA
UniRef90_A0A076L3Y4	dsrA
UniRef90_A0A076L420	dsrA
UniRef90_A0A076L431	dsrA
UniRef90_A0A090ABE4	dsrA
UniRef90_A0A098AXF8	dsrA
UniRef90_A0A0A0UWR9	dsrA
UniRef90_A0A0A0UX11	dsrA
UniRef90_A0A0A0UX94	dsrA
UniRef90_A0A0A0UXC2	dsrA
UniRef90_A0A0A0UXD3	dsrA
UniRef90_A0A0A0UXV1	dsrA
UniRef90_A0A0A0UY30	dsrA
UniRef90_A0A0A0UYR4	dsrA
UniRef90_A0A0A0UZA5	dsrA
UniRef90_A0A0A0UZC2	dsrA
UniRef90_A0A0A0V174	dsrA
UniRef90_A0A0A0V1R9	dsrA
UniRef90_A0A0A0V1T0	dsrA
UniRef90_A0A0A0V3E6	dsrA
UniRef90_A0A0A0V3G6	dsrA
UniRef90_A0A0A0V3T4	dsrA
UniRef90_A0A0A0V3V3	dsrA
UniRef90_A0A0A0V416	dsrA
UniRef90_A0A0A0V421	dsrA
UniRef90_A0A0A0V436	dsrA
UniRef90_A0A0A1GZK2	dsrA
UniRef90_A0A0A7DTW9	dsrA
UniRef90_A0A0A7P8Q9	dsrA
UniRef90_A0A0A8B420	dsrA
UniRef90_A0A0B0HAV0	dsrA
UniRef90_A0A0D2IYI2	dsrA
UniRef90_A0A0E3GJE8	dsrA
UniRef90_A0A0E3GJG8	dsrA
UniRef90_A0A0E3GJJ2	dsrA
UniRef90_A0A0E3GJJ8	dsrA
UniRef90_A0A0E3GJK0	dsrA
UniRef90_A0A0E3GJM6	dsrA
UniRef90_A0A0E3GJN2	dsrA
UniRef90_A0A0E3GJN4	dsrA
UniRef90_A0A0E3GJR4	dsrA
UniRef90_A0A0E3GJS0	dsrA
UniRef90_A0A0E3GJS6	dsrA
UniRef90_A0A0E3JE13	dsrA
UniRef90_A0A0E3JE18	dsrA
UniRef90_A0A0E3JE42	dsrA
UniRef90_A0A0E3JE52	dsrA
UniRef90_A0A0E3JE72	dsrA
UniRef90_A0A0E3JE86	dsrA
UniRef90_A0A0E3JE87	dsrA
UniRef90_A0A0E3JEA2	dsrA
UniRef90_A0A0E3JEA3	dsrA
UniRef90_A0A0E3JEB1	dsrA
UniRef90_A0A0E3JEB7	dsrA
UniRef90_A0A0E3JEB8	dsrA
UniRef90_A0A0E3JEB9	dsrA
UniRef90_A0A0E3JFT0	dsrA
UniRef90_A0A0E3JFT7	dsrA
UniRef90_A0A0E3JFV1	dsrA
UniRef90_A0A0E3JFV2	dsrA
UniRef90_A0A0E3JFV3	dsrA
UniRef90_A0A0E3JFW1	dsrA
UniRef90_A0A0E3JFW7	dsrA
UniRef90_A0A0E3JFX0	dsrA
UniRef90_A0A0E3JFX5	dsrA
UniRef90_A0A0E3JIV6	dsrA
UniRef90_A0A0E3JIX0	dsrA
UniRef90_A0A0E3JIX9	dsrA
UniRef90_A0A0E3JIY0	dsrA
UniRef90_A0A0E3JJ39	dsrA
UniRef90_A0A0E3JJ66	dsrA
UniRef90_A0A0E3JJ93	dsrA
UniRef90_A0A0E3JJ96	dsrA
UniRef90_A0A0E3JJ97	dsrA
UniRef90_A0A0E3JJA5	dsrA
UniRef90_A0A0E3JJA9	dsrA
UniRef90_A0A0E3JJB8	dsrA
UniRef90_A0A0E3LX86	dsrA
UniRef90_A0A0E3LX93	dsrA
UniRef90_A0A0E3LX99	dsrA
UniRef90_A0A0E3LXB1	dsrA
UniRef90_A0A0E3LXB8	dsrA
UniRef90_A0A0E3LXD1	dsrA
UniRef90_A0A0E3LXD8	dsrA
UniRef90_A0A0E3LYC1	dsrA
UniRef90_A0A0E3LYD0	dsrA
UniRef90_A0A0E3LYH1	dsrA
UniRef90_A0A0E3LYH4	dsrA
UniRef90_A0A0E3LZ07	dsrA
UniRef90_A0A0E3LZ56	dsrA
UniRef90_A0A0E3LZ59	dsrA
UniRef90_A0A0E3LZ95	dsrA
UniRef90_A0A0E3LZA2	dsrA
UniRef90_A0A0E3LZA4	dsrA
UniRef90_A0A0E4GBI4	dsrA
UniRef90_A0A0F2LAT6	dsrA
UniRef90_A0A0F2N4A8	dsrA
UniRef90_A0A0F2PX37	dsrA
UniRef90_A0A0F2RAQ1	dsrA
UniRef90_A0A0F9HXD7	dsrA
UniRef90_A0A0F9J3U6	dsrA
UniRef90_A0A0J1FWL4	dsrA
UniRef90_A0A0J1IA39	dsrA
UniRef90_A0A0M1JAC0	dsrA
UniRef90_A0A0M2U4R2	dsrA
UniRef90_A0A0M3PRU8	dsrA
UniRef90_A0A0M4ATD0	dsrA
UniRef90_A0A0M4B6V0	dsrA
UniRef90_A0A0M4FL82	dsrA
UniRef90_A0A0N0D011	dsrA
UniRef90_A0A0P0UT21	dsrA
UniRef90_A0A0S7XNB0	dsrA
UniRef90_A0A0S7YQ72	dsrA
UniRef90_A0A0S7ZS76	dsrA
UniRef90_A0A0S8A3G3	dsrA
UniRef90_A0A0S8A854	dsrA
UniRef90_A0A0S8AC09	dsrA
UniRef90_A0A0S8BDH6	dsrA
UniRef90_A0A0S8BNJ8	dsrA
UniRef90_A0A0S8BZK7	dsrA
UniRef90_A0A0S8C0Q6	dsrA
UniRef90_A0A0S8DVL6	dsrA
UniRef90_A0A0S8EAQ7	dsrA
UniRef90_A0A0S8GEZ7	dsrA
UniRef90_A0A0S8HRB2	dsrA
UniRef90_A0A0T6A8Y6	dsrA
UniRef90_A0A0U5I6G4	dsrA
UniRef90_A0A0X8XA92	dsrA
UniRef90_A0A101EAR8	dsrA
UniRef90_A0A101EBF0	dsrA
UniRef90_A0A101VXA4	dsrA
UniRef90_A0A101WTE8	dsrA
UniRef90_A0A101X6Y5	dsrA
UniRef90_A0A101XEF0	dsrA
UniRef90_A0A101XLN5	dsrA
UniRef90_A0A109CR76	dsrA
UniRef90_A0A124IHB7	dsrA
UniRef90_A0A124IU45	dsrA
UniRef90_A0A124IV63	dsrA
UniRef90_A0A127AX07	dsrA
UniRef90_A0A139BV09	dsrA
UniRef90_A0A142D9V1	dsrA
UniRef90_A0A142D9V4	dsrA
UniRef90_A0A142D9V5	dsrA
UniRef90_A0A142D9V9	dsrA
UniRef90_A0A142D9W2	dsrA
UniRef90_A0A142DVJ3	dsrA
UniRef90_A0A151AXN2	dsrA
UniRef90_A0A191KRT4	dsrA
UniRef90_A0A1A7TD76	dsrA
UniRef90_A0A1A7TDX0	dsrA
UniRef90_A0A1A7TEG6	dsrA
UniRef90_A0A1B1PZ50	dsrA
UniRef90_A0A1B4V076	dsrA
UniRef90_A0A1B4VDP7	dsrA
UniRef90_A0A1B4XCN9	dsrA
UniRef90_A0A1B4XFL7	dsrA
UniRef90_A0A1B7LD38	dsrA
UniRef90_A0A1D2SLS5	dsrA
UniRef90_A0A1D7XBR3	dsrA
UniRef90_A0A1D9C980	dsrA
UniRef90_A0A1D9C9G2	dsrA
UniRef90_A0A1D9C9H6	dsrA
UniRef90_A0A1E2UUM8	dsrA
UniRef90_A0A1E4II67	dsrA
UniRef90_A0A1E4L505	dsrA
UniRef90_A0A1E5A1E6	dsrA
UniRef90_A0A1E5Q9M2	dsrA
UniRef90_A0A1E7GTR9	dsrA
UniRef90_A0A1E7HBL6	dsrA
UniRef90_A0A1F3C7M2	dsrA
UniRef90_A0A1F3X2A5	dsrA
UniRef90_A0A1F4CUY8	dsrA
UniRef90_A0A1F4DFX1	dsrA
UniRef90_A0A1F6G7K0	dsrA
UniRef90_A0A1F6GLP1	dsrA
UniRef90_A0A1F6TAK7	dsrA
UniRef90_A0A1F6THR2	dsrA
UniRef90_A0A1F6TRB4	dsrA
UniRef90_A0A1F7L776	dsrA
UniRef90_A0A1F7LYX3	dsrA
UniRef90_A0A1F7NMT2	dsrA
UniRef90_A0A1F7RYY5	dsrA
UniRef90_A0A1F8MR98	dsrA
UniRef90_A0A1F8NFP8	dsrA
UniRef90_A0A1F9AF39	dsrA
UniRef90_A0A1F9AK27	dsrA
UniRef90_A0A1F9AX21	dsrA
UniRef90_A0A1F9D4M2	dsrA
UniRef90_A0A1F9KIK1	dsrA
UniRef90_A0A1F9LID1	dsrA
UniRef90_A0A1F9LT55	dsrA
UniRef90_A0A1F9MNR5	dsrA
UniRef90_A0A1G0BFB1	dsrA
UniRef90_A0A1G0CT95	dsrA
UniRef90_A0A1G0D0A4	dsrA
UniRef90_A0A1G0F0C8	dsrA
UniRef90_A0A1G0KUN8	dsrA
UniRef90_A0A1G0KW72	dsrA
UniRef90_A0A1G0NM14	dsrA
UniRef90_A0A1G0WKE8	dsrA
UniRef90_A0A1G1FCY1	dsrA
UniRef90_A0A1G1H3W8	dsrA
UniRef90_A0A1G1HA26	dsrA
UniRef90_A0A1G1HJF4	dsrA
UniRef90_A0A1G1I5S8	dsrA
UniRef90_A0A1G2ZPC6	dsrA
UniRef90_A0A1G3HSD6	dsrA
UniRef90_A0A1G3XZ43	dsrA
UniRef90_A0A1G5J5F6	dsrA
UniRef90_A0A1G5QCX8	dsrA
UniRef90_A0A1G5QFF7	dsrA
UniRef90_A0A1G6HQB8	dsrA
UniRef90_A0A1G6UJR7	dsrA
UniRef90_A0A1G7W0H6	dsrA
UniRef90_A0A1H6FFF6	dsrA
UniRef90_A0A1H6HWR9	dsrA
UniRef90_A0A1I2VKW9	dsrA
UniRef90_A0A1J1DW48	dsrA
UniRef90_A0A1J4YSW8	dsrA
UniRef90_A0A1J4ZRR0	dsrA
UniRef90_A0A1J5BNF9	dsrA
UniRef90_A0A1J5DBB7	dsrA
UniRef90_A0A1J5NFI0	dsrA
UniRef90_A0A1J5NQK7	dsrA
UniRef90_A0A1J5R4X7	dsrA
UniRef90_A0A1J5T995	dsrA
UniRef90_A0A1J5TLC9	dsrA
UniRef90_A0A1L6K374	dsrA
UniRef90_A0A1M3GUQ0	dsrA
UniRef90_A0A1M5IKX3	dsrA
UniRef90_A0A1M7TJR7	dsrA
UniRef90_A0A1M7Y2M9	dsrA
UniRef90_A0A1Q4GRJ7	dsrA
UniRef90_A0A1S7LGY5	dsrA
UniRef90_A0A1T2KXM7	dsrA
UniRef90_A0A1T4WK15	dsrA
UniRef90_A0A1V1X4H6	dsrA
UniRef90_A0A1V3A1J7	dsrA
UniRef90_A0A1V3NC61	dsrA
UniRef90_A0A1V4S002	dsrA
UniRef90_A0A1V5CPD1	dsrA
UniRef90_A0A1V5FM69	dsrA
UniRef90_A0A1V5HUT7	dsrA
UniRef90_A0A1V5WXU9	dsrA
UniRef90_A0A1V6CGV0	dsrA
UniRef90_A0A1V6IBZ6	dsrA
UniRef90_A0A1W1BMF1	dsrA
UniRef90_A0A1W1HB69	dsrA
UniRef90_A0A1W1UGM8	dsrA
UniRef90_A0A1W1VZ99	dsrA
UniRef90_A0A1W1VZC8	dsrA
UniRef90_A0A1W1XAS7	dsrA
UniRef90_A0A1W9L9X7	dsrA
UniRef90_A0A1W9M0K3	dsrA
UniRef90_A0A1W9MXP0	dsrA
UniRef90_A0A1W9N6Q9	dsrA
UniRef90_A0A1W9T005	dsrA
UniRef90_A0A1W9WPH0	dsrA
UniRef90_A0A1W9XH93	dsrA
UniRef90_A0A1X4XWG8	dsrA
UniRef90_A0A1X7P0A1	dsrA
UniRef90_A0A1Y2K710	dsrA
UniRef90_A0A1Y4D5Q6	dsrA
UniRef90_A0A1Z5HQF7	dsrA
UniRef90_A0A1Z9RMB1	dsrA
UniRef90_A0A212IU12	dsrA
UniRef90_A0A222SFF0	dsrA
UniRef90_A0A251X8N2	dsrA
UniRef90_A0A256XDV7	dsrA
UniRef90_A0A257SRP0	dsrA
UniRef90_A0A257SU87	dsrA
UniRef90_A0A258SPV4	dsrA
UniRef90_A0A258TPH0	dsrA
UniRef90_A0A258ZHS7	dsrA
UniRef90_A0A259EBA7	dsrA
UniRef90_A0A286T3R7	dsrA
UniRef90_A0A286T5M0	dsrA
UniRef90_A0A2A4N7R2	dsrA
UniRef90_A0A2A4X175	dsrA
UniRef90_A0A2A4ZHP7	dsrA
UniRef90_A0A2A5F2V9	dsrA
UniRef90_A0A2D5XII7	dsrA
UniRef90_A0A2D6ESQ5	dsrA
UniRef90_A0A2D6FZX9	dsrA
UniRef90_A0A2D6JTM3	dsrA
UniRef90_A0A2D6KBT4	dsrA
UniRef90_A0A2D6PAM4	dsrA
UniRef90_A0A2D6T9Z0	dsrA
UniRef90_A0A2D9XTT5	dsrA
UniRef90_A0A2E2WSN9	dsrA
UniRef90_A0A2E5IAK0	dsrA
UniRef90_A0A2E5MYF2	dsrA
UniRef90_A0A2E6W2F8	dsrA
UniRef90_A0A2E7TDH2	dsrA
UniRef90_A0A2E7WRH7	dsrA
UniRef90_A0A2E7ZM91	dsrA
UniRef90_A0A2E8MGW3	dsrA
UniRef90_A0A2E8Y8G1	dsrA
UniRef90_A0A2E9C5U0	dsrA
UniRef90_A0A2G2BBT0	dsrA
UniRef90_A0A2G2R3H4	dsrA
UniRef90_A0A2G6FI97	dsrA
UniRef90_A0A2G6FPJ9	dsrA
UniRef90_A0A2G6FTX4	dsrA
UniRef90_A0A2G6HLL9	dsrA
UniRef90_A0A2G6MCP1	dsrA
UniRef90_A0A2G6MM46	dsrA
UniRef90_A0A2G6N0B7	dsrA
UniRef90_A0A2G6N9Z7	dsrA
UniRef90_A0A2G6NET9	dsrA
UniRef90_A0A2G6NKJ3	dsrA
UniRef90_A0A2H0FT54	dsrA
UniRef90_A0A2H4T8W1	dsrA
UniRef90_A0A2H4T8W2	dsrA
UniRef90_A0A2H4T8X1	dsrA
UniRef90_A0A2H4T8X3	dsrA
UniRef90_A0A2H4T8X9	dsrA
UniRef90_A0A2H4T975	dsrA
UniRef90_A0A2H4T979	dsrA
UniRef90_A0A2H4T981	dsrA
UniRef90_A0A2H4T982	dsrA
UniRef90_A0A2H4T986	dsrA
UniRef90_A0A2H4T989	dsrA
UniRef90_A0A2H4T990	dsrA
UniRef90_A0A2H4T992	dsrA
UniRef90_A0A2H4T996	dsrA
UniRef90_A0A2H4T997	dsrA
UniRef90_A0A2H4T999	dsrA
UniRef90_A0A2H4T9A0	dsrA
UniRef90_A0A2H4T9A8	dsrA
UniRef90_A0A2H4T9B0	dsrA
UniRef90_A0A2H4T9B1	dsrA
UniRef90_A0A2H4T9B6	dsrA
UniRef90_A0A2H4T9B9	dsrA
UniRef90_A0A2H4T9C3	dsrA
UniRef90_A0A2H4T9C7	dsrA
UniRef90_A0A2H4Y9D0	dsrA
UniRef90_A0A2H4Y9D2	dsrA
UniRef90_A0A2H4Y9D7	dsrA
UniRef90_A0A2H6G3W0	dsrA
UniRef90_A0A2H6IU08	dsrA
UniRef90_A0A2H6K4L3	dsrA
UniRef90_A0A2J6WK86	dsrA
UniRef90_A0A2J6WSA8	dsrA
UniRef90_A0A2K8UCY6	dsrA
UniRef90_A0A2L1GMB6	dsrA
UniRef90_A0A2M6YL66	dsrA
UniRef90_A0A2M6ZAS1	dsrA
UniRef90_A0A2M6ZMI9	dsrA
UniRef90_A0A2M7BME3	dsrA
UniRef90_A0A2M7CDU1	dsrA
UniRef90_A0A2M7EHE8	dsrA
UniRef90_A0A2M7F5N9	dsrA
UniRef90_A0A2M7F8Z5	dsrA
UniRef90_A0A2M7JE15	dsrA
UniRef90_A0A2M7MS77	dsrA
UniRef90_A0A2M7MZ81	dsrA
UniRef90_A0A2M7P6D6	dsrA
UniRef90_A0A2M7PI88	dsrA
UniRef90_A0A2M7R5M9	dsrA
UniRef90_A0A2M7T911	dsrA
UniRef90_A0A2M8DHW8	dsrA
UniRef90_A0A2M8DKW0	dsrA
UniRef90_A0A2M8GDJ5	dsrA
UniRef90_A0A2N2AHT2	dsrA
UniRef90_A0A2N2FHQ7	dsrA
UniRef90_A0A2N2GIR4	dsrA
UniRef90_A0A2N2HMY0	dsrA
UniRef90_A0A2N2J8H6	dsrA
UniRef90_A0A2N2K6K6	dsrA
UniRef90_A0A2N2KHF4	dsrA
UniRef90_A0A2N2T3F7	dsrA
UniRef90_A0A2N2T942	dsrA
UniRef90_A0A2N2TYP8	dsrA
UniRef90_A0A2N2U0F7	dsrA
UniRef90_A0A2N6B3B8	dsrA
UniRef90_A0A2N6BJF8	dsrA
UniRef90_A0A2N6BLU5	dsrA
UniRef90_A0A2N6C5H1	dsrA
UniRef90_A0A2N6C8C2	dsrA
UniRef90_A0A2N6G8L0	dsrA
UniRef90_A0A2N6GB30	dsrA
UniRef90_A0A2T0ATB0	dsrA
UniRef90_A0A2T0ATM3	dsrA
UniRef90_A0A2T9WWX0	dsrA
UniRef90_A0A2U1RRQ8	dsrA
UniRef90_A0A2U3QIP7	dsrA
UniRef90_A0A2V2EYI3	dsrA
UniRef90_A0A2Z5TTA4	dsrA
UniRef90_A0A2Z5U056	dsrA
UniRef90_A0A2Z6B2Z2	dsrA
UniRef90_A0A316MLQ5	dsrA
UniRef90_A0A318CMI2	dsrA
UniRef90_A0A327JNR9	dsrA
UniRef90_A0A347ULG6	dsrA
UniRef90_A0A348G4B6	dsrA
UniRef90_A0A351RTP8	dsrA
UniRef90_A0A352Z619	dsrA
UniRef90_A0A353XZA5	dsrA
UniRef90_A0A354A1Y7	dsrA
UniRef90_A0A354EEG7	dsrA
UniRef90_A0A355W484	dsrA
UniRef90_A0A355WGM9	dsrA
UniRef90_A0A356PFJ3	dsrA
UniRef90_A0A356U9G3	dsrA
UniRef90_A0A357AWK2	dsrA
UniRef90_A0A357C4E5	dsrA
UniRef90_A0A357ZFE0	dsrA
UniRef90_A0A357ZJ02	dsrA
UniRef90_A0A358LC66	dsrA
UniRef90_A0A358QSK8	dsrA
UniRef90_A0A359B4F0	dsrA
UniRef90_A0A363TNS0	dsrA
UniRef90_A0A368CBK5	dsrA
UniRef90_A0A368HIS1	dsrA
UniRef90_A0A369CEG9	dsrA
UniRef90_A0A370DRT0	dsrA
UniRef90_A0A370DTE4	dsrA
UniRef90_A0A370E150	dsrA
UniRef90_A0A371QVF9	dsrA
UniRef90_A0A371R0U6	dsrA
UniRef90_A0A381Q8U2	dsrA
UniRef90_A0A381UBV7	dsrA
UniRef90_A0A382GZK3	dsrA
UniRef90_A0A382RDV7	dsrA
UniRef90_A0A3A4JTQ7	dsrA
UniRef90_A0A3A4K382	dsrA
UniRef90_A0A3A4NHE7	dsrA
UniRef90_A0A3A4RMA4	dsrA
UniRef90_A0A3A4SUK8	dsrA
UniRef90_A0A3A4WDS2	dsrA
UniRef90_A0A3A4X0W0	dsrA
UniRef90_A0A3A4XVX4	dsrA
UniRef90_A0A3A4ZLN1	dsrA
UniRef90_A0A3A5ADP2	dsrA
UniRef90_A0A3A5AG61	dsrA
UniRef90_A0A3A6MWA0	dsrA
UniRef90_A0A3A6NIH2	dsrA
UniRef90_A0A3A6NRW5	dsrA
UniRef90_A0A3B0SXB9	dsrA
UniRef90_A0A3B0U3J1	dsrA
UniRef90_A0A3B0X6X8	dsrA
UniRef90_A0A3B0XZV6	dsrA
UniRef90_A0A3B0YAG2	dsrA
UniRef90_A0A3B0ZUY9	dsrA
UniRef90_A0A3B0ZV66	dsrA
UniRef90_A0A3B1AF51	dsrA
UniRef90_A0A3B1BQU7	dsrA
UniRef90_A0A3B1BX45	dsrA
UniRef90_A0A3C0RVV8	dsrA
UniRef90_A0A3C1FXQ0	dsrA
UniRef90_A0A3C1MYC5	dsrA
UniRef90_A0A3C1Z9F6	dsrA
UniRef90_A0A3D0LWN6	dsrA
UniRef90_A0A3D0LYA7	dsrA
UniRef90_A0A3D1BJA3	dsrA
UniRef90_A0A3D1Z041	dsrA
UniRef90_A0A3D3CMI5	dsrA
UniRef90_A0A3D4DRQ2	dsrA
UniRef90_A0A3D4DYH9	dsrA
UniRef90_A0A3D5Y143	dsrA
UniRef90_A0A3D8P870	dsrA
UniRef90_A0A3G1KXX0	dsrA
UniRef90_A0A3M0XN40	dsrA
UniRef90_A0A3M0YAX8	dsrA
UniRef90_A0A3M1CJ53	dsrA
UniRef90_A0A3M1CMV7	dsrA
UniRef90_A0A3M1EYE3	dsrA
UniRef90_A0A3M1GXW5	dsrA
UniRef90_A0A3M1UGN6	dsrA
UniRef90_A0A3M1WJ50	dsrA
UniRef90_A0A3M1Y0U6	dsrA
UniRef90_A0A3N0IVV5	dsrA
UniRef90_A0A3N0ZHT1	dsrA
UniRef90_A0A3N0ZLI2	dsrA
UniRef90_A0A3N1Y4G4	dsrA
UniRef90_A0A3N5BEJ5	dsrA
UniRef90_A0A3N5FUH4	dsrA
UniRef90_A0A3N5HIC4	dsrA
UniRef90_A0A3N5IM61	dsrA
UniRef90_A0A3N5JDB9	dsrA
UniRef90_A0A3N5MRW7	dsrA
UniRef90_A0A3N5NXZ1	dsrA
UniRef90_A0A3N5R396	dsrA
UniRef90_A0A3N5RGH6	dsrA
UniRef90_A0A3N5RVT0	dsrA
UniRef90_A0A3N5S684	dsrA
UniRef90_A0A3N5SPN6	dsrA
UniRef90_A0A3N5TNF2	dsrA
UniRef90_A0A3N5ULH1	dsrA
UniRef90_A0A3N5UU72	dsrA
UniRef90_A0A3N5W684	dsrA
UniRef90_A0A3N5XTH2	dsrA
UniRef90_A0A3N5Y6Z5	dsrA
UniRef90_A0A3N5Z5A4	dsrA
UniRef90_A0A3P1ZUS3	dsrA
UniRef90_A0A3Q8WRR2	dsrA
UniRef90_A0A3Q8WRR5	dsrA
UniRef90_A0A3Q8WS01	dsrA
UniRef90_A0A3S0NJ45	dsrA
UniRef90_A0A3S8Z5J0	dsrA
UniRef90_A0A3S8Z5L5	dsrA
UniRef90_A0A3S8Z5M1	dsrA
UniRef90_A0A3S8Z5M3	dsrA
UniRef90_A0A3S8Z5M8	dsrA
UniRef90_A0A401FYK1	dsrA
UniRef90_A0A411JM80	dsrA
UniRef90_A0A419E1A0	dsrA
UniRef90_A0A419F5M2	dsrA
