"Site__","Year__","Interval","Start_Date","End_Date","Sampling_Date","samplingdate_mean_AirTemperature","samplingdate_min_AirTemperature","samplingdate_max_AirTemperature","n_AirTemperature","median_AirTemperature","mean_AirTemperature","sd_AirTemperature","n_WTD","median_WTD","mean_WTD","sd_WTD"
"Palsa Autochamber Site",2014,"14d",2014-07-05,2014-07-19,2014-07-19,16.9,10.5,21.9,15,18.6,18.0866666666667,2.60133665275227,0,NA,NA,NA
"Palsa Autochamber Site",2015,"14d",2015-07-01,2015-07-15,2015-07-15,13.09,6.22,19.13,14,9.885,10.3064285714286,2.46856734266552,0,NA,NA,NA
"Palsa Autochamber Site",2016,"14d",2016-07-10,2016-07-24,2016-07-24,16.31,12.93,20.76,15,10.7,12.562,3.60747477963662,0,NA,NA,NA
"Palsa Autochamber Site",2017,"14d",2017-07-06,2017-07-20,2017-07-20,8.51,3.53,12.82,15,9.55,9.91066666666667,2.18876829899071,0,NA,NA,NA
"Sphagnum Autochamber Site",2011,"14d",2011-06-28,2011-07-12,2011-07-12,9.2,5.7,11.8,15,12.9,12.9933333333333,2.81715831155811,7,-6,-6.33333333333333,2.27710017021324
"Sphagnum Autochamber Site",2012,"14d",2012-07-06,2012-07-20,2012-07-20,8.6,6.3,11.7,15,9.9,10.32,1.55664474339615,10,-6.33333333333333,-5.36666666666667,4.47613700294526
"Sphagnum Autochamber Site",2013,"14d",2013-07-11,2013-07-25,2013-07-25,16.2,9.1,22.2,15,9.8,10.5333333333333,2.50247496538546,10,-4.33333333333333,-5,2.1096486162275
"Sphagnum Autochamber Site",2014,"14d",2014-07-02,2014-07-16,2014-07-16,16.1,12.9,19.1,15,18.6,17.2,4.01212448176061,3,-12.3333333333333,-6.44444444444444,13.1923097688402
"Sphagnum Autochamber Site",2015,"14d",2015-06-30,2015-07-14,2015-07-14,13.69,6.26,19.07,14,9.11,9.84214285714286,2.51557358062936,9,-4,-4.36296296296296,0.963708756783518
"Sphagnum Autochamber Site",2016,"14d",2016-07-12,2016-07-26,2016-07-26,17.1,11.86,23.3,15,13.4,13.1893333333333,3.66502868175615,4,-1.875,-1.8125,0.239356776939085
"Sphagnum Autochamber Site",2017,"14d",2017-07-07,2017-07-21,2017-07-21,10.39,3.21,16.87,15,10.11,10.118,2.06561025227067,2,-4.5,-4.5,1.64991582276861
"Eriophorum Autochamber Site",2011,"21d",2011-06-21,2011-07-12,2011-07-12,9.2,5.7,11.8,22,11.5,12.0545454545455,2.84483278824496,11,10,10.8181818181818,1.25045446283996
"Eriophorum Autochamber Site",2012,"21d",2012-06-29,2012-07-20,2012-07-20,8.6,6.3,11.7,22,10.35,10.5681818181818,2.00199575748477,13,10,9.38461538461539,7.50875557309001
"Eriophorum Autochamber Site",2013,"21d",2013-07-03,2013-07-24,2013-07-24,16.2,9.5,22.9,22,9.8,10.4181818181818,2.06873238473556,13,11,11.5,2.16986942771526
"Eriophorum Autochamber Site",2014,"21d",2014-06-26,2014-07-17,2014-07-17,13.2,10.9,15.6,22,15.15,15.2090909090909,4.5391323998891,5,9,8.9,0.894427190999916
"Eriophorum Autochamber Site",2015,"21d",2015-06-24,2015-07-15,2015-07-15,13.09,6.22,19.13,21,8.75,9.57,2.47990927253398,13,10,10.4615384615385,0.691060129485201
"Eriophorum Autochamber Site",2016,"21d",2016-07-02,2016-07-23,2016-07-23,18.52,12.7,25.84,22,10.52,11.7713636363636,3.31849692804918,6,10.75,13.3333333333333,4.60072458061409
"Eriophorum Autochamber Site",2017,"21d",2017-07-03,2017-07-24,2017-07-24,13.58,6.88,19.4,22,9.83,9.90272727272727,2.48371109012719,3,10,10.3333333333333,0.577350269189626
"Palsa Autochamber Site",2011,"21d",2011-06-21,2011-07-12,2011-07-12,9.2,5.7,11.8,22,11.5,12.0545454545455,2.84483278824496,0,NA,NA,NA
"Palsa Autochamber Site",2012,"21d",2012-06-29,2012-07-20,2012-07-20,8.6,6.3,11.7,22,10.35,10.5681818181818,2.00199575748477,0,NA,NA,NA
"Palsa Autochamber Site",2013,"21d",2013-07-04,2013-07-25,2013-07-25,16.2,9.1,22.2,22,9.8,10.6545454545455,2.40767172116198,0,NA,NA,NA
"Palsa Autochamber Site",2014,"21d",2014-06-28,2014-07-19,2014-07-19,16.9,10.5,21.9,22,16.45,15.8954545454545,3.99433852593145,0,NA,NA,NA
"Palsa Autochamber Site",2015,"21d",2015-06-24,2015-07-15,2015-07-15,13.09,6.22,19.13,21,8.75,9.57,2.47990927253398,0,NA,NA,NA
"Palsa Autochamber Site",2016,"21d",2016-07-03,2016-07-24,2016-07-24,16.31,12.93,20.76,22,10.52,11.7781818181818,3.32808344155302,0,NA,NA,NA
"Palsa Autochamber Site",2017,"21d",2017-06-29,2017-07-20,2017-07-20,8.51,3.53,12.82,22,9.175,10.0190909090909,2.80555216378576,0,NA,NA,NA
"Sphagnum Autochamber Site",2011,"21d",2011-06-21,2011-07-12,2011-07-12,9.2,5.7,11.8,22,11.5,12.0545454545455,2.84483278824496,11,-3.66666666666667,-4.54545454545455,3.29822419315043
"Sphagnum Autochamber Site",2012,"21d",2012-06-29,2012-07-20,2012-07-20,8.6,6.3,11.7,22,10.35,10.5681818181818,2.00199575748477,13,-6.66666666666667,-5.58974358974359,3.97248370426195
"Sphagnum Autochamber Site",2013,"21d",2013-07-04,2013-07-25,2013-07-25,16.2,9.1,22.2,22,9.8,10.6545454545455,2.40767172116198,13,-5,-4.91025641025641,1.89249906381818
"Sphagnum Autochamber Site",2014,"21d",2014-06-25,2014-07-16,2014-07-16,16.1,12.9,19.1,22,15.15,14.9363636363636,4.83612846480928,5,-11.8333333333333,-8.16666666666667,9.65228815704684
"Sphagnum Autochamber Site",2015,"21d",2015-06-23,2015-07-14,2015-07-14,13.69,6.26,19.07,21,8.75,9.49857142857143,2.39355235103452,14,-4.25,-4.08452380952381,2.04741304654195
"Sphagnum Autochamber Site",2016,"21d",2016-07-05,2016-07-26,2016-07-26,17.1,11.86,23.3,22,10.52,12.0490909090909,3.53283092891443,5,-1.75,-1.75,0.25
"Sphagnum Autochamber Site",2017,"21d",2017-06-30,2017-07-21,2017-07-21,10.39,3.21,16.87,22,9.83,10.0913636363636,2.7931042560709,4,-3.83333333333333,-4.16666666666667,1.10554159678513
"Eriophorum Autochamber Site",2011,"28d",2011-06-14,2011-07-12,2011-07-12,9.2,5.7,11.8,29,12,12.0103448275862,2.56519907715146,15,11,11.3333333333333,1.54303349962092
"Eriophorum Autochamber Site",2012,"28d",2012-06-22,2012-07-20,2012-07-20,8.6,6.3,11.7,29,10.2,10.1689655172414,2.30559930979776,16,12.5,10,6.84835746730557
"Eriophorum Autochamber Site",2013,"28d",2013-06-26,2013-07-24,2013-07-24,16.2,9.5,22.9,29,9.9,11.1068965517241,2.44320209012721,17,11,11.2058823529412,1.96101714303933
"Eriophorum Autochamber Site",2014,"28d",2014-06-19,2014-07-17,2014-07-17,13.2,10.9,15.6,29,12.1,12.851724137931,5.84506022758016,8,9.25,9.125,0.790569415042095
"Eriophorum Autochamber Site",2015,"28d",2015-06-17,2015-07-15,2015-07-15,13.09,6.22,19.13,28,8.73,9.285,2.42582173935166,19,10,10.3157894736842,1.06992375527664
"Eriophorum Autochamber Site",2016,"28d",2016-06-25,2016-07-23,2016-07-23,18.52,12.7,25.84,29,10.82,12.3120689655172,3.32941047903845,6,10.75,13.3333333333333,4.60072458061409
"Eriophorum Autochamber Site",2017,"28d",2017-06-26,2017-07-24,2017-07-24,13.58,6.88,19.4,29,9.55,10.1027586206897,2.73812096225512,4,10.5,10.5,0.577350269189626
"Palsa Autochamber Site",2011,"28d",2011-06-14,2011-07-12,2011-07-12,9.2,5.7,11.8,29,12,12.0103448275862,2.56519907715146,0,NA,NA,NA
"Palsa Autochamber Site",2012,"28d",2012-06-22,2012-07-20,2012-07-20,8.6,6.3,11.7,29,10.2,10.1689655172414,2.30559930979776,0,NA,NA,NA
"Palsa Autochamber Site",2013,"28d",2013-06-27,2013-07-25,2013-07-25,16.2,9.1,22.2,29,10.2,11.3344827586207,2.60017524987245,0,NA,NA,NA
"Palsa Autochamber Site",2014,"28d",2014-06-21,2014-07-19,2014-07-19,16.9,10.5,21.9,29,13.4,13.7103448275862,5.30547862574866,0,NA,NA,NA
"Palsa Autochamber Site",2015,"28d",2015-06-17,2015-07-15,2015-07-15,13.09,6.22,19.13,28,8.73,9.285,2.42582173935166,0,NA,NA,NA
"Palsa Autochamber Site",2016,"28d",2016-06-26,2016-07-24,2016-07-24,16.31,12.93,20.76,29,11.78,12.5141379310345,3.38964443693833,0,NA,NA,NA
"Palsa Autochamber Site",2017,"28d",2017-06-22,2017-07-20,2017-07-20,8.51,3.53,12.82,29,8.69,9.60172413793103,2.64009478856552,0,NA,NA,NA
"Sphagnum Autochamber Site",2011,"28d",2011-06-14,2011-07-12,2011-07-12,9.2,5.7,11.8,29,12,12.0103448275862,2.56519907715146,15,-6,-6.91111111111111,4.96290472207792
"Sphagnum Autochamber Site",2012,"28d",2012-06-22,2012-07-20,2012-07-20,8.6,6.3,11.7,29,10.2,10.1689655172414,2.30559930979776,16,-4.33333333333333,-5.22916666666667,3.65091312778963
"Sphagnum Autochamber Site",2013,"28d",2013-06-27,2013-07-25,2013-07-25,16.2,9.1,22.2,29,10.2,11.3344827586207,2.60017524987245,17,-5,-5.75490196078431,3.08508826581074
"Sphagnum Autochamber Site",2014,"28d",2014-06-18,2014-07-16,2014-07-16,16.1,12.9,19.1,29,11.9,12.5827586206897,6.00571566839916,7,-9.66666666666667,-8.16190476190476,7.8831848370188
"Sphagnum Autochamber Site",2015,"28d",2015-06-16,2015-07-14,2015-07-14,13.69,6.26,19.07,28,8.625,9.06607142857143,2.34497151413752,20,-5.25,-6.25916666666667,3.87225652740558
"Sphagnum Autochamber Site",2016,"28d",2016-06-28,2016-07-26,2016-07-26,17.1,11.86,23.3,29,11.78,12.5531034482759,3.37599943238853,7,-2,-3.10714285714286,2.48267808549366
"Sphagnum Autochamber Site",2017,"28d",2017-06-23,2017-07-21,2017-07-21,10.39,3.21,16.87,29,8.8,9.7248275862069,2.58848220928467,5,-4.33333333333333,-4.26666666666667,0.983192080250175
"Eriophorum Autochamber Site",2011,"growing",2011-06-01,2011-07-12,2011-07-12,9.2,5.7,11.8,42,11.85,11.8142857142857,3.44359224156003,20,11,11.1,1.58612404107756
"Eriophorum Autochamber Site",2012,"growing",2012-06-01,2012-07-20,2012-07-20,8.6,6.3,11.7,50,9.05,8.666,2.96225300356719,29,15,11.9655172413793,7.8250182958284
"Eriophorum Autochamber Site",2013,"growing",2013-06-01,2013-07-24,2013-07-24,16.2,9.5,22.9,54,10.4,10.8944444444444,2.69824657716728,30,11,12.15,2.3161725264785
"Eriophorum Autochamber Site",2014,"growing",2014-06-01,2014-07-17,2014-07-17,13.2,10.9,15.6,47,10.9,11.4702127659574,5.63906848974256,16,9,9.65625,2.5930596470836
"Eriophorum Autochamber Site",2015,"growing",2015-06-01,2015-07-15,2015-07-15,13.09,6.22,19.13,44,7.275,7.98431818181818,2.68136584227644,21,10,9.82857142857143,2.38791600713737
"Eriophorum Autochamber Site",2016,"growing",2016-06-01,2016-07-23,2016-07-23,18.52,12.7,25.84,53,9.21,9.72150943396226,4.1142530849505,6,10.75,13.3333333333333,4.60072458061409
"Eriophorum Autochamber Site",2017,"growing",2017-06-01,2017-07-24,2017-07-24,13.58,6.88,19.4,54,9.08,9.65462962962963,3.28753202894963,7,11,10.5714285714286,0.975900072948533
"Palsa Autochamber Site",2011,"growing",2011-06-01,2011-07-12,2011-07-12,9.2,5.7,11.8,42,11.85,11.8142857142857,3.44359224156003,0,NA,NA,NA
"Palsa Autochamber Site",2012,"growing",2012-06-01,2012-07-20,2012-07-20,8.6,6.3,11.7,50,9.05,8.666,2.96225300356719,0,NA,NA,NA
"Palsa Autochamber Site",2013,"growing",2013-06-01,2013-07-25,2013-07-25,16.2,9.1,22.2,55,10.6,10.9909090909091,2.76722034133685,0,NA,NA,NA
"Palsa Autochamber Site",2014,"growing",2014-06-01,2014-07-19,2014-07-19,16.9,10.5,21.9,49,11.4,11.6591836734694,5.59977374421454,0,NA,NA,NA
"Palsa Autochamber Site",2015,"growing",2015-06-01,2015-07-15,2015-07-15,13.09,6.22,19.13,44,7.275,7.98431818181818,2.68136584227644,0,NA,NA,NA
"Palsa Autochamber Site",2016,"growing",2016-06-01,2016-07-24,2016-07-24,16.31,12.93,20.76,54,9.25,9.84351851851852,4.1727155799277,0,NA,NA,NA
"Palsa Autochamber Site",2017,"growing",2017-06-01,2017-07-20,2017-07-20,8.51,3.53,12.82,50,8.84,9.4416,3.30766664164406,0,NA,NA,NA
"Sphagnum Autochamber Site",2011,"growing",2011-06-01,2011-07-12,2011-07-12,9.2,5.7,11.8,42,11.85,11.8142857142857,3.44359224156003,20,-6,-6.81666666666667,4.34172601569026
"Sphagnum Autochamber Site",2012,"growing",2012-06-01,2012-07-20,2012-07-20,8.6,6.3,11.7,50,9.05,8.666,2.96225300356719,30,-4.16666666666667,-4.16111111111111,3.19646695927103
"Sphagnum Autochamber Site",2013,"growing",2013-06-01,2013-07-25,2013-07-25,16.2,9.1,22.2,55,10.6,10.9909090909091,2.76722034133685,31,-8,-7.87096774193548,3.59982244351727
"Sphagnum Autochamber Site",2014,"growing",2014-06-01,2014-07-16,2014-07-16,16.1,12.9,19.1,46,10.65,11.4326086956522,5.69541938160546,15,-9.66666666666667,-8.99777777777778,5.29773037157867
"Sphagnum Autochamber Site",2015,"growing",2015-06-01,2015-07-14,2015-07-14,13.69,6.26,19.07,43,7.26,7.86558139534884,2.59341593300234,27,-5.33333333333333,-6.50555555555556,3.54057977289103
"Sphagnum Autochamber Site",2016,"growing",2016-06-01,2016-07-26,2016-07-26,17.1,11.86,23.3,56,9.42,10.0523214285714,4.24844313348332,7,-2,-3.10714285714286,2.48267808549366
"Sphagnum Autochamber Site",2017,"growing",2017-06-01,2017-07-21,2017-07-21,10.39,3.21,16.87,51,8.88,9.46019607843137,3.27711488367196,7,-4,-4.16666666666667,0.822147143719375
"Eriophorum Autochamber Site",2011,"all_growing",2011-06-01,2011-09-30,2011-07-12,9.2,5.7,11.8,122,10.7,10.7737704918033,3.09071665921544,61,10,11.1803278688525,2.88968393151288
"Eriophorum Autochamber Site",2012,"all_growing",2012-06-01,2012-09-30,2012-07-20,8.6,6.3,11.7,122,8.7,8.25983606557377,3.28833801715276,39,14,12.2820512820513,6.81213591184964
"Eriophorum Autochamber Site",2013,"all_growing",2013-06-01,2013-09-30,2013-07-24,16.2,9.5,22.9,122,10.6,10.5909836065574,3.31951415588697,60,10,10.5283333333333,2.38050640294524
"Eriophorum Autochamber Site",2014,"all_growing",2014-06-01,2014-09-30,2014-07-17,13.2,10.9,15.6,122,9.95,10.6754098360656,5.01187534349623,30,8,7.7,2.94957624075052
"Eriophorum Autochamber Site",2015,"all_growing",2015-06-01,2015-09-30,2015-07-15,13.09,6.22,19.13,121,9.4,9.51950413223141,2.77891401187576,47,10,9.44468085106383,3.55520491127404
"Eriophorum Autochamber Site",2016,"all_growing",2016-06-01,2016-09-30,2016-07-23,18.52,12.7,25.84,122,9.05,9.52672131147541,3.38656227425295,8,10.25,12.25,4.37525509460387
"Eriophorum Autochamber Site",2017,"all_growing",2017-06-01,2017-09-30,2017-07-24,13.58,6.88,19.4,122,8.745,9.10565573770492,3.5268823560237,17,10,10.0588235294118,0.863900184866148
"Palsa Autochamber Site",2011,"all_growing",2011-06-01,2011-09-30,2011-07-12,9.2,5.7,11.8,122,10.7,10.7737704918033,3.09071665921544,0,NA,NA,NA
"Palsa Autochamber Site",2012,"all_growing",2012-06-01,2012-09-30,2012-07-20,8.6,6.3,11.7,122,8.7,8.25983606557377,3.28833801715276,0,NA,NA,NA
"Palsa Autochamber Site",2013,"all_growing",2013-06-01,2013-09-30,2013-07-25,16.2,9.1,22.2,122,10.6,10.5909836065574,3.31951415588697,0,NA,NA,NA
"Palsa Autochamber Site",2014,"all_growing",2014-06-01,2014-09-30,2014-07-19,16.9,10.5,21.9,122,9.95,10.6754098360656,5.01187534349623,0,NA,NA,NA
"Palsa Autochamber Site",2015,"all_growing",2015-06-01,2015-09-30,2015-07-15,13.09,6.22,19.13,121,9.4,9.51950413223141,2.77891401187576,0,NA,NA,NA
"Palsa Autochamber Site",2016,"all_growing",2016-06-01,2016-09-30,2016-07-24,16.31,12.93,20.76,122,9.05,9.52672131147541,3.38656227425295,0,NA,NA,NA
"Palsa Autochamber Site",2017,"all_growing",2017-06-01,2017-09-30,2017-07-20,8.51,3.53,12.82,122,8.745,9.10565573770492,3.5268823560237,0,NA,NA,NA
"Sphagnum Autochamber Site",2011,"all_growing",2011-06-01,2011-09-30,2011-07-12,9.2,5.7,11.8,122,10.7,10.7737704918033,3.09071665921544,61,-8.33333333333333,-9.03551912568306,5.31203340034561
"Sphagnum Autochamber Site",2012,"all_growing",2012-06-01,2012-09-30,2012-07-20,8.6,6.3,11.7,122,8.7,8.25983606557377,3.28833801715276,40,-3,-3.70833333333333,2.8908811342208
"Sphagnum Autochamber Site",2013,"all_growing",2013-06-01,2013-09-30,2013-07-25,16.2,9.1,22.2,122,10.6,10.5909836065574,3.31951415588697,60,-10,-8.91944444444444,3.86598616487347
"Sphagnum Autochamber Site",2014,"all_growing",2014-06-01,2014-09-30,2014-07-16,16.1,12.9,19.1,122,9.95,10.6754098360656,5.01187534349623,30,-11.1666666666667,-11.51,5.38704384419789
"Sphagnum Autochamber Site",2015,"all_growing",2015-06-01,2015-09-30,2015-07-14,13.69,6.26,19.07,121,9.4,9.51950413223141,2.77891401187576,56,-5.5,-6.04136904761905,3.38194850158724
"Sphagnum Autochamber Site",2016,"all_growing",2016-06-01,2016-09-30,2016-07-26,17.1,11.86,23.3,122,9.05,9.52672131147541,3.38656227425295,9,-1.75,-2.75925925925926,2.26056333796208
"Sphagnum Autochamber Site",2017,"all_growing",2017-06-01,2017-09-30,2017-07-21,10.39,3.21,16.87,122,8.745,9.10565573770492,3.5268823560237,17,-4.33333333333333,-4.77450980392157,1.08803654782905
