"Site__","Year__","Interval","Start_Date","End_Date","Sampling_Date","samplingdate_mean_AirTemperature","samplingdate_min_AirTemperature","samplingdate_max_AirTemperature","n_AirTemperature","median_AirTemperature","mean_AirTemperature","sd_AirTemperature","n_WTD","median_WTD","mean_WTD","sd_WTD","n_ALD","median_ALD","mean_ALD","sd_ALD"
"Palsa Autochamber Site",2016,"7d",2016-07-17,2016-07-24,2016-07-24,16.31,12.93,20.76,8,12.94,13.32125,4.33682714007108,0,NA,NA,NA,2,-34,-34,0.707106781186548
"Palsa Autochamber Site",2017,"7d",2017-07-13,2017-07-20,2017-07-20,8.51,3.53,12.82,8,8.64,9.135,1.25454601919807,0,NA,NA,NA,1,-30,-30,NA
"Sphagnum Autochamber Site",2011,"7d",2011-07-05,2011-07-12,2011-07-12,9.2,5.7,11.8,8,14.35,14.1,3.08127988249781,4,-8,-7.83333333333333,1.40105780143539,4,-44.5,-51.9583333333333,16.1620125030316
"Sphagnum Autochamber Site",2012,"7d",2012-07-13,2012-07-20,2012-07-20,8.6,6.3,11.7,8,10.35,10.425,1.64468842033985,5,-1,-1.33333333333333,1.85592145427667,5,-44.3333333333333,-49.2333333333333,13.9928553197694
"Sphagnum Autochamber Site",2013,"7d",2013-07-18,2013-07-25,2013-07-25,16.2,9.1,22.2,8,9.85,11.4125,3.2339438549769,6,-6,-5.77777777777778,2.12829265601083,6,-50.875,-51.375,1.67891333903808
"Sphagnum Autochamber Site",2014,"7d",2014-07-09,2014-07-16,2014-07-16,16.1,12.9,19.1,8,19.2,19.1375,2.07566684637561,2,-14,-14,2.35702260395516,2,-43.5,-43.5,2.12132034355964
"Sphagnum Autochamber Site",2015,"7d",2015-07-07,2015-07-14,2015-07-14,13.69,6.26,19.07,8,10.97,10.695,2.84975186889766,4,-3.8,-4.15,0.798841754134164,4,-37.75,-37.75,1.44337567297406
"Sphagnum Autochamber Site",2016,"7d",2016-07-19,2016-07-26,2016-07-26,17.1,11.86,23.3,8,15.75,14.86,3.71431978006356,2,-1.75,-1.75,0.353553390593274,0,NA,NA,NA
"Sphagnum Autochamber Site",2017,"7d",2017-07-14,2017-07-21,2017-07-21,10.39,3.21,16.87,8,9.12,9.4225,1.24435582876098,2,-4.5,-4.5,1.64991582276861,0,NA,NA,NA
"Eriophorum Autochamber Site",2011,"14d",2011-06-28,2011-07-12,2011-07-12,9.2,5.7,11.8,15,12.9,12.9933333333333,2.81715831155811,7,10,10.4285714285714,1.13389341902768,7,-130,-130,0
"Eriophorum Autochamber Site",2012,"14d",2012-07-06,2012-07-20,2012-07-20,8.6,6.3,11.7,15,9.9,10.32,1.55664474339615,10,11.25,8.9,8.43537524687287,10,-130,-130,0
"Eriophorum Autochamber Site",2013,"14d",2013-07-10,2013-07-24,2013-07-24,16.2,9.5,22.9,15,9.6,10.04,1.98054826464074,9,11,11.6111111111111,2.63127556730782,0,NA,NA,NA
"Eriophorum Autochamber Site",2014,"14d",2014-07-03,2014-07-17,2014-07-17,13.2,10.9,15.6,15,18.6,17.1866666666667,4.0259633570589,4,8.5,8.625,0.75,0,NA,NA,NA
"Eriophorum Autochamber Site",2015,"14d",2015-07-01,2015-07-15,2015-07-15,13.09,6.22,19.13,14,9.885,10.3064285714286,2.46856734266552,8,10,10.1875,0.530330085889911,0,NA,NA,NA
"Eriophorum Autochamber Site",2016,"14d",2016-07-09,2016-07-23,2016-07-23,18.52,12.7,25.84,15,10.69,12.1146666666667,3.52459291806802,5,11,14,4.80884601541784,0,NA,NA,NA
"Eriophorum Autochamber Site",2017,"14d",2017-07-10,2017-07-24,2017-07-24,13.58,6.88,19.4,15,10.39,10.4906666666667,1.933411000082,2,10.5,10.5,0.707106781186548,0,NA,NA,NA
"Palsa Autochamber Site",2011,"14d",2011-06-28,2011-07-12,2011-07-12,9.2,5.7,11.8,15,12.9,12.9933333333333,2.81715831155811,0,NA,NA,NA,7,-32,-32.5714285714286,2.04997096378972
"Palsa Autochamber Site",2012,"14d",2012-07-06,2012-07-20,2012-07-20,8.6,6.3,11.7,15,9.9,10.32,1.55664474339615,0,NA,NA,NA,10,-33.75,-33.6,1.54200446749605
"Palsa Autochamber Site",2013,"14d",2013-07-11,2013-07-25,2013-07-25,16.2,9.1,22.2,15,9.8,10.5333333333333,2.50247496538546,0,NA,NA,NA,10,-38.5,-38.35,1.41519531435692
"Palsa Autochamber Site",2014,"14d",2014-07-05,2014-07-19,2014-07-19,16.9,10.5,21.9,15,18.6,18.0866666666667,2.60133665275227,0,NA,NA,NA,4,-31.8,-32.9,2.40970260959038
"Palsa Autochamber Site",2015,"14d",2015-07-01,2015-07-15,2015-07-15,13.09,6.22,19.13,14,9.885,10.3064285714286,2.46856734266552,0,NA,NA,NA,8,-29.75,-29.175,2.16844249569659
"Palsa Autochamber Site",2016,"14d",2016-07-10,2016-07-24,2016-07-24,16.31,12.93,20.76,15,10.7,12.562,3.60747477963662,0,NA,NA,NA,5,-33,-33.2,0.908295106229247
"Palsa Autochamber Site",2017,"14d",2017-07-06,2017-07-20,2017-07-20,8.51,3.53,12.82,15,9.55,9.91066666666667,2.18876829899071,0,NA,NA,NA,2,-26.5,-26.5,4.94974746830583
"Sphagnum Autochamber Site",2011,"14d",2011-06-28,2011-07-12,2011-07-12,9.2,5.7,11.8,15,12.9,12.9933333333333,2.81715831155811,7,-6,-6.33333333333333,2.27710017021324,7,-43,-47.4047619047619,12.8065583396921
"Sphagnum Autochamber Site",2012,"14d",2012-07-06,2012-07-20,2012-07-20,8.6,6.3,11.7,15,9.9,10.32,1.55664474339615,10,-6.33333333333333,-5.36666666666667,4.47613700294526,10,-39.9166666666667,-43.85,10.9492234348907
"Sphagnum Autochamber Site",2013,"14d",2013-07-11,2013-07-25,2013-07-25,16.2,9.1,22.2,15,9.8,10.5333333333333,2.50247496538546,10,-4.33333333333333,-5,2.1096486162275,10,-50,-50.325,1.96514771850758
"Sphagnum Autochamber Site",2014,"14d",2014-07-02,2014-07-16,2014-07-16,16.1,12.9,19.1,15,18.6,17.2,4.01212448176061,3,-12.3333333333333,-6.44444444444444,13.1923097688402,3,-42,-42.6666666666667,2.08166599946613
"Sphagnum Autochamber Site",2015,"14d",2015-06-30,2015-07-14,2015-07-14,13.69,6.26,19.07,14,9.11,9.84214285714286,2.51557358062936,9,-4,-4.36296296296296,0.963708756783518,9,-35.5,-35.2222222222222,2.75882422620781
"Sphagnum Autochamber Site",2016,"14d",2016-07-12,2016-07-26,2016-07-26,17.1,11.86,23.3,15,13.4,13.1893333333333,3.66502868175615,4,-1.875,-1.8125,0.239356776939085,0,NA,NA,NA
"Sphagnum Autochamber Site",2017,"14d",2017-07-07,2017-07-21,2017-07-21,10.39,3.21,16.87,15,10.11,10.118,2.06561025227067,2,-4.5,-4.5,1.64991582276861,0,NA,NA,NA
"Eriophorum Autochamber Site",2011,"21d",2011-06-21,2011-07-12,2011-07-12,9.2,5.7,11.8,22,11.5,12.0545454545455,2.84483278824496,11,10,10.8181818181818,1.25045446283996,11,-130,-130,0
"Eriophorum Autochamber Site",2012,"21d",2012-06-29,2012-07-20,2012-07-20,8.6,6.3,11.7,22,10.35,10.5681818181818,2.00199575748477,13,10,9.38461538461539,7.50875557309001,13,-130,-130,0
"Eriophorum Autochamber Site",2013,"21d",2013-07-03,2013-07-24,2013-07-24,16.2,9.5,22.9,22,9.8,10.4181818181818,2.06873238473556,13,11,11.5,2.16986942771526,0,NA,NA,NA
"Eriophorum Autochamber Site",2014,"21d",2014-06-26,2014-07-17,2014-07-17,13.2,10.9,15.6,22,15.15,15.2090909090909,4.5391323998891,5,9,8.9,0.894427190999916,0,NA,NA,NA
"Eriophorum Autochamber Site",2015,"21d",2015-06-24,2015-07-15,2015-07-15,13.09,6.22,19.13,21,8.75,9.57,2.47990927253398,13,10,10.4615384615385,0.691060129485201,0,NA,NA,NA
"Eriophorum Autochamber Site",2016,"21d",2016-07-02,2016-07-23,2016-07-23,18.52,12.7,25.84,22,10.52,11.7713636363636,3.31849692804918,6,10.75,13.3333333333333,4.60072458061409,0,NA,NA,NA
"Eriophorum Autochamber Site",2017,"21d",2017-07-03,2017-07-24,2017-07-24,13.58,6.88,19.4,22,9.83,9.90272727272727,2.48371109012719,3,10,10.3333333333333,0.577350269189626,0,NA,NA,NA
"Palsa Autochamber Site",2011,"21d",2011-06-21,2011-07-12,2011-07-12,9.2,5.7,11.8,22,11.5,12.0545454545455,2.84483278824496,0,NA,NA,NA,11,-31,-30.9545454545455,2.84125452445346
"Palsa Autochamber Site",2012,"21d",2012-06-29,2012-07-20,2012-07-20,8.6,6.3,11.7,22,10.35,10.5681818181818,2.00199575748477,0,NA,NA,NA,13,-32.5,-32.7692307692308,2.10767827058773
"Palsa Autochamber Site",2013,"21d",2013-07-04,2013-07-25,2013-07-25,16.2,9.1,22.2,22,9.8,10.6545454545455,2.40767172116198,0,NA,NA,NA,13,-38,-37.5384615384615,2.01516685063481
"Palsa Autochamber Site",2014,"21d",2014-06-28,2014-07-19,2014-07-19,16.9,10.5,21.9,22,16.45,15.8954545454545,3.99433852593145,0,NA,NA,NA,5,-31.6,-31.92,3.02605353554758
"Palsa Autochamber Site",2015,"21d",2015-06-24,2015-07-15,2015-07-15,13.09,6.22,19.13,21,8.75,9.57,2.47990927253398,0,NA,NA,NA,13,-27,-28.0692307692308,2.25735265867809
"Palsa Autochamber Site",2016,"21d",2016-07-03,2016-07-24,2016-07-24,16.31,12.93,20.76,22,10.52,11.7781818181818,3.32808344155302,0,NA,NA,NA,7,-33,-32.4285714285714,1.53917108179943
"Palsa Autochamber Site",2017,"21d",2017-06-29,2017-07-20,2017-07-20,8.51,3.53,12.82,22,9.175,10.0190909090909,2.80555216378576,0,NA,NA,NA,3,-26,-26.3333333333333,3.51188458428425
"Sphagnum Autochamber Site",2011,"21d",2011-06-21,2011-07-12,2011-07-12,9.2,5.7,11.8,22,11.5,12.0545454545455,2.84483278824496,11,-3.66666666666667,-4.54545454545455,3.29822419315043,11,-42.6666666666667,-44.9833333333333,11.2270382955118
"Sphagnum Autochamber Site",2012,"21d",2012-06-29,2012-07-20,2012-07-20,8.6,6.3,11.7,22,10.35,10.5681818181818,2.00199575748477,13,-6.66666666666667,-5.58974358974359,3.97248370426195,13,-39.3333333333333,-41.7948717948718,10.2949902069804
"Sphagnum Autochamber Site",2013,"21d",2013-07-04,2013-07-25,2013-07-25,16.2,9.1,22.2,22,9.8,10.6545454545455,2.40767172116198,13,-5,-4.91025641025641,1.89249906381818,13,-49.75,-48.9679487179487,3.14843774853661
"Sphagnum Autochamber Site",2014,"21d",2014-06-25,2014-07-16,2014-07-16,16.1,12.9,19.1,22,15.15,14.9363636363636,4.83612846480928,5,-11.8333333333333,-8.16666666666667,9.65228815704684,5,-41,-39,5.52268050859363
"Sphagnum Autochamber Site",2015,"21d",2015-06-23,2015-07-14,2015-07-14,13.69,6.26,19.07,21,8.75,9.49857142857143,2.39355235103452,14,-4.25,-4.08452380952381,2.04741304654195,14,-32.5833333333333,-33.4642857142857,3.44875709769846
"Sphagnum Autochamber Site",2016,"21d",2016-07-05,2016-07-26,2016-07-26,17.1,11.86,23.3,22,10.52,12.0490909090909,3.53283092891443,5,-1.75,-1.75,0.25,0,NA,NA,NA
"Sphagnum Autochamber Site",2017,"21d",2017-06-30,2017-07-21,2017-07-21,10.39,3.21,16.87,22,9.83,10.0913636363636,2.7931042560709,4,-3.83333333333333,-4.16666666666667,1.10554159678513,0,NA,NA,NA
"Eriophorum Autochamber Site",2011,"28d",2011-06-14,2011-07-12,2011-07-12,9.2,5.7,11.8,29,12,12.0103448275862,2.56519907715146,15,11,11.3333333333333,1.54303349962092,14,-130,-130,0
"Eriophorum Autochamber Site",2012,"28d",2012-06-22,2012-07-20,2012-07-20,8.6,6.3,11.7,29,10.2,10.1689655172414,2.30559930979776,16,12.5,10,6.84835746730557,16,-130,-130,0
"Eriophorum Autochamber Site",2013,"28d",2013-06-26,2013-07-24,2013-07-24,16.2,9.5,22.9,29,9.9,11.1068965517241,2.44320209012721,17,11,11.2058823529412,1.96101714303933,0,NA,NA,NA
"Eriophorum Autochamber Site",2014,"28d",2014-06-19,2014-07-17,2014-07-17,13.2,10.9,15.6,29,12.1,12.851724137931,5.84506022758016,8,9.25,9.125,0.790569415042095,0,NA,NA,NA
"Eriophorum Autochamber Site",2015,"28d",2015-06-17,2015-07-15,2015-07-15,13.09,6.22,19.13,28,8.73,9.285,2.42582173935166,19,10,10.3157894736842,1.06992375527664,0,NA,NA,NA
"Eriophorum Autochamber Site",2016,"28d",2016-06-25,2016-07-23,2016-07-23,18.52,12.7,25.84,29,10.82,12.3120689655172,3.32941047903845,6,10.75,13.3333333333333,4.60072458061409,0,NA,NA,NA
"Eriophorum Autochamber Site",2017,"28d",2017-06-26,2017-07-24,2017-07-24,13.58,6.88,19.4,29,9.55,10.1027586206897,2.73812096225512,4,10.5,10.5,0.577350269189626,0,NA,NA,NA
"Palsa Autochamber Site",2011,"28d",2011-06-14,2011-07-12,2011-07-12,9.2,5.7,11.8,29,12,12.0103448275862,2.56519907715146,0,NA,NA,NA,15,-30,-29.8333333333333,3.10337757627917
"Palsa Autochamber Site",2012,"28d",2012-06-22,2012-07-20,2012-07-20,8.6,6.3,11.7,29,10.2,10.1689655172414,2.30559930979776,0,NA,NA,NA,16,-32.25,-31.9375,2.65753645318366
"Palsa Autochamber Site",2013,"28d",2013-06-27,2013-07-25,2013-07-25,16.2,9.1,22.2,29,10.2,11.3344827586207,2.60017524987245,0,NA,NA,NA,17,-36.5,-36.2352941176471,3.00581544187068
"Palsa Autochamber Site",2014,"28d",2014-06-21,2014-07-19,2014-07-19,16.9,10.5,21.9,29,13.4,13.7103448275862,5.30547862574866,0,NA,NA,NA,7,-31.5,-30.3714285714286,3.61926064535944
"Palsa Autochamber Site",2015,"28d",2015-06-17,2015-07-15,2015-07-15,13.09,6.22,19.13,28,8.73,9.285,2.42582173935166,0,NA,NA,NA,19,-26.5,-27.0473684210526,2.47169946506731
"Palsa Autochamber Site",2016,"28d",2016-06-26,2016-07-24,2016-07-24,16.31,12.93,20.76,29,11.78,12.5141379310345,3.38964443693833,0,NA,NA,NA,8,-32.5,-31.875,2.11710719075413
"Palsa Autochamber Site",2017,"28d",2017-06-22,2017-07-20,2017-07-20,8.51,3.53,12.82,29,8.69,9.60172413793103,2.64009478856552,0,NA,NA,NA,4,-25,-25.75,3.09569593683445
"Sphagnum Autochamber Site",2011,"28d",2011-06-14,2011-07-12,2011-07-12,9.2,5.7,11.8,29,12,12.0103448275862,2.56519907715146,15,-6,-6.91111111111111,4.96290472207792,15,-39.3333333333333,-41.7655555555556,10.9810017517028
"Sphagnum Autochamber Site",2012,"28d",2012-06-22,2012-07-20,2012-07-20,8.6,6.3,11.7,29,10.2,10.1689655172414,2.30559930979776,16,-4.33333333333333,-5.22916666666667,3.65091312778963,16,-38.25,-40.0625,9.94780359156212
"Sphagnum Autochamber Site",2013,"28d",2013-06-27,2013-07-25,2013-07-25,16.2,9.1,22.2,29,10.2,11.3344827586207,2.60017524987245,17,-5,-5.75490196078431,3.08508826581074,17,-48.5,-46.9754901960784,4.6581735126395
"Sphagnum Autochamber Site",2014,"28d",2014-06-18,2014-07-16,2014-07-16,16.1,12.9,19.1,29,11.9,12.5827586206897,6.00571566839916,7,-9.66666666666667,-8.16190476190476,7.8831848370188,7,-36,-34.0714285714286,10.8028876210197
"Sphagnum Autochamber Site",2015,"28d",2015-06-16,2015-07-14,2015-07-14,13.69,6.26,19.07,28,8.625,9.06607142857143,2.34497151413752,20,-5.25,-6.25916666666667,3.87225652740558,20,-32,-31.1083333333333,4.71723076411059
"Sphagnum Autochamber Site",2016,"28d",2016-06-28,2016-07-26,2016-07-26,17.1,11.86,23.3,29,11.78,12.5531034482759,3.37599943238853,7,-2,-3.10714285714286,2.48267808549366,0,NA,NA,NA
"Sphagnum Autochamber Site",2017,"28d",2017-06-23,2017-07-21,2017-07-21,10.39,3.21,16.87,29,8.8,9.7248275862069,2.58848220928467,5,-4.33333333333333,-4.26666666666667,0.983192080250175,0,NA,NA,NA
"Eriophorum Autochamber Site",2011,"july",2011-07-01,2011-07-31,2011-07-12,9.2,5.7,11.8,31,13,12.4064516129032,2.658813705881,18,11,12,4.63997971598,18,-130,-130,0
"Eriophorum Autochamber Site",2012,"july",2012-07-01,2012-07-31,2012-07-20,8.6,6.3,11.7,31,10.5,10.5258064516129,2.0795781209876,17,13,10.4117647058824,6.81733840594528,17,-130,-130,0
"Eriophorum Autochamber Site",2013,"july",2013-07-01,2013-07-31,2013-07-24,16.2,9.5,22.9,31,11,11.7516129032258,2.8730786005888,19,11,10.9473684210526,1.96422685413445,0,NA,NA,NA
"Eriophorum Autochamber Site",2014,"july",2014-07-01,2014-07-31,2014-07-17,13.2,10.9,15.6,31,16.8,16.3387096774194,3.41864275401363,6,8,7.91666666666667,1.39343699773857,0,NA,NA,NA
"Eriophorum Autochamber Site",2015,"july",2015-07-01,2015-07-31,2015-07-15,13.09,6.22,19.13,30,10.74,10.8543333333333,2.06393110572892,17,10,8.91176470588235,5.1606543132801,0,NA,NA,NA
"Eriophorum Autochamber Site",2016,"july",2016-07-01,2016-07-31,2016-07-23,18.52,12.7,25.84,31,12.83,12.5535483870968,3.16118073762225,6,10.75,13.3333333333333,4.60072458061409,0,NA,NA,NA
"Eriophorum Autochamber Site",2017,"july",2017-07-01,2017-07-31,2017-07-24,13.58,6.88,19.4,31,10.41,11.4351612903226,3.43591702554815,5,10,10.4,0.547722557505166,0,NA,NA,NA
"Palsa Autochamber Site",2011,"july",2011-07-01,2011-07-31,2011-07-12,9.2,5.7,11.8,31,13,12.4064516129032,2.658813705881,0,NA,NA,NA,18,-36.5,-36.8944444444444,3.21768499577354
"Palsa Autochamber Site",2012,"july",2012-07-01,2012-07-31,2012-07-20,8.6,6.3,11.7,31,10.5,10.5258064516129,2.0795781209876,0,NA,NA,NA,17,-35,-34.2058823529412,2.44347871594866
"Palsa Autochamber Site",2013,"july",2013-07-01,2013-07-31,2013-07-25,16.2,9.1,22.2,31,11,11.7516129032258,2.8730786005888,0,NA,NA,NA,19,-38,-37.3684210526316,3.17910760217373
"Palsa Autochamber Site",2014,"july",2014-07-01,2014-07-31,2014-07-19,16.9,10.5,21.9,31,16.8,16.3387096774194,3.41864275401363,0,NA,NA,NA,6,-34.25,-35.35,4.25617198900608
"Palsa Autochamber Site",2015,"july",2015-07-01,2015-07-31,2015-07-15,13.09,6.22,19.13,30,10.74,10.8543333333333,2.06393110572892,0,NA,NA,NA,17,-34,-32.4647058823529,3.68136204014061
"Palsa Autochamber Site",2016,"july",2016-07-01,2016-07-31,2016-07-24,16.31,12.93,20.76,31,12.83,12.5535483870968,3.16118073762225,0,NA,NA,NA,8,-32.5,-31.875,2.11710719075413
"Palsa Autochamber Site",2017,"july",2017-07-01,2017-07-31,2017-07-20,8.51,3.53,12.82,31,10.41,11.4351612903226,3.43591702554815,0,NA,NA,NA,5,-28,-27.1,2.70185121722126
"Sphagnum Autochamber Site",2011,"july",2011-07-01,2011-07-31,2011-07-12,9.2,5.7,11.8,31,13,12.4064516129032,2.658813705881,18,-6.83333333333333,-7.32407407407407,3.4544052684791,18,-103.083333333333,-85.962962962963,26.9942838027737
"Sphagnum Autochamber Site",2012,"july",2012-07-01,2012-07-31,2012-07-20,8.6,6.3,11.7,31,10.5,10.5258064516129,2.0795781209876,17,-3,-4.61764705882353,3.71640727134903,17,-42.5,-56.9803921568627,25.9624383025628
"Sphagnum Autochamber Site",2013,"july",2013-07-01,2013-07-31,2013-07-25,16.2,9.1,22.2,31,11,11.7516129032258,2.8730786005888,19,-5.5,-6.13157894736842,3.10792443312274,19,-49.75,-50.7149122807018,11.0402712531771
"Sphagnum Autochamber Site",2014,"july",2014-07-01,2014-07-31,2014-07-16,16.1,12.9,19.1,31,16.8,16.3387096774194,3.41864275401363,6,-12.25,-8.58333333333333,9.06259099571174,3,-42,-42.6666666666667,2.08166599946613
"Sphagnum Autochamber Site",2015,"july",2015-07-01,2015-07-31,2015-07-14,13.69,6.26,19.07,30,10.74,10.8543333333333,2.06393110572892,17,-3.93333333333333,-3.94705882352941,1.62523753919959,14,-38.75,-39.1666666666667,4.73766955585896
"Sphagnum Autochamber Site",2016,"july",2016-07-01,2016-07-31,2016-07-26,17.1,11.86,23.3,31,12.83,12.5535483870968,3.16118073762225,7,-2,-3.10714285714286,2.48267808549366,0,NA,NA,NA
"Sphagnum Autochamber Site",2017,"july",2017-07-01,2017-07-31,2017-07-21,10.39,3.21,16.87,31,10.41,11.4351612903226,3.43591702554815,5,-4.33333333333333,-4.6,1.36218778278017,0,NA,NA,NA
"Eriophorum Autochamber Site",2011,"growing",2011-06-01,2011-07-12,2011-07-12,9.2,5.7,11.8,42,11.85,11.8142857142857,3.44359224156003,20,11,11.1,1.58612404107756,19,-130,-106.684210526316,42.0073441086714
"Eriophorum Autochamber Site",2012,"growing",2012-06-01,2012-07-20,2012-07-20,8.6,6.3,11.7,50,9.05,8.666,2.96225300356719,29,15,11.9655172413793,7.8250182958284,30,-130,-109.016666666667,42.6862013021678
"Eriophorum Autochamber Site",2013,"growing",2013-06-01,2013-07-24,2013-07-24,16.2,9.5,22.9,54,10.4,10.8944444444444,2.69824657716728,30,11,12.15,2.3161725264785,10,-34.75,-35.15,3.68970037928405
"Eriophorum Autochamber Site",2014,"growing",2014-06-01,2014-07-17,2014-07-17,13.2,10.9,15.6,47,10.9,11.4702127659574,5.63906848974256,16,9,9.65625,2.5930596470836,3,-23,-58.6666666666667,61.77647880329
"Eriophorum Autochamber Site",2015,"growing",2015-06-01,2015-07-15,2015-07-15,13.09,6.22,19.13,44,7.275,7.98431818181818,2.68136584227644,21,10,9.82857142857143,2.38791600713737,4,-26.75,-26.25,1.93649167310371
"Eriophorum Autochamber Site",2016,"growing",2016-06-01,2016-07-23,2016-07-23,18.52,12.7,25.84,53,9.21,9.72150943396226,4.1142530849505,6,10.75,13.3333333333333,4.60072458061409,0,NA,NA,NA
"Eriophorum Autochamber Site",2017,"growing",2017-06-01,2017-07-24,2017-07-24,13.58,6.88,19.4,54,9.08,9.65462962962963,3.28753202894963,7,11,10.5714285714286,0.975900072948533,0,NA,NA,NA
"Palsa Autochamber Site",2011,"growing",2011-06-01,2011-07-12,2011-07-12,9.2,5.7,11.8,42,11.85,11.8142857142857,3.44359224156003,0,NA,NA,NA,20,-27.75,-27.75,4.58974830177911
"Palsa Autochamber Site",2012,"growing",2012-06-01,2012-07-20,2012-07-20,8.6,6.3,11.7,50,9.05,8.666,2.96225300356719,0,NA,NA,NA,30,-27.5,-27.7833333333333,5.26976302112823
"Palsa Autochamber Site",2013,"growing",2013-06-01,2013-07-25,2013-07-25,16.2,9.1,22.2,55,10.6,10.9909090909091,2.76722034133685,0,NA,NA,NA,31,-32,-31.6774193548387,5.87444804087552
"Palsa Autochamber Site",2014,"growing",2014-06-01,2014-07-19,2014-07-19,16.9,10.5,21.9,49,11.4,11.6591836734694,5.59977374421454,0,NA,NA,NA,16,-25.25,-26.63125,4.25232779388733
"Palsa Autochamber Site",2015,"growing",2015-06-01,2015-07-15,2015-07-15,13.09,6.22,19.13,44,7.275,7.98431818181818,2.68136584227644,0,NA,NA,NA,27,-25.5,-25.3925925925926,3.53247852907906
"Palsa Autochamber Site",2016,"growing",2016-06-01,2016-07-24,2016-07-24,16.31,12.93,20.76,54,9.25,9.84351851851852,4.1727155799277,0,NA,NA,NA,8,-32.5,-31.875,2.11710719075413
"Palsa Autochamber Site",2017,"growing",2017-06-01,2017-07-20,2017-07-20,8.51,3.53,12.82,50,8.84,9.4416,3.30766664164406,0,NA,NA,NA,6,-23.5,-24,3.67423461417477
"Sphagnum Autochamber Site",2011,"growing",2011-06-01,2011-07-12,2011-07-12,9.2,5.7,11.8,42,11.85,11.8142857142857,3.44359224156003,20,-6,-6.81666666666667,4.34172601569026,20,-36.5,-38.2483333333333,11.350478388558
"Sphagnum Autochamber Site",2012,"growing",2012-06-01,2012-07-20,2012-07-20,8.6,6.3,11.7,50,9.05,8.666,2.96225300356719,30,-4.16666666666667,-4.16111111111111,3.19646695927103,30,-32.3333333333333,-32.7111111111111,11.0861251633136
"Sphagnum Autochamber Site",2013,"growing",2013-06-01,2013-07-25,2013-07-25,16.2,9.1,22.2,55,10.6,10.9909090909091,2.76722034133685,31,-8,-7.87096774193548,3.59982244351727,31,-39.8333333333333,-40.2338709677419,8.63357516163985
"Sphagnum Autochamber Site",2014,"growing",2014-06-01,2014-07-16,2014-07-16,16.1,12.9,19.1,46,10.65,11.4326086956522,5.69541938160546,15,-9.66666666666667,-8.99777777777778,5.29773037157867,15,-29.25,-30.3388888888889,8.2033594228283
"Sphagnum Autochamber Site",2015,"growing",2015-06-01,2015-07-14,2015-07-14,13.69,6.26,19.07,43,7.26,7.86558139534884,2.59341593300234,27,-5.33333333333333,-6.50555555555556,3.54057977289103,27,-28.5,-28.9398765432099,5.54464803022194
