"genome" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-D" "712_S-3-X" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_20-24" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120700_P1D_3" 0 0 0 0 0 0 0 0 0.8709936 0 0 0 0 0 0 0 0 0 0 0 0.35354564 0 0 0 0 0 0 0 0 0 1.8370757 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120500_P38_6" 0 0 0 0.10306269 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.076652534 0.1319994 0 0 0 0 0 0.23159519
"20100900_E1D_10" 0.34533474 0 3.7511487 4.5876036 0 0 0 1.8862315 0.6489299 3.1463115 0.065857984 0 0 0 0.06384048 0.23655346 0 0 2.227446 4.560261 0.8074936 0 0 0 0 0 0 0.21181838 2.2035294 2.480357 0.49515873 0.3866376 0.6694993 0.91582626 0.41996187 0.89367545 0 1.4627281 2.092755 0.1212224 1.0582247 3.3541207 0.7541381 0.6764898 1.0589353 0 0 0 0 0 3.8515332 4.1928396 0.9182356 0 0 0.10845393 0 2.5823238 3.289878
"20160700_E25_27" 0.18245251 0 8.956079 1.4721074 0 0.11475022 0.05817809 13.320878 0.7856894 0.5270611 0.1421577 0 0 0 0 0 0 0.10811592 8.545282 3.8096676 0.83429074 0 0 0 0 0 0 2.10527 4.755384 0.7605538 0.8921331 0.23647428 0 0.107877694 0 0.1254378 0 1.5681059 1.1119584 0.40733245 1.0149175 3.3392084 0.4224251 0.5167402 0.54933834 0.056820866 0.13128066 0 0 0 0 0.3122145 0.4385658 0 0 0.072084285 0 0.34554893 1.4910253
"20110800_S1M_20" 0 0 0.36373577 13.461582 0 0 0 0 1.2815552 0.15141098 0.087734394 0 0 0 0 0.69936204 0 0 0 0.44034374 2.0202432 0 0 0 0 0.119332716 0 0 0 2.5404987 1.0298021 0.19621556 0 0 0 0.119877905 0 0 1.7134198 0.6087846 0 0.46408114 1.8811741 1.1958722 1.4332347 0 1.4384111 0.40833426 0 0 0 1.0537186 2.4186513 0 0.13643898 0.06467347 0 0.2835165 6.1967645
"20120700_P3D_12" 0 0 0.0820763 0.49924383 0 0 0 0 0.71244425 0 0.1398229 0 0 0 0 0 0 0 0 0 0.35767984 0 0 0 0 0 0 0 0 0.10694124 0.86749434 0 0 0 0 0 0 0 0 0 0 0 0.16789316 0 0 0 0 0 0 0 0 0 0.27520102 0 0 0 0 0 0.36353183
"20120700_P3D_142" 0 0 0.075055726 0.18027371 0 0 0 0 0.07434677 0 0.06380519 0 0 0 0 0 0 0 0 0.059774756 0.110861994 0 0 0 0 0 0 0 0 0.06912605 0.08441906 0 0 0 0 0 0 0 0 0 0 0 0.056935467 0 0 0 0.11722362 0.10945626 0 0 0 0 0.0875768 0 0 0.10809006 0 0 0.12711987
"20170700_S34_25" 0 0 0.11937118 8.453053 0 0 0 0 6.4811234 0 2.0225468 0 0 0 0 0 0 0 0 0.63195264 5.1984982 0 0 0 0 0 0 0 0 4.1804557 9.821515 0 0 0 0 0 0 0 1.45876 2.1690676 0 0 3.5529878 5.3627415 9.8861475 0 0 0 0 0 0 0 3.575948 0 0 0 0 0 4.5107517
"20160700_E13_6" 0 0 0 0.39353815 0 0 0 0 0.05951336 0 0.0722487 0 0 0 0 0 0 0 0 0.32583696 0.2813786 0 0 0 0 0 0 0 0 0.14092804 0.12902507 0 0 0 0 0 0 0 0 0 0 0 0.08392797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20150700_E15_6" 0 0 0.28237286 1.768305 0 0 0 0.05714417 0.6347106 0 0.30848238 0 0 0 0 0 0 0 0 0.88978624 0.7143911 0 0 0 0 0 0 0 0 1.3068657 1.4010837 0 0 0 0 0.19131535 0 0 0.10593975 0 0 0.48137248 0.68605715 1.0029932 0.8683898 0 0 0 0 0 0 0.30505073 0.76041436 0 0 0 0 0.06271471 0.56233567
"20170700_S35_2" 0 0 0.78894335 2.681882 0 0 0 0 11.50037 0 0.10057304 0 0 0 0 0 0 0 0.23547629 0.12945491 4.086942 0 0 0 0 0 0 0 0 4.4137673 5.6984124 0 0 0 0 0 0 3.1780224 0.26208165 0 0 0.34751958 0.5017662 0 0 0 0 0 0 0 0 0 1.9669242 0 0 0 0 0 2.8239086
"20160700_P15_17" 0 0 0 0 0 0 0 0 0.32717225 0 0 0 0 0 0 0 0 0 0 0 0.4764264 0 0 0 0 0 0 0 0 0 0.49179685 0 0 0 0 0 0 0 0 0 0 0 0.08353154 0 0 0 0.31142202 0.14445801 0 0 0 0 0.24223895 0 0 0 0 0 0.06857563
"3300036888_6" 0 0 2.2659564 4.2424774 0 0 0 0.29724613 4.229444 0.9123631 0.78542715 0 0 0 0 1.96342 0.20129414 0 1.3029885 6.441962 5.048307 0 0 0 0 0 0 0 3.4694686 25.880955 8.021102 1.1386466 0 0 0 1.1221727 0 0.3515259 5.644767 1.5876693 0 3.0988955 1.9271507 7.5978894 4.0851984 0 0 0 0 0 0 3.664731 5.9383616 0 0 0 0 1.5960349 3.512889
"20170700_S34_11" 0 0 0 0.3515822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.111108
"PMCB01" 0 0 0 0 0 0 0 0 0.49949658 0 0 0 0 0 0 0 0 0 0.11671984 0 0.11116621 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
