Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
α-1,3-mannosidase (BT3130)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812042.1	Q8A325	6F8Z[A,B,C]6F90[A,B,C]	Bacteria	35	GH92
mannosyl-oligosaccharide α-1,3-mannosidase  (BT3994)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO79099.1	Q8A0M7		Bacteria	35	GH92
mannosyl-oligosaccharide α-1,3-mannosidase  (BT3994)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812905.1	Q8A0M7		Bacteria	35	GH92
α-mannosidase (BT3963)	3.2.1.24	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO79068.1	Q8A0Q8		Bacteria	35	GH92
α-mannosidase (BT3963)	3.2.1.24	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812874.1	Q8A0Q8		Bacteria	35	GH92
α-1,3-mannosidase (BT3773)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO78878.1	Q8A193		Bacteria	35	GH92
α-1,3-mannosidase (BT3773)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812684.1	Q8A193		Bacteria	35	GH92
mannosyl-oligosaccharide α-1,3-mannosidase (BT3991)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO79096.1	Q8A0N0		Bacteria	35	GH92
mannosyl-oligosaccharide α-1,3-mannosidase (BT3991)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812902.1	Q8A0N0		Bacteria	35	GH92
α-mannosidase (BT2948)	3.2.1.24	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO78054.1	Q8A3K6		Bacteria	35	GH92
α-mannosidase (BT2948)	3.2.1.24	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_811860.1	Q8A3K6		Bacteria	35	GH92
mannosyl-oligosaccharide α-1,3-mannosidase (BT1769)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO76876.1	Q8A6V7		Bacteria	35	GH92
mannosyl-oligosaccharide α-1,3-mannosidase (BT1769)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_810682.1	Q8A6V7		Bacteria	35	GH92
α-mannosidase (BT1032)	3.2.1.24	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO76139.1	Q8A8Y5		Bacteria	35	GH92
α-mannosidase (BT1032)	3.2.1.24	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_809945.1	Q8A8Y5		Bacteria	35	GH92
α-1,4-mannosidase (BT4093)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO79198.1	Q8A0C8		Bacteria	35	GH92
α-1,4-mannosidase (BT4093)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_813004.1	Q8A0C8		Bacteria	35	GH92
mannosyl-oligosaccharide α-1,3-mannosidase (BT3858)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO78963.1	Q8A113		Bacteria	35	GH92
mannosyl-oligosaccharide α-1,3-mannosidase (BT3858)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812769.1	Q8A113		Bacteria	35	GH92
α-1,4-mannosidase (BT4073)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO79178.1	Q8A0E8		Bacteria	35	GH92
α-1,4-mannosidase (BT4073)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812984.1	Q8A0E8		Bacteria	35	GH92
α-1,4-mannosidase (BT3965)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO79070.1	Q8A0Q6	6F91[A,B,C,D,E,F,G,H]6F92[A,B,C,D]	Bacteria	35	GH92
α-1,4-mannosidase (BT3965)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812876.1	Q8A0Q6	6F91[A,B,C,D,E,F,G,H]6F92[A,B,C,D]	Bacteria	35	GH92
α-mannosidase (BT2111)	3.2.1.24	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO77218.1	Q8A5X5		Bacteria	35	GH92
α-mannosidase (BT2111)	3.2.1.24	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_811024.1	Q8A5X5		Bacteria	35	GH92
α-1,4-mannosidase (BT3530)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO78636.1	Q8A1X8		Bacteria	35	GH92
α-1,4-mannosidase (BT3530)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812442.1	Q8A1X8		Bacteria	35	GH92
[N-glycan] (Man-1-Pi-6-Man-specific) uncapping α-mannosidase (CcGH92_5;CcMan5)	3.2.1.-	pubmed	Cellulosimicrobium cellulans	AFK83609.1	K7PDX3M1E1E9	2XSG[A,B]4AQ0[A,B]	Bacteria	35	GH92
CcGH92_1 / CcMan1	3.2.1.24	pubmed	Cellulosimicrobium cellulans	AFK83605.1	K7PF02		Bacteria	35	GH92
CcGH92_2 / CcMan2	3.2.1.24	pubmed	Cellulosimicrobium cellulans	AFK83606.1	K7PER8		Bacteria	35	GH92
mannosyl-oligosaccharide α-1,2-mannosidase (CcGH92_4;CcMan4)	3.2.1.113	pubmed	Cellulosimicrobium cellulans	AFK83608.1	K7PFJ9		Bacteria	35	GH92
α-1,2-mannosidase (WOW_02008)	3.2.1.113	pubmed	Enterococcus faecalis ATCC 10100	EOK07369.1		7FE1[A,B,C,D]7FE2[A,B,C,D]	Bacteria	35	GH92
α-1,2-mannosidase (EfMan-I;EF2217)	3.2.1.113	pubmed	Enterococcus faecalis V583	AAO81948.1	Q832K9	6DWO[A,B,C,D]	Bacteria	35	GH92
α-1,2-mannosidase (EfMan-I;EF2217)	3.2.1.113	pubmed	Enterococcus faecalis V583	NP_815878.1	Q832K9	6DWO[A,B,C,D]	Bacteria	35	GH92
α-1,2-mannosidase / exo-α-1,2-mannanase (aMan2)	3.2.1.113	pubmed	Microbacterium sp. M-90	BAA76709.1	Q9WXI8		Bacteria	35	GH92
α-1,2-mannosidase (NnGH92)	3.2.1.113	pubmed	Neobacillus novalis	CAD7619346.1		7NSN[A,B]	Bacteria	35	GH92
mannosyl-oligosaccharide α-1,3-mannosidase	3.2.1.-	doi	Phocaeicola massiliensis	WP_005941513.1		7ZGM[A]	Bacteria	35	GH92
mannosyl-oligosaccharide α-1,2/1,3-mannosidase (Sca2/3Man2693; Solca_3960)	3.2.1.1133.2.1.-	pubmedpubmed	Solitalea canadensis DSM 3403	AFD08953.1	H8KM31		Bacteria	35	GH92
mannosyl-oligosaccharide α-1,2-mannosidase (SpGH92;SP_2145;SP2145)	3.2.1.113	pubmed	Streptococcus pneumoniae TIGR4	AAK76202.1	A0A0H2US35A0A0Y0HIE3Q97NA7	5SWI[A,B,C,D]	Bacteria	35	GH92
mannosyl-oligosaccharide α-1,2-mannosidase (SpGH92;SP_2145;SP2145)	3.2.1.113	pubmed	Streptococcus pneumoniae TIGR4	NP_346562.1	A0A0H2US35A0A0Y0HIE3Q97NA7	5SWI[A,B,C,D]	Bacteria	35	GH92
[N-glycan] α-1,3-mannosidase (NixK;XCC2894)	3.2.1.-	pubmed	Xanthomonas campestris pv. campestris str. ATCC 33913	AAM42166.1	Q8P6S1		Bacteria	35	GH92
[N-glycan] α-1,3-mannosidase (NixK;XCC2894)	3.2.1.-	pubmed	Xanthomonas campestris pv. campestris str. ATCC 33913	NP_638242.1	Q8P6S1		Bacteria	35	GH92
α-mannosidase (ManA;PTO0091)	3.2.1.24	pubmed	Picrophilus torridus DSM 9790	AAT42676.1	Q6L2X5		Archaea	42	GH38
α-mannosidase (ManA;LMann;SsLMann;SSO3006)	3.2.1.24	pubmed	Saccharolobus solfataricus P2	AAK43108.1	Q97UK5		Archaea	42	GH38
α-mannosidase (ManA;LMann;SsLMann;SSO3006)	3.2.1.24	pubmed	Saccharolobus solfataricus P2	AIX48014.1	Q97UK5		Archaea	42	GH38
α-mannosidase (ManA;LMann;SsLMann;SSO3006)	3.2.1.24	pubmed	Saccharolobus solfataricus P2	CAC24028.1	Q97UK5		Archaea	42	GH38
α-mannosidase (ManA;LMann;SsLMann;SSO3006)	3.2.1.24	pubmed	Saccharolobus solfataricus P2	NP_344318.1	Q97UK5		Archaea	42	GH38
α-mannosidase	3.2.1.24	pubmed	Bacillus sp. GL1	BAB40444.2	Q9AJR6		Bacteria	42	GH38
α-mannosidase / α-1,P-mannosidase (BT3774)	3.2.1.1133.2.1.-	pubmedpubmed	Bacteroides thetaiotaomicron VPI-5482	AAO78879.1	Q8A192		Bacteria	42	GH38
α-mannosidase / α-1,P-mannosidase (BT3774)	3.2.1.1133.2.1.-	pubmedpubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812685.1	Q8A192		Bacteria	42	GH38
α-mannosidase (Rv0648)	3.2.1.24	pubmed	Mycobacterium tuberculosis H37Rv	CAB07105.1	P96937		Bacteria	42	GH38
α-mannosidase (Rv0648)	3.2.1.24	pubmed	Mycobacterium tuberculosis H37Rv	AFN48518.1	P96937		Bacteria	42	GH38
α-mannosidase (Rv0648)	3.2.1.24	pubmed	Mycobacterium tuberculosis H37Rv	CCP43391.1	P96937		Bacteria	42	GH38
α-mannosidase (Rv0648)	3.2.1.24	pubmed	Mycobacterium tuberculosis H37Rv	NP_215162.1	P96937		Bacteria	42	GH38
mannosyl-oligosaccharide α-1,3-mannosidase (SPy1604)	3.2.1.-	pubmed	Streptococcus pyogenes M1 GAS SF370	AAK34381.1	Q99YP5	2WYH[A,B]2WYI[A,B]	Bacteria	42	GH38
mannosyl-oligosaccharide α-1,3-mannosidase (SPy1604)	3.2.1.-	pubmed	Streptococcus pyogenes M1 GAS SF370	NP_269660.1	Q99YP5	2WYH[A,B]2WYI[A,B]	Bacteria	42	GH38
α-mannosidase (SCO0948;SCM11.03c)	3.2.1.24	pubmed	Streptomyces coelicolor A3(2)	CAB61914.1	Q9RIV8		Bacteria	42	GH38
α-mannosidase (SCO0948;SCM11.03c)	3.2.1.24	pubmed	Streptomyces coelicolor A3(2)	NP_625245.1	Q9RIV8		Bacteria	42	GH38
α-mannosidase (cytosolic) (TM1851;Tmari_1866)	3.2.1.24	pubmed	Thermotoga maritima MSB8	AAD36913.1	Q9X2G6R4NSK1	cryst	Bacteria	42	GH38
α-mannosidase (cytosolic) (TM1851;Tmari_1866)	3.2.1.24	pubmed	Thermotoga maritima MSB8	AGL50790.1	Q9X2G6R4NSK1	cryst	Bacteria	42	GH38
α-mannosidase (cytosolic) (TM1851;Tmari_1866)	3.2.1.24	pubmed	Thermotoga maritima MSB8	AHD18252.1	Q9X2G6R4NSK1	cryst	Bacteria	42	GH38
α-mannosidase (cytosolic) (TM1851;Tmari_1866)	3.2.1.24	pubmed	Thermotoga maritima MSB8	AKE29607.1	Q9X2G6R4NSK1	cryst	Bacteria	42	GH38
α-mannosidase (cytosolic) (TM1851;Tmari_1866)	3.2.1.24	pubmed	Thermotoga maritima MSB8	NP_229647.1	Q9X2G6R4NSK1	cryst	Bacteria	42	GH38
α-glucosidase (YgjK;EcYgjK;b3080)	3.2.1.203.2.1.84	pubmedpubmed	Escherichia coli str. K-12 substr. MG1655	AAA57881.1	P42592	2DS3[A,B]3C67[A,B]3C68[A,B]3C69[A,B]3D3I[A,B]3W7S[A,B]3W7T[A,B]3W7U[A,B]3W7W[A,B]3W7X[A,B]5CA3[A,B]5CA4[A,B]5GW7[A,B]6XUX[A]	Bacteria	17	GH63
α-glucosidase (YgjK;EcYgjK;b3080)	3.2.1.203.2.1.84	pubmedpubmed	Escherichia coli str. K-12 substr. MG1655	AAC76115.1	P42592	2DS3[A,B]3C67[A,B]3C68[A,B]3C69[A,B]3D3I[A,B]3W7S[A,B]3W7T[A,B]3W7U[A,B]3W7W[A,B]3W7X[A,B]5CA3[A,B]5CA4[A,B]5GW7[A,B]6XUX[A]	Bacteria	17	GH63
α-glucosidase (YgjK;EcYgjK;b3080)	3.2.1.203.2.1.84	pubmedpubmed	Escherichia coli str. K-12 substr. MG1655	AIZ89900.1	P42592	2DS3[A,B]3C67[A,B]3C68[A,B]3C69[A,B]3D3I[A,B]3W7S[A,B]3W7T[A,B]3W7U[A,B]3W7W[A,B]3W7X[A,B]5CA3[A,B]5CA4[A,B]5GW7[A,B]6XUX[A]	Bacteria	17	GH63
α-glucosidase (YgjK;EcYgjK;b3080)	3.2.1.203.2.1.84	pubmedpubmed	Escherichia coli str. K-12 substr. MG1655	ALI39220.1	P42592	2DS3[A,B]3C67[A,B]3C68[A,B]3C69[A,B]3D3I[A,B]3W7S[A,B]3W7T[A,B]3W7U[A,B]3W7W[A,B]3W7X[A,B]5CA3[A,B]5CA4[A,B]5GW7[A,B]6XUX[A]	Bacteria	17	GH63
α-glucosidase (YgjK;EcYgjK;b3080)	3.2.1.203.2.1.84	pubmedpubmed	Escherichia coli str. K-12 substr. MG1655	AMC95987.1	P42592	2DS3[A,B]3C67[A,B]3C68[A,B]3C69[A,B]3D3I[A,B]3W7S[A,B]3W7T[A,B]3W7U[A,B]3W7W[A,B]3W7X[A,B]5CA3[A,B]5CA4[A,B]5GW7[A,B]6XUX[A]	Bacteria	17	GH63
α-glucosidase (YgjK;EcYgjK;b3080)	3.2.1.203.2.1.84	pubmedpubmed	Escherichia coli str. K-12 substr. MG1655	AUG17798.1	P42592	2DS3[A,B]3C67[A,B]3C68[A,B]3C69[A,B]3D3I[A,B]3W7S[A,B]3W7T[A,B]3W7U[A,B]3W7W[A,B]3W7X[A,B]5CA3[A,B]5CA4[A,B]5GW7[A,B]6XUX[A]	Bacteria	17	GH63
α-glucosidase (YgjK;EcYgjK;b3080)	3.2.1.203.2.1.84	pubmedpubmed	Escherichia coli str. K-12 substr. MG1655	AVI53253.1	P42592	2DS3[A,B]3C67[A,B]3C68[A,B]3C69[A,B]3D3I[A,B]3W7S[A,B]3W7T[A,B]3W7U[A,B]3W7W[A,B]3W7X[A,B]5CA3[A,B]5CA4[A,B]5GW7[A,B]6XUX[A]	Bacteria	17	GH63
α-glucosidase (YgjK;EcYgjK;b3080)	3.2.1.203.2.1.84	pubmedpubmed	Escherichia coli str. K-12 substr. MG1655	AYG17956.1	P42592	2DS3[A,B]3C67[A,B]3C68[A,B]3C69[A,B]3D3I[A,B]3W7S[A,B]3W7T[A,B]3W7U[A,B]3W7W[A,B]3W7X[A,B]5CA3[A,B]5CA4[A,B]5GW7[A,B]6XUX[A]	Bacteria	17	GH63
α-glucosidase (YgjK;EcYgjK;b3080)	3.2.1.203.2.1.84	pubmedpubmed	Escherichia coli str. K-12 substr. MG1655	NP_417551.1	P42592	2DS3[A,B]3C67[A,B]3C68[A,B]3C69[A,B]3D3I[A,B]3W7S[A,B]3W7T[A,B]3W7U[A,B]3W7W[A,B]3W7X[A,B]5CA3[A,B]5CA4[A,B]5GW7[A,B]6XUX[A]	Bacteria	17	GH63
glucosylglycerate hydrolase (MHAS_04250)	3.2.1.1703.2.1.208	pubmedpubmed	Mycolicibacterium hassiacum DSM 44199	VCT92520.1	A0A3P4A4P2K5BDL0	5OHC[A,B]5OHZ[A,B,C,D]5OI0[A,B]5OI1[A,B]5OIE[A,B]5OIV[A,B]5OIW[A,B]5OJ4[A,B]5OJU[A,B]5OJV[A,B]5ONT[A,B]5ONZ[A,B]5OO2[A,B]6G3N[A,B]6Q5T[A,B]	Bacteria	17	GH63
glucosylglycerate hydrolase (MHAS_04250)	3.2.1.1703.2.1.208	pubmedpubmed	Mycolicibacterium hassiacum DSM 44199	WP_005623031.1	A0A3P4A4P2K5BDL0	5OHC[A,B]5OHZ[A,B,C,D]5OI0[A,B]5OI1[A,B]5OIE[A,B]5OIV[A,B]5OIW[A,B]5OJ4[A,B]5OJU[A,B]5OJV[A,B]5ONT[A,B]5ONZ[A,B]5OO2[A,B]6G3N[A,B]6Q5T[A,B]	Bacteria	17	GH63
mannosylglycerate hydrolase (RradSPS_2892)	3.2.1.170	pubmed	Rubrobacter radiotolerans RSPS-4	AFC76324.1	J9PY59		Bacteria	17	GH63
mannosylglycerate hydrolase (RradSPS_2892)	3.2.1.170	pubmed	Rubrobacter radiotolerans RSPS-4	AHY48175.1	J9PY59		Bacteria	17	GH63
mannosylglycerate hydrolase (MgH;TT_C0614)	3.2.1.170	pubmed	Thermus thermophilus HB27	AAS80962.1	Q72K04		Bacteria	17	GH63
mannosylglycerate hydrolase (Tt8MGH;TTHA0978)	3.2.1.170	pubmed	Thermus thermophilus HB8	BAD70801.1	Q5SJN0	2Z07[A,B]4WVA[A,B]4WVB[A,B]4WVC[A,B]	Bacteria	17	GH63
α-mannosidase (CkGH47;Caul_4035)	3.2.1.113	pubmed	Caulobacter sp. K31	ABZ73160.1	B0SWV2	4AYO[A]4AYP[A]4AYQ[A]4AYR[A]5MEH[A]5NE5[A]	Bacteria	39	GH47
exo-α-1,6-mannosidase (BT3781; BT_3781)	3.2.1.163	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO78886.1	Q8A185	2P0V[A,B]	Bacteria	7	GH125
exo-α-1,6-mannosidase (BT2632)	3.2.1.163	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO77739.1	Q8A4G7		Bacteria	7	GH125
exo-α-1,6-mannosidase (CpGH125;CPE0426)	3.2.1.163	pubmed	Clostridium perfringens str. 13	BAB80132.1	Q8XNB2	3QT3[A]3QT9[A]5M7I[A]5M7Y[A]6RQK[A,B]	Bacteria	7	GH125
exo-α-1,6-mannosidase (Sca6Man4191;Solca_2730)	3.2.1.163	pubmed	Solitalea canadensis DSM 3403	AFD07763.1	H8KRX5		Bacteria	7	GH125
exo-α-1,6-mannosidase (SpGH125;SP_2144)	3.2.1.163	pubmed	Streptococcus pneumoniae TIGR4	AAK76201.1	A0A0H2URZ6	3QPF[A,B]3QRY[A,B]3QSP[A,B]	Bacteria	7	GH125
[N-glycan] α-1,6-mannosidase (NixJ;XCC2893)	3.2.1.163	pubmed	Xanthomonas campestris pv. campestris str. ATCC 33913	AAM42165.1	Q8P6S2		Bacteria	7	GH125
